Team Line Up,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,David Mosambayi,Raider,Abc 2,,,,,0,,,
,Babu M,Left Cover,Abc 2,,,,,1,,,
,Raju Lal Choudhary,Right Corner,Abc0,,,,,0,,,
Jaipur Pink,Somvir Shekhar,Defender,Abc,,,,22,,,20.0,
Panthers,Sidharth,All Rounder,Abc,,,,21,,16,,
,Pawan Kumar,Raider,Abc,,,,21,,,20.0,
,Nitin Rawal,Left Cover,Abc,,,,21,,,21.0,
,Tushar Patil,Raider,Abc,,,17.0,,,15,,
,Manjeet Chhillar,All Rounder,Abc,,,15.0,,,15,,
,Jasvir Singh,Raider,Abc,,,15.0,,,15,,
,Sunil Siddhgavali,Raider,Abc,,,12.0,,8,,,
,Ajit Singh,Raider,Abc,,,11.0,,2,,,
,Santhapanaselvam,All Rounder,Abc,,,10.0,,,10,,
,Manoj Dhull,Right Corner,Abc,,,9.0,,3,,,
,Kamal Kishor,Raider,Abc,,7,,,2,,,
,Rahul Choudhary,Raider,Abc,,5,,,1,,,
,Selvamani K,Raider,Abc,3,,,,2,,,
,Navneet Gautam,Left Corner,Abc,3,,,,3,,,
,Abhishek N,All Rounder,Abc 2,,,,,0,,,
,Ravinder Kumar,Defender,Abc1,,,,,1,,,
,Jae Min Lee,Left Corner,Abc0,,,,,0,,,
,Dong Gyu Kim,All Rounder,Abc0,,,,,0,,,
Patna Pirates,Vishal Mane,Right Cover,Abc,,,,26,,,26.0,
,Sachin Shingade,Left Cover,Abc,,,,26,,,26.0,
,Pardeep Narwal,Raider,Abc,,,,26,,,26.0,
,Monu Goyat,Raider,Abc,,,,26,,,26.0,
,Jaideep,Left Corner,Abc,,,,26,,,26.0,
,Manish,Right Cover,Abc,,,,23,0,,,
,Vinod Kumar,Raider,Abc,,,,21,,9,,
,Vijay,Raider,Abc,,,19.0,,,15,,
,Jawahar Dagar,Raider,Abc,,,18.0,,,15,,
,Vikas Jaglan,Raider,Abc,,,13.0,,1,,,
,Satish,Right Corner,Abc,,,10.0,,,9,,
,Vishnu Uthaman,Raider,Abc,3,,,,1,,,
,Virender Singh,Right Corner,Abc,3,,,,2,,,
,Md. Zakir Hossain,Raider,Abc1,,,,,0,,,
,Sandeep,Defender,Abc0,,,,,0,,,
,Parveen Birwal,All Rounder,,,,,,,,,
Team Line Up,,,,,,,,,,,
Team Name,Player Name,Position,,Total Played,,,Total Starts,,,,
,Sandeep,Defender,,,,,,,,,
Patna Pirates,Parveen Birwal,All Rounder,Abc0,,,,0,,,,
,Mohammad Maghshoudulu,All Rounder,Abc0,,,,0,,,,
,Arvind Kumar,All Rounder,Abc0,,,,0,,,,
