,player_id,player_name,total_points_match_played,total_points_value,total_points_team_id,total_points_team,team_name,total_points_rank,total_points_position_id,total_points_position_name,team_full_name,total_points_points_per_match,successful_raids_match_played,successful_raids_value,successful_raids_team_id,successful_raids_team,successful_raids_rank,successful_raids_position_id,successful_raids_position_name,successful_raids_points_per_match,raid_points_match_played,raid_points_value,raid_points_team_id,raid_points_team,raid_points_rank,raid_points_position_id,raid_points_position_name,raid_points_points_per_match,successful_tackles_match_played,successful_tackles_value,successful_tackles_team_id,successful_tackles_team,successful_tackles_rank,successful_tackles_position_id,successful_tackles_position_name,successful_tackles_points_per_match,tackle_points_match_played,tackle_points_value,tackle_points_team_id,tackle_points_team,tackle_points_rank,tackle_points_position_id,tackle_points_position_name,tackle_points_points_per_match,avg_tackle_points_match_played,avg_tackle_points_value,avg_tackle_points_team_id,avg_tackle_points_team,avg_tackle_points_rank,avg_tackle_points_position_id,avg_tackle_points_position_name,avg_tackle_points_points_per_match,dod_raid_points_match_played,dod_raid_points_value,dod_raid_points_team_id,dod_raid_points_team,dod_raid_points_rank,dod_raid_points_position_id,dod_raid_points_position_name,dod_raid_points_points_per_match,super_raids_match_played,super_raids_value,super_raids_team_id,super_raids_team,super_raids_rank,super_raids_position_id,super_raids_position_name,super_raids_points_per_match,super_tackles_match_played,super_tackles_value,super_tackles_team_id,super_tackles_team,super_tackles_rank,super_tackles_position_id,super_tackles_position_name,super_tackles_points_per_match,super_10s_match_played,super_10s_value,super_10s_team_id,super_10s_team,super_10s_rank,super_10s_position_id,super_10s_position_name,super_10s_points_per_match,super_5s_match_played,super_5s_value,super_5s_team_id,super_5s_team,super_5s_rank,super_5s_position_id,super_5s_position_name,super_5s_points_per_match
0,26,Ajay Thakur,5,5,2,,DEL,144,8,Raider,Dabang Delhi K.C.,1.0,5.0,3.0,2.0,,80.0,8.0,Raider,0.6,5.0,4.0,2.0,,85.0,8.0,Raider,0.8,5.0,1.0,2.0,,135.0,8.0,Raider,0.2,5.0,1.0,2.0,,150.0,8.0,Raider,0.2,5.0,0.2,2.0,,146.0,8.0,Raider,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,36,Chandran Ranjit,19,90,1,,BLR,27,8,Raider,Bengaluru Bulls,4.7368421052631575,19.0,61.0,1.0,,26.0,8.0,Raider,3.210526315789474,19.0,80.0,1.0,,25.0,8.0,Raider,4.2105263157894735,19.0,9.0,1.0,,70.0,8.0,Raider,0.4736842105263157,19.0,10.0,1.0,,72.0,8.0,Raider,0.5263157894736842,19.0,0.53,1.0,,104.0,8.0,Raider,0.0278947368421052,19.0,4.0,1.0,,48.0,8.0,Raider,0.2105263157894736,19.0,3.0,1.0,,22.0,8.0,Raider,0.1578947368421052,19.0,1.0,1.0,,67.0,8.0,Raider,0.0526315789473684,19.0,1.0,1.0,,29.0,8.0,Raider,0.0526315789473684,,,,,,,,
2,41,Deepak Hooda,17,120,3,,JAI,18,0,All-Rounder,Jaipur Pink Panthers,7.0588235294117645,17.0,100.0,3.0,,16.0,0.0,All-Rounder,5.882352941176471,17.0,117.0,3.0,,16.0,0.0,All-Rounder,6.882352941176471,17.0,3.0,3.0,,110.0,0.0,All-Rounder,0.1764705882352941,17.0,3.0,3.0,,117.0,0.0,All-Rounder,0.1764705882352941,17.0,0.18,3.0,,147.0,0.0,All-Rounder,0.0105882352941176,17.0,31.0,3.0,,7.0,0.0,All-Rounder,1.8235294117647056,17.0,1.0,3.0,,45.0,0.0,All-Rounder,0.0588235294117647,,,,,,,,,17.0,4.0,3.0,,18.0,0.0,All-Rounder,0.2352941176470588,,,,,,,,
3,42,Dharmaraj Cheralathan,5,2,3,,JAI,176,9,Defender,Jaipur Pink Panthers,0.4,,,,,,,,,,,,,,,,,5.0,2.0,3.0,,130.0,9.0,Defender,0.4,5.0,2.0,3.0,,125.0,9.0,Defender,0.4,5.0,0.4,3.0,,122.0,9.0,Defender,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,54,Jeeva Kumar,21,23,2,,DEL,96,9,Defender,Dabang Delhi K.C.,1.0952380952380951,,,,,,,,,,,,,,,,,21.0,22.0,2.0,,44.0,9.0,Defender,1.0476190476190477,21.0,23.0,2.0,,45.0,9.0,Defender,1.0952380952380951,21.0,1.1,2.0,,60.0,9.0,Defender,0.0523809523809523,,,,,,,,,,,,,,,,,21.0,1.0,2.0,,68.0,9.0,Defender,0.0476190476190476,,,,,,,,,,,,,,,,
5,69,Manjeet Chhillar,24,53,2,,DEL,53,0,All Rounder,Dabang Delhi K.C.,2.2083333333333335,24.0,1.0,2.0,,106.0,0.0,All Rounder,0.0416666666666666,24.0,1.0,2.0,,115.0,0.0,All Rounder,0.0416666666666666,24.0,50.0,2.0,,12.0,0.0,All Rounder,2.0833333333333335,24.0,52.0,2.0,,14.0,0.0,All Rounder,2.1666666666666665,24.0,2.17,2.0,,21.0,0.0,All Rounder,0.0904166666666666,,,,,,,,,,,,,,,,,24.0,2.0,2.0,,47.0,0.0,All Rounder,0.0833333333333333,,,,,,,,,24.0,2.0,2.0,,17.0,0.0,All Rounder,0.0833333333333333
6,81,Rahul Chaudhari,7,13,7,,PUN,116,8,Raider,Puneri Paltan,1.8571428571428572,7.0,10.0,7.0,,59.0,8.0,Raider,1.4285714285714286,7.0,13.0,7.0,,58.0,8.0,Raider,1.8571428571428572,,,,,,,,,,,,,,,,,,,,,,,,,7.0,2.0,7.0,,58.0,8.0,Raider,0.2857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,86,Rajesh Narwal,3,1,28,,HAR,194,0,All Rounder,Haryana Steelers,0.3333333333333333,,,,,,,,,3.0,1.0,28.0,,116.0,0.0,All Rounder,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,94,Rishank Devadiga,1,1,4,,KOL,195,8,Raider,Bengal Warriors,1.0,1.0,1.0,4.0,,107.0,8.0,Raider,1.0,1.0,1.0,4.0,,117.0,8.0,Raider,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,106,Shrikant Jadhav,23,100,30,,U.P.,22,8,Raider,U.P. Yoddhas,4.3478260869565215,23.0,72.0,30.0,,23.0,8.0,Raider,3.130434782608696,23.0,92.0,30.0,,23.0,8.0,Raider,4.0,23.0,5.0,30.0,,92.0,8.0,Raider,0.217391304347826,23.0,8.0,30.0,,80.0,8.0,Raider,0.3478260869565217,23.0,0.35,30.0,,127.0,8.0,Raider,0.0152173913043478,23.0,21.0,30.0,,14.0,8.0,Raider,0.9130434782608696,23.0,2.0,30.0,,23.0,8.0,Raider,0.0869565217391304,23.0,3.0,30.0,,20.0,8.0,Raider,0.1304347826086956,23.0,2.0,30.0,,24.0,8.0,Raider,0.0869565217391304,,,,,,,,
10,107,Shrikant Tewthia,3,2,28,,HAR,175,0,All Rounder,Haryana Steelers,0.6666666666666666,,,,,,,,,,,,,,,,,3.0,1.0,28.0,,134.0,0.0,All Rounder,0.3333333333333333,3.0,2.0,28.0,,126.0,0.0,All Rounder,0.6666666666666666,3.0,0.67,28.0,,96.0,0.0,All Rounder,0.2233333333333333,,,,,,,,,,,,,,,,,3.0,1.0,28.0,,65.0,0.0,All Rounder,0.3333333333333333,,,,,,,,,,,,,,,,
11,111,Sukesh Hegde,15,58,4,,KOL,45,8,Raider,Bengal Warriors,3.8666666666666663,15.0,43.0,4.0,,36.0,8.0,Raider,2.8666666666666667,15.0,58.0,4.0,,35.0,8.0,Raider,3.8666666666666663,,,,,,,,,,,,,,,,,,,,,,,,,15.0,5.0,4.0,,40.0,8.0,Raider,0.3333333333333333,15.0,2.0,4.0,,24.0,8.0,Raider,0.1333333333333333,,,,,,,,,,,,,,,,,,,,,,,,
12,123,Vishal Mane,6,5,4,,KOL,145,9,Defender,Bengal Warriors,0.8333333333333334,,,,,,,,,,,,,,,,,6.0,5.0,4.0,,93.0,9.0,Defender,0.8333333333333334,6.0,5.0,4.0,,99.0,9.0,Defender,0.8333333333333334,6.0,0.83,4.0,,80.0,9.0,Defender,0.1383333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,142,Sandeep Narwal,24,64,2,,DEL,39,0,All Rounder,Dabang Delhi K.C.,2.6666666666666665,24.0,18.0,2.0,,47.0,0.0,All Rounder,0.75,24.0,26.0,2.0,,47.0,0.0,All Rounder,1.0833333333333333,24.0,37.0,2.0,,27.0,0.0,All Rounder,1.5416666666666667,24.0,38.0,2.0,,29.0,0.0,All Rounder,1.5833333333333333,24.0,1.58,2.0,,40.0,0.0,All Rounder,0.0658333333333333,24.0,6.0,2.0,,38.0,0.0,All Rounder,0.25,,,,,,,,,24.0,1.0,2.0,,66.0,0.0,All Rounder,0.0416666666666666,,,,,,,,,,,,,,,,
14,143,Maninder Singh,22,264,4,,KOL,3,8,Raider,Bengal Warriors,12.0,22.0,192.0,4.0,,3.0,8.0,Raider,8.727272727272727,22.0,262.0,4.0,,3.0,8.0,Raider,11.909090909090908,22.0,2.0,4.0,,131.0,8.0,Raider,0.0909090909090909,22.0,2.0,4.0,,127.0,8.0,Raider,0.0909090909090909,22.0,0.09,4.0,,157.0,8.0,Raider,0.004090909090909,22.0,39.0,4.0,,5.0,8.0,Raider,1.7727272727272727,22.0,11.0,4.0,,2.0,8.0,Raider,0.5,,,,,,,,,22.0,16.0,4.0,,2.0,8.0,Raider,0.7272727272727273,,,,,,,,
