player_name,player_id,match_played,value,team_id,team,team_name,rank,position_id,position_name,team_full_name,points_per_match
Pawan Sehrawat,318,24,320,1,,BLR,1,8,Raider,Bengaluru Bulls,13.333333333333334
Arjun Deshwal,2024,22,268,3,,JAI,2,8,Raider,Jaipur Pink Panthers,12.181818181818182
Maninder Singh,143,22,264,4,,KOL,3,8,Raider,Bengal Warriors,12
Naveen Kumar,2296,17,210,2,,DEL,4,8,Raider,Dabang Delhi K.C.,12.352941176470589
Surender Gill,3241,23,198,30,,U.P.,5,8,Raider,U.P. Yoddhas,8.608695652173912
Aslam Inamdar,4960,23,189,7,,PUN,6,8,Raider,Puneri Paltan,8.217391304347826
Pardeep Narwal,197,24,188,30,,U.P.,7,8,Raider,U.P. Yoddhas,7.833333333333333
Mohit Goyat,4022,21,187,7,,PUN,8,8,Raider,Puneri Paltan,8.904761904761905
Sachin,757,23,181,6,,PAT,9,8,Raider,Patna Pirates,7.869565217391305
Vikash Kandola,366,22,180,28,,HAR,10,8,Raider,Haryana Steelers,8.181818181818182
Abhishek Singh,2028,22,179,5,,MUM,11,8,Raider,U Mumba,8.136363636363637
Manjeet,763,20,167,29,,CHE,12,8,Raider,Tamil Thalaivas,8.35
Vijay,3081,23,162,2,,DEL,13,0,All-Rounder,Dabang Delhi K.C.,7.043478260869565
V Ajith Kumar,3053,20,159,5,,MUM,14,8,Raider,U Mumba,7.95
Rakesh,3966,22,140,31,,GUJ,15,8,Raider,Gujarat Giants,6.363636363636363
Bharat,4944,23,129,1,,BLR,16,8,Raider,Bengaluru Bulls,5.608695652173913
Ankit Beniwal,2322,21,126,8,,HYD,17,8,Raider,Telugu Titans,6
Deepak Hooda,41,17,120,3,,JAI,18,0,All-Rounder,Jaipur Pink Panthers,7.0588235294117645
Ajinkya Pawar,3097,18,114,29,,CHE,19,8,Raider,Tamil Thalaivas,6.333333333333333
Rajnish,2290,13,112,8,,HYD,20,8,Raider,Telugu Titans,8.615384615384615
Mohammad Nabibakhsh,3176,20,108,4,,KOL,21,0,All-Rounder,Bengal Warriors,5.4
Shrikant Jadhav,106,23,100,30,,U.P.,22,8,Raider,U.P. Yoddhas,4.3478260869565215
Guman Singh,3032,19,97,6,,PAT,23,8,Raider,Patna Pirates,5.105263157894737
Prashanth Kumar Rai,155,23,96,6,,PAT,24,8,Raider,Patna Pirates,4.173913043478261
Mohammadreza Chiyaneh,4925,24,94,6,,PAT,25,0,All-Rounder,Patna Pirates,3.9166666666666665
Monu Goyat,388,14,93,6,,PAT,26,8,Raider,Patna Pirates,6.642857142857143
Chandran Ranjit,36,19,90,1,,BLR,27,8,Raider,Bengaluru Bulls,4.7368421052631575
Adarsh T,3095,21,86,8,,HYD,28,0,Defender - Left Corner,Telugu Titans,4.095238095238095
Sagar,3236,22,83,29,,CHE,29,0,Defender - Right Corner,Tamil Thalaivas,3.772727272727273
Rakesh Narwal,204,16,81,31,,GUJ,30,8,Raider,Gujarat Giants,5.0625
Ajay Kumar,389,17,79,31,,GUJ,31,8,Raider,Gujarat Giants,4.647058823529412
Ashish,3028,15,79,28,,HAR,32,8,Raider,Haryana Steelers,5.266666666666667
Pardeep Kumar,4939,17,79,31,,GUJ,33,8,Raider,Gujarat Giants,4.647058823529412
Meetu,4183,16,75,28,,HAR,34,8,Raider,Haryana Steelers,4.6875
Rohit Gulia,3023,15,69,28,,HAR,35,0,All-Rounder,Haryana Steelers,4.6
Saurabh Nandal,3228,24,69,1,,BLR,36,0,Defender - Left Corner,Bengaluru Bulls,2.875
Jaideep,4184,22,66,28,,HAR,37,0,Defender - Left Cover,Haryana Steelers,3
Mahendra Rajput,163,17,65,31,,GUJ,38,8,Raider,Gujarat Giants,3.823529411764706
Sandeep Narwal,142,24,64,2,,DEL,39,0,All Rounder,Dabang Delhi K.C.,2.6666666666666665
Sumit,3240,24,63,30,,U.P.,40,0,Defender - Left Corner,U.P. Yoddhas,2.625
Sombir,3000,19,61,7,,PUN,41,9,Defender,Puneri Paltan,3.210526315789474
