season,team_id,team_name,matches_played,team-average-raid-points_rank,team-avg-points-scored_rank,team-all-outs-conceded_rank,team-successful-tackle-percent_rank,team-super-raid_rank,team-raid_rank,team-successful-raid-percent_rank,team-dod-raid-points_rank,team-super-tackles_rank,team-raid-points_rank,team-successful-raids_rank,team-total-points-conceded_rank,team-tackle-points_rank,team-total-points_rank,team-successful-tackles-per-match_rank,team-all-outs-inflicted_rank,team-average-tackle-points_rank,team-successful-tackles_rank,team-average-raid-points_value,team-avg-points-scored_value,team-all-outs-conceded_value,team-successful-tackle-percent_value,team-super-raid_value,team-raid_value,team-successful-raid-percent_value,team-dod-raid-points_value,team-super-tackles_value,Total touch points,Total bonus points,team-raid-points_value,team-successful-raids_value,team-total-points-conceded_value,team-tackle-points_value,team-total-points_value,team-successful-tackles-per-match_value,team-all-outs-inflicted_value,team-average-tackle-points_value,team-successful-tackles_value,team-average-raid-points_per-match,team-avg-points-scored_per-match,team-all-outs-conceded_per-match,team-successful-tackle-percent_per-match,team-super-raid_per-match,team-raid_per-match,team-successful-raid-percent_per-match,team-dod-raid-points_per-match,team-super-tackles_per-match,team-total-touch-points-ext_per-match,team-total-bonus--points-ext_per-match,team-raid-points_per-match,team-successful-raids_per-match,team-total-points-conceded_per-match,team-tackle-points_per-match,team-total-points_per-match,team-successful-tackles-per-match_per-match,team-all-outs-inflicted_per-match,team-average-tackle-points_per-match,team-successful-tackles_per-match
6,2,Dabang Delhi K.C.,24,4,5,6,,10,,,8,5,3,3,3,8,4,,4,9,7,20.13,34.25,28,,9,,,73,18,367,116,483,401,824,216,822,,34,9,198,0.839,1.427,1.167,0,0.375,0,0,3.042,0.75,15.292,4.833,20.125,16.708,34.333,9,34.25,0,1.417,0.375,8.25
6,3,Jaipur Pink Panthers,22,9,8,2,,4,,,5,4,10,10,5,6,9,,8,5,5,18.86,32.32,32,,13,,,75,23,313,102,415,334,780,225,711,,22,10.23,202,0.857,1.469,1.455,0,0.591,0,0,3.409,1.045,14.227,4.636,18.864,15.182,35.455,10.227,32.318,0,1,0.465,9.182
6,4,Bengal Warriors,23,8,9,10,,2,,,4,10,8,9,9,10,7,,7,11,9,18.96,31.52,23,,15,,,85,14,341,95,436,340,734,200,725,,23,8.7,186,0.824,1.37,1,0,0.652,0,0,3.696,0.609,14.826,4.13,18.957,14.783,31.913,8.696,31.522,0,1,0.378,8.087
6,5,U Mumba,23,5,1,12,,3,,,1,8,5,5,12,1,3,,1,1,1,19.96,37.22,16,,14,,,89,15,372,87,459,372,672,289,856,,41,12.57,274,0.868,1.618,0.696,0,0.609,0,0,3.87,0.652,16.174,3.783,19.957,16.174,29.217,12.565,37.217,0,1.783,0.547,11.913
6,6,Patna Pirates,22,2,3,3,,6,,,11,9,2,2,2,9,6,,5,8,10,22.55,36.32,30,,11,,,54,15,376,120,496,406,835,201,799,,30,9.14,186,1.025,1.651,1.364,0,0.5,0,0,2.455,0.682,17.091,5.455,22.545,18.455,37.955,9.136,36.318,0,1.364,0.415,8.455
6,7,Puneri Paltan,22,12,11,5,,12,,,9,2,12,12,11,7,11,,12,6,8,15.73,29.5,29,,6,,,72,30,235,111,346,286,694,219,649,,14,9.95,189,0.715,1.341,1.318,0,0.273,0,0,3.273,1.364,10.682,5.045,15.727,13,31.545,9.955,29.5,0,0.636,0.452,8.591
6,8,Telugu Titans,22,11,12,8,,9,,,3,1,11,11,10,4,12,,10,4,6,16.05,29.41,25,,9,,,85,31,246,107,353,289,702,233,647,,18,10.59,202,0.73,1.337,1.136,0,0.409,0,0,3.864,1.409,11.182,4.864,16.045,13.136,31.909,10.591,29.409,0,0.818,0.481,9.182
6,28,Haryana Steelers,22,3,6,1,,5,,,12,11,7,6,4,11,8,,11,10,11,20.32,32.5,33,,12,,,44,13,306,141,447,361,806,193,715,,16,8.77,180,0.924,1.477,1.5,0,0.545,0,0,2,0.591,13.909,6.409,20.318,16.409,36.636,8.773,32.5,0,0.727,0.399,8.182
6,29,Tamil Thalaivas,22,7,10,7,,11,,,10,7,9,8,8,12,10,,9,12,12,19.05,30.5,27,,7,,,67,15,315,105,419,345,741,189,671,,20,8.59,173,0.866,1.386,1.227,0,0.318,0,0,3.045,0.682,14.318,4.773,19.045,15.682,33.682,8.591,30.5,0,0.909,0.39,7.864
6,30,U.P. Yoddha,25,10,7,4,,7,,,2,3,6,7,1,3,5,,6,3,3,17.96,32.48,30,,10,,,86,25,318,131,449,357,847,265,812,,26,10.6,240,0.718,1.299,1.2,0,0.4,0,0,3.44,1,12.72,5.24,17.96,14.28,33.88,10.6,32.48,0,1.04,0.424,9.6
6,31,Gujarat Giants,25,6,4,11,,8,,,6,6,4,4,6,2,2,,3,2,2,19.2,35.04,20,,10,,,74,16,385,95,480,392,769,274,876,,36,10.96,258,0.768,1.402,0.8,0,0.4,0,0,2.96,0.64,15.4,3.8,19.2,15.68,30.76,10.96,35.04,0,1.44,0.438,10.32
7,1,Bengaluru Bulls,24,1,3,3,,4,,,11,4,1,3,1,5,3,,7,9,8,22.21,36.17,33,,13,,,54,26,402,131,533,412,855,232,868,,30,9.67,206,0.925,1.507,1.375,0,0.542,0,0,2.25,1.083,16.75,5.458,22.208,17.167,35.625,9.667,36.167,0,1.25,0.403,8.583
7,2,Dabang Delhi K.C.,24,2,1,9,,8,,,9,12,2,1,2,11,1,,2,11,5,22.17,37.08,26,,8,,,58,8,385,147,532,431,823,222,890,,40,9.25,214,0.924,1.545,1.083,0,0.333,0,0,2.417,0.333,16.042,6.125,22.167,17.958,34.292,9.25,37.083,0,1.667,0.385,8.917
