season,team_id,team_name,matches_played,team-average-raid-points_rank,team-avg-points-scored_rank,team-all-outs-conceded_rank,team-successful-tackle-percent_rank,team-super-raid_rank,team-raid_rank,team-successful-raid-percent_rank,team-dod-raid-points_rank,team-super-tackles_rank,team-raid-points_rank,team-successful-raids_rank,team-total-points-conceded_rank,team-tackle-points_rank,team-total-points_rank,team-successful-tackles-per-match_rank,team-all-outs-inflicted_rank,team-average-tackle-points_rank,team-successful-tackles_rank,team-average-raid-points_value,team-avg-points-scored_value,team-all-outs-conceded_value,team-successful-tackle-percent_value,team-super-raid_value,team-raid_value,team-successful-raid-percent_value,team-dod-raid-points_value,team-super-tackles_value,Total touch points,Total bonus points,team-raid-points_value,team-successful-raids_value,team-total-points-conceded_value,team-tackle-points_value,team-total-points_value,team-successful-tackles-per-match_value,team-all-outs-inflicted_value,team-average-tackle-points_value,team-successful-tackles_value,team-average-raid-points_per-match,team-avg-points-scored_per-match,team-all-outs-conceded_per-match,team-successful-tackle-percent_per-match,team-super-raid_per-match,team-raid_per-match,team-successful-raid-percent_per-match,team-dod-raid-points_per-match,team-super-tackles_per-match,team-total-touch-points-ext_per-match,team-total-bonus--points-ext_per-match,team-raid-points_per-match,team-successful-raids_per-match,team-total-points-conceded_per-match,team-tackle-points_per-match,team-total-points_per-match,team-successful-tackles-per-match_per-match,team-all-outs-inflicted_per-match,team-average-tackle-points_per-match,team-successful-tackles_per-match
10,4,Bengal Warriors,22,1,3,2,12,6,12,1,12,12,1,4,4,12,7,12,8,12,12,22.91,37.27,39,33.86,12,949,40.67,53,12,,,504,386,863,204,820,8.73,31,9.27,192,1.041,1.694,1.773,1.539,0.545,43.136,1.849,2.409,0.545,0,0,22.909,17.545,39.227,9.273,37.273,0.397,1.409,0.421,8.727
10,5,U Mumba,22,2,7,5,10,9,10,3,10,4,4,7,3,10,8,11,10,10,11,22.09,36.18,34,35.16,10,956,38.39,61,28,,,486,367,875,227,796,9.05,23,10.32,199,1.004,1.645,1.545,1.598,0.455,43.455,1.745,2.773,1.273,0,0,22.091,16.682,39.773,10.318,36.182,0.411,1.045,0.469,9.045
10,6,Patna Pirates,24,3,6,8,8,10,2,4,2,6,2,1,6,4,3,5,4,6,4,20.63,36.42,27,38.66,10,1043,38.35,91,24,,,495,400,838,266,874,10.08,34,11.08,242,0.86,1.518,1.125,1.611,0.417,43.458,1.598,3.792,1,0,0,20.625,16.667,34.917,11.083,36.417,0.42,1.417,0.462,10.083
10,7,Puneri Paltan,24,9,1,12,1,11,3,5,1,10,7,2,12,1,1,1,1,1,1,19.33,39.58,14,54.71,10,1022,38.26,102,18,,,464,391,678,349,950,13.79,46,14.54,331,0.805,1.649,0.583,2.28,0.417,42.583,1.594,4.25,0.75,0,0,19.333,16.292,28.25,14.542,39.583,0.575,1.917,0.606,13.792
10,8,Telugu Titans,22,10,11,1,11,7,4,12,9,7,11,11,1,9,11,9,12,8,9,18.77,33.45,53,34.72,12,1002,31.14,64,23,,,413,312,979,232,736,9.5,19,10.55,209,0.853,1.52,2.409,1.578,0.545,45.545,1.415,2.909,1.045,0,0,18.773,14.182,44.5,10.545,33.455,0.432,0.864,0.48,9.5
10,28,Haryana Steelers,25,8,4,4,4,3,1,8,6,1,3,5,2,2,2,3,7,3,2,19.68,36.8,35,43.66,16,1088,34.74,73,33,,,492,378,915,329,920,11.84,31,13.16,296,0.787,1.472,1.4,1.746,0.64,43.52,1.39,2.92,1.32,0,0,19.68,15.12,36.6,13.16,36.8,0.474,1.24,0.526,11.84
10,29,Tamil Thalaivas,22,6,2,9,2,12,8,7,7,2,8,8,8,3,5,2,5,2,3,20.14,37.82,24,43.93,8,974,37.47,73,31,,,443,365,800,295,832,12,34,13.41,264,0.915,1.719,1.091,1.997,0.364,44.273,1.703,3.318,1.409,0,0,20.136,16.591,36.364,13.409,37.818,0.545,1.545,0.61,12
10,30,U.P. Yoddhas,22,7,10,3,9,8,6,9,11,5,9,9,5,11,10,10,11,11,10,19.73,33.77,39,36.83,10,981,34.45,60,24,,,434,338,859,224,743,9.09,23,10.18,200,0.897,1.535,1.773,1.674,0.455,44.591,1.566,2.727,1.091,0,0,19.727,15.364,39.045,10.182,33.773,0.413,1.045,0.463,9.091
10,31,Gujarat Giants,23,12,9,10,5,1,9,10,4,8,10,10,10,6,9,7,6,7,7,18.35,34.13,23,41.77,18,974,34.09,83,23,,,422,332,770,249,785,9.83,32,10.83,226,0.798,1.484,1,1.816,0.783,42.348,1.482,3.609,1,0,0,18.348,14.435,33.478,10.826,34.13,0.427,1.391,0.471,9.826
all,1,Bengaluru Bulls,200,5,4,3,,3,,,7,6,2,2,4,4,2,,2,9,4,19.58,33.77,252,,115,,,639,154,,,3916,3109,6647,1978,6755,,265,9.89,1822,0.098,0.169,1.26,0,0.575,0,0,3.195,0.77,0,0,19.58,15.545,33.235,9.89,33.775,0,1.325,0.049,9.11
all,2,Dabang Delhi K.C.,196,4,7,2,,7,,,6,7,3,3,3,7,5,,6,11,7,19.6,33.2,273,,94,,,643,142,,,3841,3099,6756,1810,6508,,240,9.23,1664,0.1,0.169,1.393,0,0.48,0,0,3.281,0.724,0,0,19.597,15.811,34.469,9.235,33.204,0,1.224,0.047,8.49
all,3,Jaipur Pink Panthers,195,11,8,8,,4,,,3,4,6,5,8,5,6,,5,7,5,18.59,33.11,211,,98,,,710,182,,,3626,2917,6156,1961,6457,,247,10.06,1776,0.095,0.17,1.082,0,0.503,0,0,3.641,0.933,0,0,18.595,14.959,31.569,10.056,33.113,0,1.267,0.052,9.108
all,4,Bengal Warriors,195,6,11,4,,1,,,5,9,4,4,5,8,7,,7,12,8,19.45,32.58,246,,120,,,643,129,,,3793,2986,6565,1752,6354,,228,8.98,1622,0.1,0.167,1.262,0,0.615,0,0,3.297,0.662,0,0,19.451,15.313,33.667,8.985,32.585,0,1.169,0.046,8.318
all,5,U Mumba,197,10,9,6,,8,,,4,3,5,6,7,3,4,,4,2,3,18.64,33.08,234,,94,,,654,183,,,3672,2907,6270,2056,6516,,249,10.44,1873,0.095,0.168,1.188,0,0.477,0,0,3.32,0.929,0,0,18.64,14.756,31.827,10.437,33.076,0,1.264,0.053,9.508
all,6,Patna Pirates,204,1,1,7,,2,,,2,1,1,1,1,2,1,,1,3,2,20.07,34.96,228,,118,,,763,192,,,4094,3264,6775,2110,7131,,299,10.34,1915,0.098,0.171,1.118,0,0.578,0,0,3.74,0.941,0,0,20.069,16,33.211,10.343,34.956,0,1.466,0.051,9.387
all,7,Puneri Paltan,199,12,6,5,,6,,,1,5,8,7,6,1,3,,3,1,1,18.03,33.25,238,,95,,,805,175,,,3587,2903,6396,2166,6616,,255,10.88,1987,0.091,0.167,1.196,0,0.477,0,0,4.045,0.879,0,0,18.025,14.588,32.141,10.884,33.246,0,1.281,0.055,9.985
all,8,Telugu Titans,192,9,12,1,,5,,,8,2,7,8,2,6,8,,8,10,6,18.8,32.15,279,,96,,,620,190,,,3609,2877,6758,1863,6173,,198,9.7,1669,0.098,0.167,1.453,0,0.5,0,0,3.229,0.99,0,0,18.797,14.984,35.198,9.703,32.151,0,1.031,0.051,8.693
all,28,Haryana Steelers,137,2,3,11,,10,,,12,11,10,10,10,10,11,,11,4,9,19.93,34.18,176,,79,,,404,118,,,2731,2148,4772,1416,4682,,158,10.34,1298,0.145,0.249,1.285,0,0.577,0,0,2.949,0.861,0,0,19.934,15.679,34.832,10.336,34.175,0,1.153,0.075,9.474
all,29,Tamil Thalaivas,134,8,10,10,,12,,,9,10,12,12,11,12,12,,12,5,12,19.05,32.93,182,,43,,,470,121,,,2553,2073,4680,1375,4413,,143,10.26,1253,0.142,0.246,1.358,0,0.321,0,0,3.507,0.903,0,0,19.052,15.47,34.925,10.261,32.933,0,1.067,0.077,9.351
all,30,U.P. Yoddhas,140,3,2,9,,9,,,10,8,9,9,9,9,9,,10,6,11,19.79,34.33,183,,91,,,457,135,,,2771,2155,4876,1417,4806,,176,10.12,1281,0.141,0.245,1.307,0,0.65,0,0,3.264,0.964,0,0,19.793,15.393,34.829,10.121,34.329,0,1.257,0.072,9.15
all,31,Gujarat Giants,139,7,5,12,,11,,,11,12,11,11,12,11,10,,9,8,10,19.22,33.76,142,,73,,,449,95,,,2671,2129,4452,1388,4692,,186,9.99,1293,0.138,0.243,1.022,0,0.525,0,0,3.23,0.683,0,0,19.216,15.317,32.029,9.986,33.755,0,1.338,0.072,9.302
