,player_id,player_name,total_points_match_played,total_points_value,total_points_team_id,total_points_team,team_name,total_points_rank,total_points_position_id,total_points_position_name,team_full_name,total_points_points_per_match,successful_raids_match_played,successful_raids_value,successful_raids_team_id,successful_raids_team,successful_raids_rank,successful_raids_position_id,successful_raids_position_name,successful_raids_points_per_match,raid_points_match_played,raid_points_value,raid_points_team_id,raid_points_team,raid_points_rank,raid_points_position_id,raid_points_position_name,raid_points_points_per_match,successful_tackles_match_played,successful_tackles_value,successful_tackles_team_id,successful_tackles_team,successful_tackles_rank,successful_tackles_position_id,successful_tackles_position_name,successful_tackles_points_per_match,tackle_points_match_played,tackle_points_value,tackle_points_team_id,tackle_points_team,tackle_points_rank,tackle_points_position_id,tackle_points_position_name,tackle_points_points_per_match,avg_tackle_points_match_played,avg_tackle_points_value,avg_tackle_points_team_id,avg_tackle_points_team,avg_tackle_points_rank,avg_tackle_points_position_id,avg_tackle_points_position_name,avg_tackle_points_points_per_match,dod_raid_points_match_played,dod_raid_points_value,dod_raid_points_team_id,dod_raid_points_team,dod_raid_points_rank,dod_raid_points_position_id,dod_raid_points_position_name,dod_raid_points_points_per_match,super_raids_match_played,super_raids_value,super_raids_team_id,super_raids_team,super_raids_rank,super_raids_position_id,super_raids_position_name,super_raids_points_per_match,super_tackles_match_played,super_tackles_value,super_tackles_team_id,super_tackles_team,super_tackles_rank,super_tackles_position_id,super_tackles_position_name,super_tackles_points_per_match,super_10s_match_played,super_10s_value,super_10s_team_id,super_10s_team,super_10s_rank,super_10s_position_id,super_10s_position_name,super_10s_points_per_match,super_5s_match_played,super_5s_value,super_5s_team_id,super_5s_team,super_5s_rank,super_5s_position_id,super_5s_position_name,super_5s_points_per_match
92,3174,Daniel Odhiambo,2,9,6,,PAT,140,0,All-Rounder,Patna Pirates,4.5,2.0,9.0,6.0,,63.0,0.0,All-Rounder,4.5,2.0,9.0,6.0,,76.0,0.0,All-Rounder,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,3175,Mohammad Mahalli,2,1,28,,HAR,215,8,Raider,Haryana Steelers,0.5,,,,,,,,,,,,,,,,,2.0,1.0,28.0,,173.0,8.0,Raider,0.5,2.0,1.0,28.0,,162.0,8.0,Raider,0.5,2.0,0.5,28.0,,117.0,8.0,Raider,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,3176,Mohammad Nabibakhsh,15,36,7,,PUN,72,0,All-Rounder,Puneri Paltan,2.4,15.0,15.0,7.0,,53.0,0.0,All-Rounder,1.0,15.0,22.0,7.0,,53.0,0.0,All-Rounder,1.4666666666666666,15.0,12.0,7.0,,65.0,0.0,All-Rounder,0.8,15.0,14.0,7.0,,65.0,0.0,All-Rounder,0.9333333333333332,15.0,0.93,7.0,,88.0,0.0,All-Rounder,0.062,15.0,1.0,7.0,,76.0,0.0,All-Rounder,0.0666666666666666,15.0,1.0,7.0,,46.0,0.0,All-Rounder,0.0666666666666666,15.0,2.0,7.0,,40.0,0.0,All-Rounder,0.1333333333333333,,,,,,,,,,,,,,,,
95,3225,Harmanjit Singh,3,3,1,,BLR,185,8,Raider,Bengaluru Bulls,1.0,,,,,,,,,3.0,3.0,1.0,,92.0,8.0,Raider,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,3227,Ankit,15,28,8,,HYD,93,9,Defender,Telugu Titans,1.8666666666666667,15.0,2.0,8.0,,90.0,9.0,Defender,0.1333333333333333,15.0,2.0,8.0,,101.0,9.0,Defender,0.1333333333333333,15.0,18.0,8.0,,52.0,9.0,Defender,1.2,15.0,26.0,8.0,,42.0,9.0,Defender,1.7333333333333334,15.0,1.73,8.0,,41.0,9.0,Defender,0.1153333333333333,15.0,1.0,8.0,,77.0,9.0,Defender,0.0666666666666666,,,,,,,,,15.0,8.0,8.0,,4.0,9.0,Defender,0.5333333333333333,,,,,,,,,15.0,1.0,8.0,,34.0,9.0,Defender,0.0666666666666666
97,3228,Saurabh Nandal,24,73,1,,BLR,33,0,Defender - Left Corner,Bengaluru Bulls,3.0416666666666665,24.0,1.0,1.0,,107.0,0.0,Defender - Left Corner,0.0416666666666666,24.0,1.0,1.0,,116.0,0.0,Defender - Left Corner,0.0416666666666666,24.0,68.0,1.0,,3.0,0.0,Defender - Left Corner,2.8333333333333335,24.0,72.0,1.0,,3.0,0.0,Defender - Left Corner,3.0,24.0,3.0,1.0,,8.0,0.0,Defender - Left Corner,0.125,,,,,,,,,,,,,,,,,24.0,4.0,1.0,,15.0,0.0,Defender - Left Corner,0.1666666666666666,,,,,,,,,24.0,3.0,1.0,,12.0,0.0,Defender - Left Corner,0.125
98,3233,Pankaj Mohite,13,60,7,,PUN,36,8,Raider,Puneri Paltan,4.615384615384615,13.0,45.0,7.0,,31.0,8.0,Raider,3.4615384615384617,13.0,52.0,7.0,,34.0,8.0,Raider,4.0,13.0,7.0,7.0,,82.0,8.0,Raider,0.5384615384615384,13.0,8.0,7.0,,83.0,8.0,Raider,0.6153846153846154,13.0,0.62,7.0,,103.0,8.0,Raider,0.0476923076923076,13.0,5.0,7.0,,44.0,8.0,Raider,0.3846153846153846,,,,,,,,,13.0,1.0,7.0,,75.0,8.0,Raider,0.0769230769230769,13.0,2.0,7.0,,24.0,8.0,Raider,0.1538461538461538,,,,,,,,
99,3234,Sanket Sawant,24,30,7,,PUN,91,0,Defender - Left Cover,Puneri Paltan,1.25,,,,,,,,,,,,,,,,,24.0,30.0,7.0,,36.0,0.0,Defender - Left Cover,1.25,24.0,30.0,7.0,,37.0,0.0,Defender - Left Cover,1.25,24.0,1.25,7.0,,65.0,0.0,Defender - Left Cover,0.0520833333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,3236,Sagar,17,53,29,,CHE,50,0,Defender - Right Corner,Tamil Thalaivas,3.1176470588235294,,,,,,,,,,,,,,,,,17.0,45.0,29.0,,14.0,0.0,Defender - Right Corner,2.6470588235294117,17.0,53.0,29.0,,14.0,0.0,Defender - Right Corner,3.1176470588235294,17.0,3.12,29.0,,6.0,0.0,Defender - Right Corner,0.1835294117647058,,,,,,,,,,,,,,,,,17.0,8.0,29.0,,3.0,0.0,Defender - Right Corner,0.4705882352941176,,,,,,,,,17.0,5.0,29.0,,4.0,0.0,Defender - Right Corner,0.2941176470588235
101,3238,Navneet,3,6,3,,JAI,157,8,Raider,Jaipur Pink Panthers,2.0,3.0,4.0,3.0,,79.0,8.0,Raider,1.3333333333333333,3.0,6.0,3.0,,84.0,8.0,Raider,2.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,3.0,,78.0,8.0,Raider,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
