player_name,player_id,match_played,value,team_id,team,team_name,rank,position_id,position_name,team_full_name,points_per_match
Mohit Chhillar,71,14,31,3,,JAI,84,9,Defender,Jaipur Pink Panthers,2.2142857142857144
Mahendra Rajput,163,13,30,31,,GUJ,85,8,raider,Gujarat Giants,2.3076923076923075
Anil Kumar,311,18,30,8,,HYD,86,0,,Telugu Titans,1.6666666666666667
Baldev Singh,621,18,28,4,,KOL,87,0,Defender - Right Corner,Bengal Warriors,1.5555555555555556
Sachin Vittala,232,22,28,31,,GUJ,88,0,Defender - Left Corner,Gujarat Giants,1.2727272727272727
Parveen ,3100,19,28,28,,HAR,89,0,Defender - Left Cover,Haryana Steelers,1.4736842105263157
Sachin Shingade,165,19,25,28,,HAR,90,9,Defender,Haryana Steelers,1.3157894736842106
Abolfazel Maghsodlo,300,10,25,5,,MUM,91,8,Raider,U Mumba,2.5
Jawahar Dagar,390,15,23,6,,PAT,92,0,,Patna Pirates,1.5333333333333334
Mayur Shivtarkar,3045,18,23,28,,HAR,93,0,All Rounder,Haryana Steelers,1.2777777777777777
Azad Singh,2316,9,23,30,,U.P.,94,0,,U.P. Yoddha,2.5555555555555554
Prathap ,3085,13,22,29,,CHE,95,0,All Rounder,Tamil Thalaivas,1.6923076923076923
Harish Naik,3091,7,21,1,,BLR,96,0,All Rounder,Bengaluru Bulls,3
Rinku Narwal,3084,15,21,7,,PUN,97,9,Defender,Puneri Paltan,1.4
Amit Nagar,371,9,21,4,,KOL,98,8,raider,Bengal Warriors,2.3333333333333335
Tushar Patil,242,9,20,6,,PAT,99,8,Raider,Patna Pirates,2.2222222222222223
Rajesh Narwal,86,16,20,2,,DEL,100,0,All Rounder,Dabang Delhi K.C.,1.25
Raju Choudhary,87,16,20,1,,BLR,101,0,All Rounder,Bengaluru Bulls,1.25
Hadi Oshtorak,249,13,18,31,,GUJ,102,0,All Rounder,Gujarat Giants,1.3846153846153846
Sagar B Krishna,347,20,18,30,,U.P.,103,0,All Rounder,U.P. Yoddha,0.9
Ponparthiban Subramanian,3101,12,17,29,,CHE,104,0,,Tamil Thalaivas,1.4166666666666667
Sandeep ,299,10,16,1,,BLR,105,9,Defender,Bengaluru Bulls,1.6
Surjeet Singh,119,9,16,29,,CHE,106,8,Raider,Tamil Thalaivas,1.7777777777777777
Young Chang Ko,519,12,15,3,,JAI,107,9,Defender,Jaipur Pink Panthers,1.25
Satpal ,773,12,15,2,,DEL,108,9,Defender,Dabang Delhi K.C.,1.25
Manish ,728,17,15,6,,PAT,109,9,Defender,Patna Pirates,0.8823529411764706
Armaan ,2298,4,15,8,,HYD,110,0,,Telugu Titans,3.75
Kamal Singh ,2307,8,15,8,,HYD,111,0,,Telugu Titans,1.875
Sumit Singh,3104,8,15,1,,BLR,112,8,raider,Bengaluru Bulls,1.875
Rakshith ,3090,11,14,8,,HYD,113,0,All Rounder,Telugu Titans,1.2727272727272727
Adarsh T,3095,10,14,4,,KOL,114,0,Defender - Left Corner,Bengal Warriors,1.4
Santhapanaselvam ,3076,14,14,3,,JAI,115,0,All Rounder,Jaipur Pink Panthers,1
C Manoj Kumar ,2274,12,14,8,,HYD,116,0,,Telugu Titans,1.1666666666666667
Rajesh Mondal,85,11,14,7,,PUN,117,8,Raider,Puneri Paltan,1.2727272727272727
Shrikant Tewthia,107,8,13,4,,KOL,118,0,All Rounder,Bengal Warriors,1.625
Bhupender Singh,34,4,13,4,,KOL,119,0,All Rounder,Bengal Warriors,3.25
Sunil ,207,11,13,29,,CHE,120,0,All Rounder,Tamil Thalaivas,1.1818181818181819
Anand Patil,576,7,13,3,,JAI,121,8,Raider,Jaipur Pink Panthers,1.8571428571428572
Ziaur Rahman,536,18,12,4,,KOL,122,9,Defender,Bengal Warriors,0.6666666666666666
Parvesh ,786,6,12,7,,PUN,123,0,,Puneri Paltan,2
Krushna Madane,274,6,12,8,,HYD,124,9,Defender,Telugu Titans,2
Shubham Shinde,3103,10,12,7,,PUN,125,0,Defender - Right corner,Puneri Paltan,1.2
Sandeep ,3102,5,10,7,,PUN,126,0,,Puneri Paltan,2
Vishal ,3159,6,10,2,,DEL,127,9,defender,Dabang Delhi K.C.,1.6666666666666667
Kuldeep Singh,252,7,10,6,,PAT,128,9,Defender,Patna Pirates,1.4285714285714286
Rakesh Narwal,204,6,10,4,,KOL,129,8,Raider,Bengal Warriors,1.6666666666666667
Vijin Thangadurai,185,16,10,4,,KOL,130,9,Defender,Bengal Warriors,0.625
Rajaguru Subramanian,84,8,10,5,,MUM,131,9,Defender,U Mumba,1.25
Bhanu Tomar,2278,6,9,30,,U.P.,132,0,,U.P. Yoddha,1.5
Rajnish ,2290,4,9,8,,HYD,133,8,Raider,Telugu Titans,2.25
Anand Tomar,644,5,9,28,,HAR,134,0,,Haryana Steelers,1.8
Ravinder Kumar,292,8,9,6,,PAT,135,9,Defender,Patna Pirates,1.125
Ajit Singh,3056,6,9,3,,JAI,136,8,Raider,Jaipur Pink Panthers,1.5
Anand ,2325,3,8,29,,CHE,137,0,,Tamil Thalaivas,2.6666666666666665
Amit Kumar,3110,6,8,7,,PUN,138,0,,Puneri Paltan,1.3333333333333333
Anil Kumar,765,4,8,29,,CHE,139,9,Defender,Tamil Thalaivas,2
C.Arun ,191,16,8,29,,CHE,140,9,Defender,Tamil Thalaivas,0.5
Yogesh Hooda,245,6,8,2,,DEL,141,8,Raider,Dabang Delhi K.C.,1.3333333333333333
Gopu D,152,5,7,29,,CHE,142,9,Defender,Tamil Thalaivas,1.4
Shabeer Bappu,105,6,7,2,,DEL,143,9,Defender,Dabang Delhi K.C.,1.1666666666666667
Mahesh Magdum,2266,4,7,1,,BLR,144,0,,Bengaluru Bulls,1.75
Lalit Chaudhary,2306,4,7,31,,GUJ,145,0,,Gujarat Giants,1.75
Anil Kumar,386,5,7,2,,DEL,146,8,Raider,Dabang Delhi K.C.,1.4
Bhuvneshwar Gaur,2315,6,6,28,,HAR,147,8,Raider,Haryana Steelers,1
Obiero Victor,2257,3,6,29,,CHE,148,0,All Rounder,Tamil Thalaivas,2
Darshan J.,724,9,6,29,,CHE,149,9,Defender,Tamil Thalaivas,0.6666666666666666
Viraj Vishnu Landge,784,7,6,2,,DEL,150,9,Defender,Dabang Delhi K.C.,0.8571428571428571
Amit ,3126,14,6,30,,U.P.,151,9,defender,U.P. Yoddha,0.42857142857142855
Anuj Kumar,2336,7,6,8,,HYD,152,0,,Telugu Titans,0.8571428571428571
Prateek ,608,6,5,28,,HAR,153,0,,Haryana Steelers,0.8333333333333334
Dharmender ,2314,4,5,31,,GUJ,154,0,,Gujarat Giants,1.25
Arjun Deshwal,2024,3,4,5,,MUM,155,8,Raider,U Mumba,1.3333333333333333
Lokesh Kaushik,599,6,4,3,,JAI,156,0,,Jaipur Pink Panthers,0.6666666666666666
Surender Nada,146,1,4,28,,HAR,157,9,Defender,Haryana Steelers,4
Gangadhari Mallesh,44,6,4,3,,JAI,158,0,All Rounder,Jaipur Pink Panthers,0.6666666666666666
Jasmer Gulia,51,6,4,1,,BLR,159,0,,Bengaluru Bulls,0.6666666666666666
Manoj Dhull,233,8,4,4,,KOL,160,9,Defender,Bengal Warriors,0.5
David Mosambayi,266,4,4,3,,JAI,161,8,Raider,Jaipur Pink Panthers,1
Amit Kumar,267,2,4,4,,KOL,162,9,Defender,Bengal Warriors,2
Sudhanshu Tyagi,2328,13,4,28,,HAR,163,0,,Haryana Steelers,0.3076923076923077
Ajay ,3096,7,4,1,,BLR,164,0,,Bengaluru Bulls,0.5714285714285714
Ankit ,3099,6,3,1,,BLR,165,9,Defender,Bengaluru Bulls,0.5
Rohit Chaudhary,217,6,3,30,,U.P.,166,8,Raider,U.P. Yoddha,0.5
Md Masud Karim,2262,3,3,30,,U.P.,167,8,Raider,U.P. Yoddha,1
Mithin Kumar,2302,3,3,4,,KOL,168,0,,Bengal Warriors,1
Vijay Kumar,768,4,3,6,,PAT,169,9,Defender,Patna Pirates,0.75
Anand V,2021,3,3,1,,BLR,170,8,Raider,Bengaluru Bulls,1
Gaurav Kumar,2313,3,2,5,,MUM,171,0,,U Mumba,0.6666666666666666
Shubham Ashok Palkar,605,4,2,31,,GUJ,172,8,Raider,Gujarat Giants,0.5
Vishav Chaudhary,698,2,2,30,,U.P.,173,0,Defender - Left Cover,U.P. Yoddha,1
N. Shiva Ramakrishna,708,1,2,3,,JAI,174,0,,Jaipur Pink Panthers,2
Wazir Singh,124,2,2,28,,HAR,175,0,All Rounder,Haryana Steelers,1
Amit ,3001,6,2,31,,GUJ,176,9,Defender,Gujarat Giants,0.3333333333333333
Vimal Raj V,2335,5,2,29,,CHE,177,0,,Tamil Thalaivas,0.4
Arun Kumar,2318,2,1,28,,HAR,178,0,,Haryana Steelers,0.5
Vikram Kandola,2351,1,1,31,,GUJ,179,0,,Gujarat Giants,1
Sombir ,3000,4,1,8,,HYD,180,9,Defender,Telugu Titans,0.25
Subash E,3087,2,1,5,,MUM,181,0,All Rounder,U Mumba,0.5
Aashish Nagar,3093,3,1,30,,U.P.,182,0,Defender - Right Corner,U.P. Yoddha,0.3333333333333333
Pankaj ,3089,1,1,30,,U.P.,183,0,All Rounder,U.P. Yoddha,1
Tapas Pal,3148,2,1,2,,DEL,184,0,All Rounder,Dabang Delhi K.C.,0.5
Taedeok Eom,14,11,1,6,,PAT,185,0,,Patna Pirates,0.090909091
Nithesh B R,74,2,1,1,,BLR,186,0,,Bengaluru Bulls,0.5
Bajirao Hodage,164,6,1,3,,JAI,187,9,Defender,Jaipur Pink Panthers,0.16666666666666666
