Defender Success rate,,,
Defender Name,Total Tackles,Successful Tackles,
Ravinder Pahal,118,55,47%
Joginder Narwal,109,47,43%
Vishal Mane,81,37,46%
Rajesh Narwal,41,13,32%
Satpal,24,10,42%
Viraj Vishnu Landge,23,7,30%
Vishal,22,7,32%
Anil Kumar,16,6,38%
Chandran Ranjit,15,4,27%
Yogesh Hooda,13,5,38%
Meraj Sheykh,13,3,23%
Naveen Kumar,12,4,33%
Pawan Kumar,5,0,0%
Tushar Bhoir,4,0,0%
Tapas Pal,3,1,33%
Shabeer Bappu,3,0,0%
Sumit Kumar,1,0,0%
