Defender Success rate,,,
Defender Name,Total Tackles,Successful Tackles,
Surjeet Singh,123,52,42%
Ran Singh,92,42,46%
Baldev Singh,63,24,38%
Ziaur Rahman,42,12,29%
Shrikant Tewthia,24,10,42%
Vijin Thangadurai,21,8,38%
Adarsh T,21,9,43%
Mahesh Goud,17,8,47%
Ravindra Ramesh Kumaw..,16,6,38%
Manoj Dhull,16,3,19%
Amit Nagar,15,6,40%
Jang Kun Lee,11,2,18%
Amit Kumar,8,3,38%
Maninder Singh,6,0,0%
Bhupender Singh,4,2,50%
Rakesh Narwal,2,1,50%
Amaresh Mondal,2,0,0%
