Defender Success rate,,,
Defender Name,Total Tackles,Successful Tackles,
Sunil Kumar,134,72,54%
Parvesh Bhainswal,132,82,62%
Ruturaj Shivaji Koravi,119,46,39%
Sachin V.,58,26,45%
Hadi Oshtorak,29,12,41%
Sachin,19,12,63%
Rohit Gulia,12,3,25%
Vikram Kandola,8,2,25%
Mahendra Rajput,8,1,13%
K. Prapanjan,8,1,13%
C Kalai Arasan,7,0,0%
Amit,6,1,17%
Ajay Kumar,5,1,20%
Lalit Chaudhary,4,3,75%
Anil,2,0,0%
Dong Geon Lee,1,0,0%
