Defender Success rate,,,
Defender Name,Total Tackles,Successful Tackles,
Jaideep,129,55,43%
Vikas Kale,105,36,34%
Jawahar Dagar,53,17,32%
Vijay,41,12,29%
Vikas Jaglan,36,17,47%
Manjeet,32,14,44%
Kuldeep Singh,24,8,33%
Ravinder Kumar,23,8,35%
Manish,22,13,59%
Tae Deok Eom,12,1,8%
Vijay Kumar,10,1,10%
Deepak Narwal,8,5,63%
Tushar Patil,3,0,0%
