season,team_name,player-id-pkdc,Raider Name,Number of Defenders,Total Raids,% of Raids,Empty,Successful,Unsuccessful
PKL-06,U Mumba,,,7,1,10%,,,100.00%
PKL-06,U Mumba,,R. Sriram,3,1,25%,,,100.00%
PKL-06,U Mumba,,,4,1,25%,,,100.00%
PKL-06,U Mumba,,,5,2,50%,,,100.00%
PKL-06,U Mumba,,Rohit Baliyan,2,1,1%,,100.00%,
PKL-06,U Mumba,,,3,10,5%,50.00%,20.00%,30.00%
PKL-06,U Mumba,,Rohit Baliyan,4,21,11%,66.70%,19.00%,14.30%
PKL-06,U Mumba,,,5,34,18%,67.60%,17.60%,14.70%
PKL-06,U Mumba,,,6,60,32%,23.30%,58.30%,18.30%
PKL-06,U Mumba,,,7,62,33%,30.60%,54.80%,14.50%
PKL-06,U Mumba,,Siddharth Sirish Desai,1,9,3%,,100.00%,
PKL-06,U Mumba,,,2,20,6%,10.00%,65.00%,25.00%
PKL-06,U Mumba,,,3,31,10%,22.60%,51.60%,25.80%
PKL-06,U Mumba,,,4,53,17%,39.60%,37.70%,22.60%
PKL-06,U Mumba,,,5,49,15%,42.90%,32.70%,24.50%
PKL-06,U Mumba,,,6,59,18%,13.60%,69.50%,16.90%
PKL-06,U Mumba,,,7,100,31%,16.00%,59.00%,25.00%
PKL-06,U Mumba,,Surender Singh,7,3,100%,100.00%,,
PKL-06,U Mumba,,Vinod Kumar,3,7,10%,85.70%,,14.30%
PKL-06,U Mumba,,,4,8,12%,75.00%,,25.00%
PKL-06,U Mumba,,,5,13,19%,92.30%,,7.70%
PKL-06,U Mumba,,,6,12,18%,66.70%,25.00%,8.30%
PKL-06,U Mumba,,,7,28,41%,35.70%,42.90%,21.40%
PKL-06,Puneri Paltan,,Akshay Jadhav,3,5,5%,60.00%,,40.00%
PKL-06,Puneri Paltan,,,4,15,14%,53.30%,6.70%,40.00%
PKL-06,Puneri Paltan,,,5,20,19%,55.00%,10.00%,35.00%
PKL-06,Puneri Paltan,,,6,24,22%,45.80%,25.00%,29.20%
PKL-06,Puneri Paltan,,,7,44,41%,52.30%,38.60%,9.10%
PKL-06,Puneri Paltan,,Amit Kumar,3,2,7%,100.00%,,
PKL-06,Puneri Paltan,,,4,3,10%,66.70%,,33.30%
PKL-06,Puneri Paltan,,,5,9,31%,66.70%,22.20%,11.10%
PKL-06,Puneri Paltan,,,6,5,17%,80.00%,20.00%,
PKL-06,Puneri Paltan,,,7,10,34%,30.00%,20.00%,50.00%
PKL-06,Puneri Paltan,,Deepak Kumar Dahiya,1,1,1%,,100.00%,
PKL-06,Puneri Paltan,,,3,2,2%,100.00%,,
PKL-06,Puneri Paltan,,,4,6,7%,33.30%,33.30%,33.30%
PKL-06,Puneri Paltan,,,5,20,23%,75.00%,5.00%,20.00%
PKL-06,Puneri Paltan,,,6,22,25%,36.40%,27.30%,36.40%
PKL-06,Puneri Paltan,,,7,37,42%,27.00%,43.20%,29.70%
PKL-06,Puneri Paltan,,Girish Maruti Ernak,5,3,38%,100.00%,,
PKL-06,Puneri Paltan,,,6,4,50%,100.00%,,
PKL-06,Puneri Paltan,,,7,1,13%,,,100.00%
PKL-06,Puneri Paltan,,Monu,2,3,2%,,100.00%,
PKL-06,Puneri Paltan,,,3,5,4%,40.00%,20.00%,40.00%
PKL-06,Puneri Paltan,,,4,11,9%,54.50%,9.10%,36.40%
PKL-06,Puneri Paltan,,,5,34,28%,44.10%,20.60%,35.30%
PKL-06,Puneri Paltan,,,6,33,27%,30.30%,36.40%,33.30%
PKL-06,Puneri Paltan,,,7,37,30%,37.80%,40.50%,21.60%
PKL-06,Puneri Paltan,,More G B,2,6,3%,33.30%,33.30%,33.30%
PKL-06,Puneri Paltan,,,3,7,4%,57.10%,14.30%,28.60%
PKL-06,Puneri Paltan,,,4,14,8%,35.70%,14.30%,50.00%
PKL-06,Puneri Paltan,,,5,39,23%,61.50%,20.50%,17.90%
PKL-06,Puneri Paltan,,,6,40,23%,40.00%,35.00%,25.00%
PKL-06,Puneri Paltan,,,7,67,39%,19.40%,49.30%,31.30%
PKL-06,Puneri Paltan,,Nitin Tomar,1,2,1%,,100.00%,
PKL-06,Puneri Paltan,,,2,8,4%,12.50%,75.00%,12.50%
PKL-06,Puneri Paltan,,,3,17,9%,70.60%,17.60%,11.80%
PKL-06,Puneri Paltan,,,4,21,11%,47.60%,23.80%,28.60%
PKL-06,Puneri Paltan,,,5,30,16%,66.70%,16.70%,16.70%
PKL-06,Puneri Paltan,,,6,49,26%,20.40%,69.40%,10.20%
PKL-06,Puneri Paltan,,,7,65,34%,26.20%,53.80%,20.00%
PKL-06,Puneri Paltan,,Parvesh,2,1,3%,,,100.00%
PKL-06,Puneri Paltan,,,3,2,7%,,50.00%,50.00%
PKL-06,Puneri Paltan,,,4,2,7%,50.00%,50.00%,
PKL-06,Puneri Paltan,,,5,13,43%,61.50%,7.70%,30.80%
PKL-06,Puneri Paltan,,,6,8,27%,50.00%,25.00%,25.00%
PKL-06,Puneri Paltan,,,7,4,13%,25.00%,,75.00%
PKL-06,Puneri Paltan,,Rajesh Mondal,3,5,7%,40.00%,20.00%,40.00%
PKL-06,Puneri Paltan,,,4,10,13%,40.00%,10.00%,50.00%
PKL-06,Puneri Paltan,,,5,22,29%,59.10%,18.20%,22.70%
PKL-06,Puneri Paltan,,,6,15,20%,40.00%,20.00%,40.00%
PKL-06,Puneri Paltan,,,7,23,31%,65.20%,17.40%,17.40%
PKL-06,Puneri Paltan,,Ravi Kumar,7,1,100%,100.00%,,
PKL-06,Puneri Paltan,,Rinku Narwal,4,1,14%,,,100.00%
PKL-06,Puneri Paltan,,,5,4,57%,75.00%,,25.00%
PKL-06,Puneri Paltan,,,7,2,29%,50.00%,50.00%,
PKL-06,Puneri Paltan,,Sandeep,5,2,22%,,50.00%,50.00%
PKL-06,Puneri Paltan,,,7,7,78%,28.60%,42.90%,28.60%
PKL-06,Puneri Paltan,,Sandeep Narwal,1,2,2%,,100.00%,
PKL-06,Puneri Paltan,,,2,1,1%,100.00%,,
PKL-06,Puneri Paltan,,,3,7,8%,85.70%,,14.30%
PKL-06,Puneri Paltan,,,4,9,10%,66.70%,11.10%,22.20%
PKL-06,Puneri Paltan,,,5,12,14%,91.70%,,8.30%
PKL-06,Puneri Paltan,,,6,17,20%,88.20%,11.80%,
PKL-06,Puneri Paltan,,,7,38,44%,50.00%,31.60%,18.40%
PKL-06,Puneri Paltan,,Shubham Shinde,5,4,36%,75.00%,,25.00%
PKL-06,Puneri Paltan,,,6,4,36%,75.00%,,25.00%
PKL-06,Puneri Paltan,,,7,3,27%,100.00%,,
PKL-06,Patna Pirates,,Deepak Narwal,1,1,1%,,100.00%,
PKL-06,Patna Pirates,,,2,1,1%,,100.00%,
PKL-06,Patna Pirates,,,3,2,1%,50.00%,,50.00%
PKL-06,Patna Pirates,,,4,14,10%,64.30%,7.10%,28.60%
PKL-06,Patna Pirates,,,5,19,14%,36.80%,36.80%,26.30%
PKL-06,Patna Pirates,,,6,30,21%,16.70%,53.30%,30.00%
PKL-06,Patna Pirates,,,7,73,52%,34.20%,43.80%,21.90%
PKL-06,Patna Pirates,,Jaideep,3,1,13%,100.00%,,
PKL-06,Patna Pirates,,,5,1,13%,100.00%,,
PKL-06,Patna Pirates,,,7,6,75%,83.30%,,16.70%
PKL-06,Patna Pirates,,Jawahar Dagar,6,1,20%,100.00%,,
PKL-06,Patna Pirates,,,7,4,80%,25.00%,25.00%,50.00%
PKL-06,Patna Pirates,,Kuldeep Singh,7,1,100%,100.00%,,
PKL-06,Patna Pirates,,Manjeet,1,1,1%,,100.00%,
PKL-06,Patna Pirates,,,2,2,1%,50.00%,50.00%,
PKL-06,Patna Pirates,,,3,16,8%,25.00%,50.00%,25.00%
PKL-06,Patna Pirates,,,4,35,19%,42.90%,25.70%,31.40%
PKL-06,Patna Pirates,,,5,42,22%,38.10%,38.10%,23.80%
PKL-06,Patna Pirates,,,6,36,19%,25.00%,50.00%,25.00%
PKL-06,Patna Pirates,,,7,57,30%,24.60%,43.90%,31.60%
PKL-06,Patna Pirates,,Pardeep Narwal,1,6,2%,,100.00%,
PKL-06,Patna Pirates,,,2,34,9%,5.90%,79.40%,14.70%
PKL-06,Patna Pirates,,,3,47,12%,36.20%,40.40%,23.40%
PKL-06,Patna Pirates,,,4,45,12%,26.70%,51.10%,22.20%
PKL-06,Patna Pirates,,,5,60,15%,48.30%,31.70%,20.00%
PKL-06,Patna Pirates,,,6,67,17%,19.40%,61.20%,19.40%
PKL-06,Patna Pirates,,,7,132,34%,25.00%,43.20%,31.80%
PKL-06,Patna Pirates,,Surender Singh,7,1,100%,,,100.00%
PKL-06,Patna Pirates,,Tae Deok Eom,7,2,100%,50.00%,,50.00%
PKL-06,Patna Pirates,,Tushar Patil,3,2,5%,50.00%,50.00%,
PKL-06,Patna Pirates,,,4,3,8%,33.30%,,66.70%
PKL-06,Patna Pirates,,,5,14,37%,57.10%,14.30%,28.60%
PKL-06,Patna Pirates,,,6,5,13%,,80.00%,20.00%
PKL-06,Patna Pirates,,,7,14,37%,28.60%,42.90%,28.60%
PKL-06,Patna Pirates,,Vijay,3,3,3%,100.00%,,
PKL-06,Patna Pirates,,,4,9,8%,66.70%,11.10%,22.20%
PKL-06,Patna Pirates,,,5,31,28%,45.20%,22.60%,32.30%
PKL-06,Patna Pirates,,,6,20,18%,30.00%,70.00%,
PKL-06,Patna Pirates,,,7,48,43%,22.90%,58.30%,18.80%
PKL-06,Patna Pirates,,Vijay Kumar,6,1,50%,,100.00%,
PKL-06,Patna Pirates,,,7,1,50%,100.00%,,
PKL-06,Patna Pirates,,Vikas Jaglan,3,2,5%,,,100.00%
PKL-06,Patna Pirates,,,4,4,10%,50.00%,25.00%,25.00%
PKL-06,Patna Pirates,,,5,7,17%,100.00%,,
PKL-06,Patna Pirates,,,6,10,24%,30.00%,60.00%,10.00%
PKL-06,Patna Pirates,,,7,19,45%,42.10%,31.60%,26.30%
PKL-06,Patna Pirates,,Vikas Kale,6,1,25%,100.00%,,
PKL-06,Patna Pirates,,,7,3,75%,100.00%,,
PKL-06,Telugu Titans,,Abozar Mighani,3,9,35%,100.00%,,
PKL-06,Telugu Titans,,,4,5,19%,100.00%,,
PKL-06,Telugu Titans,,,5,6,23%,100.00%,,
PKL-06,Telugu Titans,,,6,4,15%,100.00%,,
PKL-06,Telugu Titans,,,7,2,8%,100.00%,,
PKL-06,Telugu Titans,,Anil Kumar,5,1,11%,100.00%,,
PKL-06,Telugu Titans,,,6,5,56%,100.00%,,
PKL-06,Telugu Titans,,,7,3,33%,33.30%,,66.70%
PKL-06,Telugu Titans,,Ankit Beniwal,6,2,67%,50.00%,,50.00%
PKL-06,Telugu Titans,,,7,1,33%,,,100.00%
PKL-06,Telugu Titans,,Anuj Kumar,6,3,60%,100.00%,,
PKL-06,Telugu Titans,,,7,2,40%,50.00%,50.00%,
PKL-06,Telugu Titans,,Armaan,2,1,4%,,100.00%,
PKL-06,Telugu Titans,,,4,1,4%,100.00%,,
PKL-06,Telugu Titans,,,5,4,17%,50.00%,25.00%,25.00%
PKL-06,Telugu Titans,,,6,6,26%,,50.00%,50.00%
PKL-06,Telugu Titans,,,7,11,48%,18.20%,45.50%,36.40%
PKL-06,Telugu Titans,,C Manoj Kumar,4,2,10%,,,100.00%
PKL-06,Telugu Titans,,,5,8,38%,25.00%,37.50%,37.50%
PKL-06,Telugu Titans,,,6,5,24%,20.00%,40.00%,40.00%
PKL-06,Telugu Titans,,,7,6,29%,33.30%,33.30%,33.30%
PKL-06,Telugu Titans,,Farhad Milaghardan,2,2,3%,,50.00%,50.00%
PKL-06,Telugu Titans,,,3,3,5%,33.30%,33.30%,33.30%
PKL-06,Telugu Titans,,,4,5,8%,40.00%,20.00%,40.00%
PKL-06,Telugu Titans,,,5,12,20%,75.00%,16.70%,8.30%
PKL-06,Telugu Titans,,,6,10,16%,50.00%,50.00%,
PKL-06,Telugu Titans,,,7,29,48%,55.20%,24.10%,20.70%
PKL-06,Telugu Titans,,Kamal Singh,4,2,6%,100.00%,,
PKL-06,Telugu Titans,,,5,12,34%,75.00%,16.70%,8.30%
PKL-06,Telugu Titans,,,6,6,17%,83.30%,,16.70%
PKL-06,Telugu Titans,,,7,15,43%,26.70%,33.30%,40.00%
PKL-06,Telugu Titans,,Krushna Madane,5,2,67%,100.00%,,
PKL-06,Telugu Titans,,,6,1,33%,,100.00%,
PKL-06,Telugu Titans,,Mohsen Maghsoudlou,2,2,2%,50.00%,,50.00%
PKL-06,Telugu Titans,,,3,5,5%,60.00%,20.00%,20.00%
PKL-06,Telugu Titans,,,4,21,19%,47.60%,14.30%,38.10%
PKL-06,Telugu Titans,,,5,23,21%,65.20%,13.00%,21.70%
PKL-06,Telugu Titans,,,6,23,21%,52.20%,34.80%,13.00%
PKL-06,Telugu Titans,,,7,37,33%,51.40%,29.70%,18.90%
PKL-06,Telugu Titans,,Nilesh Salunke,1,1,0%,,100.00%,
PKL-06,Telugu Titans,,,2,4,2%,25.00%,25.00%,50.00%
PKL-06,Telugu Titans,,,3,10,5%,60.00%,,40.00%
PKL-06,Telugu Titans,,,4,27,13%,59.30%,11.10%,29.60%
PKL-06,Telugu Titans,,,5,41,20%,56.10%,17.10%,26.80%
PKL-06,Telugu Titans,,,6,50,25%,36.00%,44.00%,20.00%
PKL-06,Telugu Titans,,,7,68,34%,33.80%,39.70%,26.50%
PKL-06,Telugu Titans,,Rahul Chaudhari,1,5,1%,,100.00%,
PKL-06,Telugu Titans,,,2,18,5%,5.60%,77.80%,16.70%
PKL-06,Telugu Titans,,,3,25,7%,24.00%,48.00%,28.00%
PKL-06,Telugu Titans,,,4,43,12%,44.20%,20.90%,34.90%
PKL-06,Telugu Titans,,,5,57,16%,42.10%,22.80%,35.10%
PKL-06,Telugu Titans,,,6,83,24%,43.40%,48.20%,8.40%
PKL-06,Telugu Titans,,,7,119,34%,31.90%,38.70%,29.40%
PKL-06,Telugu Titans,,Rajnish,4,3,12%,66.70%,33.30%,
PKL-06,Telugu Titans,,,5,6,23%,50.00%,,50.00%
PKL-06,Telugu Titans,,,6,4,15%,25.00%,25.00%,50.00%
PKL-06,Telugu Titans,,,7,13,50%,30.80%,46.20%,23.10%
PKL-06,Telugu Titans,,Rakshith,4,4,10%,,25.00%,75.00%
PKL-06,Telugu Titans,,,5,5,13%,40.00%,20.00%,40.00%
PKL-06,Telugu Titans,,,6,11,28%,27.30%,27.30%,45.50%
PKL-06,Telugu Titans,,,7,19,49%,31.60%,36.80%,31.60%
PKL-06,Telugu Titans,,Vishal Bhardwaj,3,4,10%,100.00%,,
PKL-06,Telugu Titans,,,4,2,5%,100.00%,,
PKL-06,Telugu Titans,,,5,20,50%,100.00%,,
PKL-06,Telugu Titans,,,6,5,13%,100.00%,,
PKL-06,Telugu Titans,,,7,9,23%,100.00%,,
PKL-06,Jaipur Pink Panthers,,Ajinkya Ashok,2,7,4%,14.30%,57.10%,28.60%
PKL-06,Jaipur Pink Panthers,,Pawar,3,13,8%,23.10%,61.50%,15.40%
PKL-06,Jaipur Pink Panthers,,,4,22,13%,45.50%,36.40%,18.20%
PKL-06,Jaipur Pink Panthers,,,5,38,23%,34.20%,34.20%,31.60%
PKL-06,Jaipur Pink Panthers,,,6,28,17%,32.10%,35.70%,32.10%
PKL-06,Jaipur Pink Panthers,,,7,55,34%,45.50%,29.10%,25.50%
PKL-06,Jaipur Pink Panthers,,Ajit Singh,4,3,16%,33.30%,33.30%,33.30%
PKL-06,Jaipur Pink Panthers,,,5,4,21%,75.00%,,25.00%
PKL-06,Jaipur Pink Panthers,,,6,2,11%,,50.00%,50.00%
PKL-06,Jaipur Pink Panthers,,,7,10,53%,10.00%,50.00%,40.00%
PKL-06,Jaipur Pink Panthers,,Amit Kumar,2,1,3%,,,100.00%
PKL-06,Jaipur Pink Panthers,,,4,6,17%,16.70%,16.70%,66.70%
PKL-06,Jaipur Pink Panthers,,,5,9,26%,22.20%,11.10%,66.70%
PKL-06,Jaipur Pink Panthers,,,6,10,29%,60.00%,10.00%,30.00%
PKL-06,Jaipur Pink Panthers,,,7,9,26%,22.20%,77.80%,
PKL-06,Jaipur Pink Panthers,,Anand Patil,3,1,2%,,,100.00%
PKL-06,Jaipur Pink Panthers,,,4,8,15%,100.00%,,
PKL-06,Jaipur Pink Panthers,,,5,10,19%,60.00%,10.00%,30.00%
PKL-06,Jaipur Pink Panthers,,,6,10,19%,50.00%,10.00%,40.00%
PKL-06,Jaipur Pink Panthers,,,7,23,44%,34.80%,30.40%,34.80%
PKL-06,Jaipur Pink Panthers,,Anup Kumar,2,7,6%,14.30%,28.60%,57.10%
PKL-06,Jaipur Pink Panthers,,,3,23,18%,78.30%,17.40%,4.30%
PKL-06,Jaipur Pink Panthers,,,4,13,10%,92.30%,,7.70%
PKL-06,Jaipur Pink Panthers,,,5,19,15%,89.50%,,10.50%
PKL-06,Jaipur Pink Panthers,,,6,16,13%,31.30%,43.80%,25.00%
PKL-06,Jaipur Pink Panthers,,,7,49,39%,46.90%,34.70%,18.40%
PKL-06,Jaipur Pink Panthers,,David Mosambayi,5,2,33%,,,100.00%
PKL-06,Jaipur Pink Panthers,,,7,4,67%,25.00%,25.00%,50.00%
PKL-06,Jaipur Pink Panthers,,Deepak Hooda,1,4,1%,,100.00%,
PKL-06,Jaipur Pink Panthers,,,2,14,4%,,64.30%,35.70%
PKL-06,Jaipur Pink Panthers,,,3,26,7%,50.00%,30.80%,19.20%
PKL-06,Jaipur Pink Panthers,,,4,45,12%,48.90%,31.10%,20.00%
PKL-06,Jaipur Pink Panthers,,,5,48,13%,68.80%,18.80%,12.50%
PKL-06,Jaipur Pink Panthers,,,6,81,22%,24.70%,53.10%,22.20%
PKL-06,Jaipur Pink Panthers,,,7,149,41%,28.20%,51.70%,20.10%
PKL-06,Jaipur Pink Panthers,,Gangadhari,4,1,11%,100.00%,,
PKL-06,Jaipur Pink Panthers,,Mallesh,5,4,44%,50.00%,25.00%,25.00%
PKL-06,Jaipur Pink Panthers,,,6,1,11%,100.00%,,
PKL-06,Jaipur Pink Panthers,,,7,3,33%,33.30%,,66.70%
PKL-06,Jaipur Pink Panthers,,Lokesh Kaushik,5,1,9%,,,100.00%
PKL-06,Jaipur Pink Panthers,,,6,2,18%,50.00%,50.00%,
PKL-06,Jaipur Pink Panthers,,,7,8,73%,37.50%,12.50%,50.00%
PKL-06,Jaipur Pink Panthers,,Mohit Chhillar,6,1,25%,100.00%,,
PKL-06,Jaipur Pink Panthers,,,7,3,75%,66.70%,,33.30%
PKL-06,Jaipur Pink Panthers,,Nitin Rawal,2,6,11%,16.70%,50.00%,33.30%
PKL-06,Jaipur Pink Panthers,,,3,8,14%,50.00%,37.50%,12.50%
PKL-06,Jaipur Pink Panthers,,,4,10,18%,20.00%,30.00%,50.00%
PKL-06,Jaipur Pink Panthers,,,5,8,14%,75.00%,25.00%,
PKL-06,Jaipur Pink Panthers,,,6,11,19%,45.50%,36.40%,18.20%
PKL-06,Jaipur Pink Panthers,,,7,14,25%,50.00%,35.70%,14.30%
PKL-06,Jaipur Pink Panthers,,Sandeep Dhull,7,1,100%,100.00%,,
PKL-06,Jaipur Pink Panthers,,Santhapanaselva..,7,1,100%,100.00%,,
PKL-06,Jaipur Pink Panthers,,Selvamani K,3,1,1%,100.00%,,
PKL-06,Jaipur Pink Panthers,,,4,5,6%,80.00%,,20.00%
PKL-06,Jaipur Pink Panthers,,,5,13,16%,84.60%,,15.40%
PKL-06,Jaipur Pink Panthers,,,6,26,32%,23.10%,42.30%,34.60%
PKL-06,Jaipur Pink Panthers,,,7,37,45%,37.80%,43.20%,18.90%
PKL-06,Jaipur Pink Panthers,,Sunil Siddhgavali,4,2,13%,100.00%,,
PKL-06,Jaipur Pink Panthers,,,5,2,13%,100.00%,,
PKL-06,Jaipur Pink Panthers,,,6,3,20%,,66.70%,33.30%
PKL-06,Jaipur Pink Panthers,,,7,8,53%,62.50%,25.00%,12.50%
PKL-06,Bengaluru Bulls,,Anand V,3,4,27%,50.00%,,50.00%
PKL-06,Bengaluru Bulls,,,5,4,27%,25.00%,25.00%,50.00%
PKL-06,Bengaluru Bulls,,,6,2,13%,,50.00%,50.00%
PKL-06,Bengaluru Bulls,,,7,5,33%,80.00%,20.00%,
PKL-06,Bengaluru Bulls,,Ankit,7,2,100%,100.00%,,
PKL-06,Bengaluru Bulls,,Ashish Kumar,4,1,4%,100.00%,,
PKL-06,Bengaluru Bulls,,,5,4,15%,100.00%,,
PKL-06,Bengaluru Bulls,,,6,8,30%,87.50%,,12.50%
PKL-06,Bengaluru Bulls,,,7,14,52%,71.40%,21.40%,7.10%
PKL-06,Bengaluru Bulls,,Gyung Tae Kim,5,1,100%,,,100.00%
PKL-06,Bengaluru Bulls,,Harish Naik,4,1,3%,,,100.00%
PKL-06,Bengaluru Bulls,,,5,4,14%,50.00%,25.00%,25.00%
PKL-06,Bengaluru Bulls,,,6,3,10%,,66.70%,33.30%
PKL-06,Bengaluru Bulls,,,7,21,72%,19.00%,52.40%,28.60%
PKL-06,Bengaluru Bulls,,Kashiling Adake,1,2,1%,,100.00%,
PKL-06,Bengaluru Bulls,,,3,13,8%,76.90%,15.40%,7.70%
PKL-06,Bengaluru Bulls,,,4,21,13%,66.70%,19.00%,14.30%
PKL-06,Bengaluru Bulls,,,5,35,21%,68.60%,11.40%,20.00%
PKL-06,Bengaluru Bulls,,,6,37,23%,40.50%,45.90%,13.50%
PKL-06,Bengaluru Bulls,,,7,56,34%,35.70%,39.30%,25.00%
PKL-06,Bengaluru Bulls,,Mahender Singh,3,1,10%,100.00%,,
