Defender Success rate,,,
Defender Name,Total Tackles,Successful Tackles,
Shadloui Chianeh,146,88,60%
Neeraj Kumar,118,52,44%
Sunil,100,48,48%
C Sajin,64,31,48%
Monu Goyat,30,15,50%
Shubham Shinde,28,16,57%
Monu Sandhu,20,9,45%
Sachin Tanwar,14,7,50%
Sourav Gulia,10,5,50%
Guman Singh,9,2,22%
Prashanth Kumar Rai,4,1,25%
Rajveersinh Chavan,2,0,0%
Balaji D,2,1,50%
Sandeep,1,0,0%
Manuj,1,1,100%
Daniel Omondi Odhiambo,1,0,0%
