Defender Success rate,,,
Defender Name,Total Tackles,Successful Tackles,
Surinder Singh,100,30,30%
Sandeep Kandola,80,40,50%
Akash Choudhary,73,29,40%
Ruturaj Koravi,37,15,41%
Prince D,32,9,28%
Muhammed Shihas S,31,11,35%
C. Arun,30,9,30%
Ankit Beniwal,27,15,56%
Adarsh T,24,9,38%
Rohit Kumar,19,6,32%
Rajnish,13,6,46%
Galla Raju,11,7,64%
Rakesh Gowda,7,4,57%
Palla Ramakrishna,6,1,17%
Manish,3,0,0%
Siddharth Desai,1,1,100%
Aakash Dattu Arsul,1,0,0%
