Defender Success rate,,,
Defender Name,Total Tackles,Successful Tackles,
Sombir,107,54,50%
Vishal Bhardwaj,95,42,44%
Abinesh Nadarajan,85,40,47%
Sanket Sawant,75,26,35%
Asalam Inamdar,49,21,43%
Mohit Goyat,41,25,61%
Nitin Tomar,25,12,48%
Karamvir,20,6,30%
Baldev Singh,11,5,45%
Jadhav Shahaji,10,2,20%
Pankaj Mohite,4,1,25%
Vishwas S,1,1,100%
Shubham Shelke,1,0,0%
Rahul Chaudhari,1,0,0%
Hadi Tajik,1,1,100%
Akash Shinde,1,0,0%
