Defender Success rate,,,
Defender Name,Total Tackles,Successful Tackles,
Saurabh Nandal,109,63,58%
Aman,104,51,49%
Mahender Singh,74,34,46%
Mayur Kadam,48,14,29%
Bharat Naresh,39,14,36%
Pawan Sehrawat,34,13,38%
More GB,32,15,47%
Mohit Sehrawat,28,9,32%
Jaideep,16,5,31%
Chandran Ranjit,14,9,64%
Ankit,12,7,58%
Amit Sheoran,11,3,27%
Rohit Kumar,3,1,33%
Deepak Narwal,3,0,0%
Rohit Sangwan,1,0,0%
Dong Geon Lee,1,0,0%
Banty,1,0,0%
