Defender Success rate,,,
Defender Name,Total Tackles,Successful Tackles,
Manjeet Chhillar,131,51,39%
Sandeep Narwal,90,37,41%
Joginder Narwal,82,30,37%
Jeeva Kumar,76,23,30%
Krishan Dhull,60,25,42%
Ashu Malik,18,6,33%
Vijay Jaglan,17,6,35%
Mohammad Malak,9,4,44%
Vikash Kumar D,8,2,25%
Neeraj Narwal,7,2,29%
Naveen Kumar,6,3,50%
Manjeet,5,2,40%
Deepak Kala,4,0,0%
Ajay Thakur,4,1,25%
Vinay Kumar,1,0,0%
Sushant Sail,1,0,0%
Surjeet Singh,1,0,0%
Sagar,1,0,0%
Balram,1,1,100%
