Defender Success rate,,,
Defender Name,Total Tackles,Successful Tackles,
Sagar,134,75,56%
Surjeet Singh,100,50,50%
Sahil,86,30,35%
Mohit,64,23,36%
M. Abishek,31,13,42%
Sagar Krishna,24,5,21%
Manjeet,24,8,33%
Ajinkya Pawar,10,4,40%
Aashish,10,4,40%
Himanshu,9,2,22%
Athul MS,5,0,0%
Himanshu Singh,4,1,25%
Bhavani Rajput,4,0,0%
Santhapanaselvam,3,0,0%
Sandaruwan Asiri,1,0,0%
