,tour_name,result_code,series_id,end_date,event_sub_status,start_date,event_status,winning_margin,venue_id,sport,venue_name,game_id,event_stage,event_name,league_code,series_name,tour_id,venue_gmt_offset,team1_name,team1_score,team1_highlight,team2_name,team2_score,team2_highlight,winner,team1_player1_name,team1_player1_id,team1_player1_value,team1_player1_type,team1_player2_name,team1_player2_id,team1_player2_value,team1_player2_type,team1_player3_name,team1_player3_id,team1_player3_value,team1_player3_type,team1_player4_name,team1_player4_id,team1_player4_value,team1_player4_type,team1_player5_name,team1_player5_id,team1_player5_value,team1_player5_type,team2_player1_name,team2_player1_id,team2_player1_value,team2_player1_type,team2_player2_name,team2_player2_id,team2_player2_value,team2_player2_type,team2_player3_name,team2_player3_id,team2_player3_value,team2_player3_type,team2_player4_name,team2_player4_id,team2_player4_value,team2_player4_type,team2_player5_name,team2_player5_id,team2_player5_value,team2_player5_type,win_by_coin_toss,extra_time,golden_raid
52,"Pro Kabaddi League Season 8, 2021",W,20,2022-01-14 19:30+05:30,Jaipur Pink Panthers won by 10 Pts,2022-01-14 19:30+05:30,Match Completed,10,1029,kabaddi,"Sheraton Grand, Whitefield, Bengaluru",2752,League,Match 53,pkl,"Pro Kabaddi League Season 8, 2021",20,+05:30,Jaipur Pink Panthers,38,true,Patna Pirates,28,false,Jaipur Pink Panthers,Sandeep Dhull,290,0,Defender - Left Corner,Amit ,3001,1,Defender,Arjun Deshwal,2024,9,Raider,Pavan TR,3021,1,Defender,,,,,Prashanth Rai,155,6,Raider,Monu Goyat,388,7,Raider,Neeraj Kumar,3107,2,Defender - Right Cover,Monu ,3082,2,Raider,Shubham Shinde,3103,0,Defender - Right Corner,,False,False
53,"Pro Kabaddi League Season 8, 2021",W,20,2022-01-14 20:30+05:30,Bengaluru Bulls won by 9 Pts,2022-01-14 20:30+05:30,Match Completed,9,1029,kabaddi,"Sheraton Grand, Whitefield, Bengaluru",2753,League,Match 54,pkl,"Pro Kabaddi League Season 8, 2021",20,+05:30,Gujarat Giants,37,false,Bengaluru Bulls,46,true,Bengaluru Bulls,Sunil Kumar,368,4,Defender,Mahendra Rajput,163,1,Raider,Hadi Oshtorak,249,3,All Rounder,Parvesh Bhainswal,357,4,Defender - Left Cover,Ankit ,3227,2,Defender - Right Corner,Pawan Kumar,318,19,Raider,Mahender Singh,769,1,Defender - Left Cover,More G B,772,0,Raider,Saurabh Nandal,3228,3,Defender - Right Corner,Mayur Kadam,4848,1,Defender - Right Cover,,False,False
54,"Pro Kabaddi League Season 8, 2021",W,20,2022-01-15 19:30+05:30,Dabang Delhi K.C. won by 3 Pts,2022-01-15 19:30+05:30,Match Completed,3,1029,kabaddi,"Sheraton Grand, Whitefield, Bengaluru",2754,League,Match 55,pkl,"Pro Kabaddi League Season 8, 2021",20,+05:30,Haryana Steelers,25,false,Dabang Delhi K.C.,28,true,Dabang Delhi K.C.,Meetu ,4183,5,Raider,Jaideep ,4184,2,Defender - Left Cover,Mohit ,4954,1,Defender - Right Cover,,,,,,,,,Sandeep Narwal,142,1,All Rounder,Jeeva Kumar,54,1,Defender,Vijay Malik,3081,11,All-Rounder,Vikash D,4021,1,Defender,Ashu Malik,4947,3,Raider,,False,False
55,"Pro Kabaddi League Season 8, 2021",W,20,2022-01-15 20:30+05:30,U.P. Yoddhas won by 6 Pts,2022-01-15 20:30+05:30,Match Completed,6,1029,kabaddi,"Sheraton Grand, Whitefield, Bengaluru",2755,League,Match 56,pkl,"Pro Kabaddi League Season 8, 2021",20,+05:30,U.P. Yoddhas,39,true,Telugu Titans,33,false,U.P. Yoddhas,Pardeep Narwal,197,10,Raider,,,,,,,,,,,,,,,,,Rohit Kumar,326,1,Raider,Surinder Singh,3086,0,Defender,Ankit Beniwal,2322,9,Raider,Adarsh T,3095,3,Defender - Left Corner,Akash Choudhary,3004,1,Defender - Right Corner,,False,False
56,"Pro Kabaddi League Season 8, 2021",T,20,2022-01-15 21:30+05:30,Match Tied,2022-01-15 21:30+05:30,Match Completed,,1029,kabaddi,"Sheraton Grand, Whitefield, Bengaluru",2756,League,Match 57,pkl,"Pro Kabaddi League Season 8, 2021",20,+05:30,U Mumba,31,false,Bengal Warriors,32,false,Tie,Fazel Atrachali,259,3,Defender,Mohsen Maghsoudlou,567,0,All-Rounder,Abhishek Singh,2028,13,Raider,V Ajith Kumar,3053,5,Raider,Rinku ,3964,1,Defender - Right Corner,Ravindra Kumavat,3094,0,Raider,Abozar Mighani,489,3,Defender - Right Corner,,,,,,,,,,,,,,False,False
57,"Pro Kabaddi League Season 8, 2021",T,20,2022-01-16 19:30+05:30,Match Tied,2022-01-16 19:30+05:30,Match Completed,,1029,kabaddi,"Sheraton Grand, Whitefield, Bengaluru",2757,League,Match 58,pkl,"Pro Kabaddi League Season 8, 2021",20,+05:30,Tamil Thalaivas,31,false,Jaipur Pink Panthers,31,false,Tie,Surjeet Singh,322,5,Defender - Right Cover,Bhavani Rajput,660,2,Raider,Sagar ,3236,4,Defender - Right Corner,Mohit ,4964,0,Defender - Left Cover,Sahil Singh,4965,3,Defender - Left Corner,Deepak Hooda,41,3,All-Rounder,Sandeep Dhull,290,5,Defender - Left Corner,Naveen ,2357,6,Raider,Sahul Kumar,4769,1,Defender - Right Corner,,,,,,False,False
58,"Pro Kabaddi League Season 8, 2021",W,20,2022-01-16 20:30+05:30,Patna Pirates won by 7 Pts,2022-01-16 20:30+05:30,Match Completed,7,1029,kabaddi,"Sheraton Grand, Whitefield, Bengaluru",2758,League,Match 59,pkl,"Pro Kabaddi League Season 8, 2021",20,+05:30,Patna Pirates,38,true,Bengaluru Bulls,31,false,Patna Pirates,Prashanth Rai,155,2,Raider,Sachin ,757,8,Raider,Neeraj Kumar,3107,3,Defender - Right Cover,Sunil ,3106,9,Defender - Right Corner,Guman Singh,3032,7,Raider,Mahender Singh,769,6,Defender - Left Cover,Amit Sheoran,3115,0,Defender,Saurabh Nandal,3228,6,Defender - Right Corner,,,,,,,,,,False,False
59,"Pro Kabaddi League Season 8, 2021",W,20,2022-01-17 19:30+05:30,U.P. Yoddhas won by 10 Pts,2022-01-17 19:30+05:30,Match Completed,10,1029,kabaddi,"Sheraton Grand, Whitefield, Bengaluru",2759,League,Match 60,pkl,"Pro Kabaddi League Season 8, 2021",20,+05:30,Puneri Paltan,40,false,U.P. Yoddhas,50,true,U.P. Yoddhas,Nitin Tomar,320,0,Raider,Sombir ,3000,0,Defender,Vishal Bhardwaj,3083,2,Defender,Sanket Sawant,3234,2,Defender - Left Cover,Mohit Goyat,4022,13,Raider,Shrikant Jadhav,106,3,Raider,Surender Gill,3241,21,Raider,,,,,,,,,,,,,,False,False
60,"Pro Kabaddi League Season 8, 2021",W,20,2022-01-17 20:30+05:30,Bengal Warriors won by 1 Pts,2022-01-17 20:30+05:30,Match Completed,1,1029,kabaddi,"Sheraton Grand, Whitefield, Bengaluru",2760,League,Match 61,pkl,"Pro Kabaddi League Season 8, 2021",20,+05:30,Telugu Titans,27,false,Bengal Warriors,28,true,Bengal Warriors,Surinder Singh,3086,0,Defender,Ankit Beniwal,2322,4,Raider,Rajnish ,2290,11,Raider,Adarsh T,3095,1,Defender - Left Corner,Akash Choudhary,3004,3,Defender - Right Corner,Maninder Singh,143,10,Raider,Ran Singh,160,4,All- Rounder,Sukesh Hegde,111,5,Raider,Vijin Thangadurai,185,1,Defender - Right Cover,Amit Nirwal,3126,2,Defender,,False,False
61,"Pro Kabaddi League Season 8, 2021",W,20,2022-01-18 19:30+05:30,Dabang Delhi K.C. won by 3 Pts,2022-01-18 19:30+05:30,Match Completed,3,1029,kabaddi,"Sheraton Grand, Whitefield, Bengaluru",2761,League,Match 62,pkl,"Pro Kabaddi League Season 8, 2021",20,+05:30,Dabang Delhi K.C.,32,true,Patna Pirates,29,false,Dabang Delhi K.C.,Sandeep Narwal,142,8,All Rounder,Jeeva Kumar,54,2,Defender,Manjeet Chhillar,69,2,All Rounder,Mohammad Malak,4941,2,Defender,Krishan ,4949,2,Defender,Prashanth Rai,155,6,Raider,Neeraj Kumar,3107,4,Defender - Right Cover,Monu ,3082,1,Raider,Shubham Shinde,3103,1,Defender - Right Corner,Mohammadreza Chiyaneh,4925,3,All-Rounder,,False,False
