Defender Success rate,,,
Defender Name,Total Tackles,Successful Tackles,
Sandeep Dhull,118,52,44%
Vishal Lather,100,40,40%
Shaul Kumar,94,43,46%
Deepak Rajendar Singh,55,15,27%
Nitin Rawal,27,12,44%
Amit Kharb,26,8,31%
Brijendra Singh Chaudha..,17,8,47%
Naveen,16,7,44%
Deepak Hooda,14,3,21%
Pavan TR,13,4,31%
Dharmaraj Cheralathan,11,2,18%
Amit Nagar,8,3,38%
Amit Hooda,5,2,40%
Arjun Deshwal,4,1,25%
Sachin Narwal,2,0,0%
Amin Nosrati,2,1,50%
