Defender Success rate,,,
Defender Name,Total Tackles,Successful Tackles,
Fazel Atrachali,112,50,45%
Rinku Hc,110,53,48%
Harendra Kumar,70,28,40%
Rahul Rana,66,29,44%
Ashish Kumar,26,12,46%
Mohsen Maghsoudlou,20,9,45%
Shivam,13,4,31%
Sunil Siddhgavali,10,3,30%
Ajeet,9,3,33%
Abhishek Singh,8,2,25%
Ajinkya Kapre,7,3,43%
V. Ajith Kumar,3,0,0%
Prince,3,1,33%
Prathap S,1,0,0%
Pankaj,1,0,0%
Baljinder Darshan Singh,1,0,0%
