Defender Success rate,,,
Defender Name,Total Tackles,Successful Tackles,
Sumit,141,59,42%
Nitesh Kumar,104,53,51%
Ashu Singh,104,42,40%
Shubham Kumar,69,27,39%
Gurdeep,43,14,33%
Surender Gill,19,7,37%
Shrikant Jadhav,11,5,45%
Mohammad Taghi,6,3,50%
Rohit Tomar,5,1,20%
Pardeep Narwal,4,0,0%
Gaurav Kumar,4,1,25%
Ankit,4,2,50%
Aman Hooda,2,1,50%
Aashish Nagar,2,0,0%
Nitin Panwar,1,0,0%
Mohit,1,0,0%
