Team Line Up,,,,
Team Name,Player Name,Position,Total Played,Total Starts
Bengal Warriors,Maninder Singh,Raider,22,22
Bengal Warriors,Abozar Mohajermighani,Right Corner,22,22
Bengal Warriors,Esmaeil Nabibakhsh,All Rounder,20,20
Bengal Warriors,Amit Nirwal,Left Cover,16,15
Bengal Warriors,Sukesh Hegde,Raider,15,13
Bengal Warriors,Ran Singh,All Rounder,14,14
Bengal Warriors,Rohit,All Rounder,12,2
Bengal Warriors,Darshan J,Right Cover,9,9
Bengal Warriors,Parveen Satpal,Left Cover,8,5
Bengal Warriors,Vijin Thangadurai,Right Cover,7,5
Bengal Warriors,Sachin Vittala,Left Corner,7,4
Bengal Warriors,Akash Pikalmunde,Null,7,2
Bengal Warriors,Vishal Mane,Right Cover,6,5
Bengal Warriors,Rohit Banne,Defender,6,1
Bengal Warriors,Manoj Gowda,All Rounder,6,5
Bengal Warriors,Ravindra Kumawat,All Rounder,5,2
Bengal Warriors,Rinku Narwal,Left Corner,4,4
Bengal Warriors,Anand V,Raider,3,1
Bengal Warriors,Tapas Pal,All Rounder,2,2
Bengal Warriors,Rishank Devadiga,Raider,1,1
Bengaluru Bulls,Saurabh Nandal,Left Corner,24,23
Bengaluru Bulls,Pawan Sehrawat,Raider,24,24
Bengaluru Bulls,Bharat Naresh,,23,19
Bengaluru Bulls,Aman,,23,22
Bengaluru Bulls,Mahender Singh,Left Cover,20,18
Bengaluru Bulls,Mayur Kadam,Null,19,19
Bengaluru Bulls,Chandran Ranjit,Raider,19,18
Bengaluru Bulls,More GB,Raider,15,6
Bengaluru Bulls,Mohit Sehrawat,Right Cover,11,8
Bengaluru Bulls,Deepak Narwal,Raider,10,3
Bengaluru Bulls,Dong Geon Lee,Raider,9,0
Bengaluru Bulls,Amit Sheoran,Defender,9,1
Bengaluru Bulls,Jaideep,Left Corner,8,1
Bengaluru Bulls,Ankit,Defender,6,5
Bengaluru Bulls,Abolfazl Maghsodloumahali,Raider,3,0
Bengaluru Bulls,Rohit Kumar,,2,1
Bengaluru Bulls,Rohit Sangwan,Null,0,0
Dabang Delhi,Sandeep Narwal,All Rounder,24,23
Dabang Delhi,Manjeet Chhillar,All Rounder,24,24
Dabang Delhi,Vijay Jaglan,Raider,23,23
Dabang Delhi,Ashu Malik,Raider,22,19
Dabang Delhi,Krishan Dhull,,21,11
Dabang Delhi,Jeeva Kumar,Defender,21,19
Dabang Delhi,Neeraj Narwal,Raider,19,4
Dabang Delhi,Joginder Narwal,Left Corner,19,19
Dabang Delhi,Naveen Kumar,Raider,17,17
Dabang Delhi,Mohammad Malak,,5,1
Dabang Delhi,Manjeet,All Rounder,5,1
Dabang Delhi,Ajay Thakur,Raider,5,3
Dabang Delhi,Vikash Kumar D,Defender,4,4
Dabang Delhi,Deepak Kala,,4,0
Dabang Delhi,Sushant Sail,Raider,3,0
Dabang Delhi,Balram,All Rounder,2,0
Dabang Delhi,Vinay Kumar,,1,0
Dabang Delhi,Nitin Panwar,Raider,1,0
Dabang Delhi,Sumit Bhainswal,Left Cover,0,0
Dabang Delhi,Mohit Bhaiswal,Right Cover,0,0
Dabang Delhi,Emad Sedaghatnia,Raider,0,0
Gujarat Fortunegiants,Sunil Kumar,Right Cover,23,23
Gujarat Fortunegiants,Parvesh Bhainswal,Left Cover,23,23
Gujarat Fortunegiants,Rakesh Sungroya,,22,18
Gujarat Fortunegiants,Hadi Oshtorak,All Rounder,21,6
Gujarat Fortunegiants,Girish Maruti Ernak,Left Corner,19,19
Gujarat Fortunegiants,Pardeep Kumar,Raider,17,7
Gujarat Fortunegiants,Mahendra Rajput,Raider,17,12
Gujarat Fortunegiants,Ajay Kumar,Raider,17,15
Gujarat Fortunegiants,Rakesh Narwal,Raider,16,14
Gujarat Fortunegiants,Ankit,Right Corner,11,9
Gujarat Fortunegiants,Ravinder Pahal,Right Corner,8,8
Gujarat Fortunegiants,Sumit Malik,Left Corner,5,3
Gujarat Fortunegiants,Rathan K,Raider,5,2
Gujarat Fortunegiants,Soleiman Pahlevani,Defender,4,1
Gujarat Fortunegiants,Sonu Singh,,2,1
Gujarat Fortunegiants,Maninder Singh,Null,2,0
Gujarat Fortunegiants,Harmanjit Singh,Raider,1,0
Gujarat Fortunegiants,Bhuvneshwar Gaur,Raider,1,0
Gujarat Fortunegiants,Vishav Chaudhary,Left Cover,0,0
Haryana Steelers,Vikash Kandola,Raider,22,22
Haryana Steelers,Ravi Kumar,Right Cover,22,16
Haryana Steelers,Mohit,,22,22
Haryana Steelers,Jaideep,,22,22
Haryana Steelers,Surender Nada,Left Corner,21,18
Haryana Steelers,Meetu,Null,16,12
Haryana Steelers,Vinay,Raider,15,9
Haryana Steelers,Rohit Gulia,All Rounder,15,12
Haryana Steelers,Ashish,Raider,15,9
Haryana Steelers,Akshay Kumar,Raider,,
Haryana Steelers,Akshay Kumar,Raider,7,4
Haryana Steelers,Mohammad Esmaeil,Raider,6,1
Haryana Steelers,Vijay Kumar,Left Corner,4,2
Haryana Steelers,Ankit,Null,4,3
