Team Line Up,,,,
Team Name,Player Name,Position,Total Played,Total Starts
Bengal Warriors,Baldev Singh,Right Corner,24,24
Bengal Warriors,Rinku Narwal,Left Corner,23,23
Bengal Warriors,Mohammad Esmaeil Nabibakh,All Rounder,23,23
Bengal Warriors,Jeeva Kumar,Defender,22,22
Bengal Warriors,Maninder Singh,Raider,20,20
Bengal Warriors,K. Prapanjan,Raider,20,18
Bengal Warriors,Sukesh Hegde,Raider,16,7
Bengal Warriors,Adarsh T,Left Corner,12,1
Bengal Warriors,Mayur Shivtarkar,All Rounder,11,11
Bengal Warriors,Viraj Vishnu Landge,Left Cover,9,7
Bengal Warriors,Ravindra Ramesh Kumawat,All Rounder,4,0
Bengal Warriors,Rakesh Narwal,Raider,4,1
Bengal Warriors,Mohammad Taghi Paein Maha,Raider,4,2
Bengal Warriors,Amit,Right Corner,4,0
Bengal Warriors,Vijin Thangadurai,Right Cover,3,3
Bengal Warriors,Sunil Manik Dubile,All Rounder,3,1
Bengal Warriors,Sourabh Tanaji Patil,All Rounder,3,2
Bengal Warriors,Naveen Narwal,Right Cover,3,3
Bengal Warriors,Avinash A. R.,All Rounder,1,0
Bengal Warriors,Dharmendra Singh,Left Corner,0,0
Bengal Warriors,Amir Santosh Dhumal,All Rounder,0,0
Bengaluru Bulls,Pawan Sehrawat,Raider,24,24
Bengaluru Bulls,Amit Sheoran,Defender,24,23
Bengaluru Bulls,Saurabh Nandal,Left Corner,23,23
Bengaluru Bulls,Mahender Singh,Left Cover,21,18
Bengaluru Bulls,Sumit Singh,Raider,20,15
Bengaluru Bulls,Rohit Kumar,Raider,19,18
Bengaluru Bulls,Mohit Sehrawat,Right Cover,17,12
Bengaluru Bulls,Banty,Raider,15,8
Bengaluru Bulls,Ankit,Defender,12,9
Bengaluru Bulls,Ajay,Defender,11,6
Bengaluru Bulls,Vijay Kumar,Left Corner,10,5
Bengaluru Bulls,Ashish Kumar,Right Cover,7,5
Bengaluru Bulls,Sandeep,Defender,2,0
Bengaluru Bulls,Aman,Left Corner,2,1
Bengaluru Bulls,Vinod Kumar,Raider,1,1
Bengaluru Bulls,Raju Lal Choudhary,Right Corner,1,0
Bengaluru Bulls,Sanjay Shrestha,All Rounder,0,0
Bengaluru Bulls,Lal Mohar Yadav,Raider,0,0
Dabang Delhi,Vishal Mane,Right Cover,23,23
Dabang Delhi,Ravinder Pahal,Right Corner,23,23
Dabang Delhi,Naveen Kumar,Raider,23,23
Dabang Delhi,Vijay,Raider,22,17
Dabang Delhi,Joginder Narwal,Left Corner,22,22
Dabang Delhi,Chandran Ranjit,Raider,22,21
Dabang Delhi,Anil Kumar,Left Cover,19,16
Dabang Delhi,Meraj Sheykh,All Rounder,17,10
Dabang Delhi,Sombir,Right Corner,12,1
Dabang Delhi,Saeid Ghaﬀari,Left Cover,9,7
Dabang Delhi,Neeraj Narwal,Raider,4,1
Dabang Delhi,Aman Kadian,Raider,4,0
Dabang Delhi,Sumit Bhaiswal,Left Cover,3,1
Dabang Delhi,Balram,All Rounder,3,1
Dabang Delhi,Satywan,Left Cover,2,0
Dabang Delhi,Sumit Kumar,Raider,1,1
Dabang Delhi,Pratik Patil,Right Corner,1,0
Dabang Delhi,Mohit Bhaiswal,Right Cover,1,1
Gujarat Fortunegiants,Rohit Gulia,All Rounder,22,20
Gujarat Fortunegiants,Parvesh Bhainswal,Left Cover,22,22
Gujarat Fortunegiants,More G B,Raider,19,15
Gujarat Fortunegiants,Sunil Kumar,Right Cover,18,18
Gujarat Fortunegiants,Sonu Jaglan,Raider,17,9
Gujarat Fortunegiants,Ruturaj Shivaji Koravi,Right Corner,17,10
Gujarat Fortunegiants,Sachin,Raider,16,16
Gujarat Fortunegiants,Sumit Malik,Left Corner,15,13
Gujarat Fortunegiants,Ankit,Right Corner,12,11
Gujarat Fortunegiants,Pankaj,All Rounder,11,9
Gujarat Fortunegiants,Vinod Kumar,Raider,10,3
Gujarat Fortunegiants,Amit,Right Cover,7,4
Gujarat Fortunegiants,Lalit chaudhary,Raider,6,1
Gujarat Fortunegiants,Abolfazl Maghsodlou,Raider,6,1
Gujarat Fortunegiants,Harmanjit Singh,Raider,4,2
Gujarat Fortunegiants,Gurvinder Singh,Raider,2,0
Gujarat Fortunegiants,Mohammad Shazid Hossain,All Rounder,0,0
Haryana Steelers,Vinay,Raider,23,22
Haryana Steelers,Vikas Kale,Right Cover,21,21
Haryana Steelers,Sunil,Right Corner,21,21
Haryana Steelers,Ravi Kumar,Right Cover,21,19
Haryana Steelers,Vikash Khandola,Raider,20,20
Haryana Steelers,Dharmaraj Cheralathan,Defender,19,19
Haryana Steelers,Prashanth Kumar Rai,Raider,16,16
Haryana Steelers,Naveen,Raider,16,8
Haryana Steelers,Kuldeep Singh,All Rounder,12,6
Haryana Steelers,Chand Singh,Left Corner,12,0
Haryana Steelers,Parveen Satpal,Left Cover,8,6
Haryana Steelers,Selvamani K,Raider,7,3
Haryana Steelers,Vikram Kandola,Left Cover,3,0
Haryana Steelers,Phonchoo Tin,All Rounder,3,0
Haryana Steelers,Arun Kumar HN,Raider,3,0
Haryana Steelers,Vikas Chhillar,Raider,2,0
Haryana Steelers,Subhash Narwal,Left Cover,0,0
Jaipur Pink Panthers,Sandeep Dhull,Left Corner,22,22
Jaipur Pink Panthers,Deepak Hooda,All Rounder,20,20
Jaipur Pink Panthers,Deepak Narwal,Raider,19,15
Jaipur Pink Panthers,Nilesh Salunke,Raider,18,13
Jaipur Pink Panthers,Pavan T. R.,Right Cover,17,10
Jaipur Pink Panthers,Vishal,All Rounder,16,16
Jaipur Pink Panthers,Nitin Rawal,Left Cover,16,14
Jaipur Pink Panthers,Amit Hooda,Right Corner,16,16
Jaipur Pink Panthers,Sunil Siddhgavali,Raider,14,12
Jaipur Pink Panthers,Ajinkya Ashok Pawar,Raider,14,3
Jaipur Pink Panthers,Sachin Narwal,All Rounder,13,1
Jaipur Pink Panthers,Santhapanaselvam,All Rounder,9,6
Jaipur Pink Panthers,Sushil Gulia,Raider,6,2
Jaipur Pink Panthers,Guman Singh,Raider,3,1
Jaipur Pink Panthers,Elavarasan A,Left Cover,3,3
Jaipur Pink Panthers,Lokesh Kaushik,Raider,2,0
Jaipur Pink Panthers,Milinda Chathuranga,Raider,1,0
Jaipur Pink Panthers,Karamvir,Left Corner,1,0
Jaipur Pink Panthers,Dong Gyu Kim,All Rounder,0,0
Patna Pirates,Vikas Jaglan,Raider,22,22
Patna Pirates,Pardeep Narwal,Raider,22,22
Patna Pirates,Neeraj Kumar,Right Cover,22,22
