Team Line Up,,,,
Team Name,Player Name,Position,Total Played,Total Starts
Jaipur Pink Panthers,Bajirao Hodage,Right Cover,6,6
Jaipur Pink Panthers,Ajit Singh,Raider,6,0
Jaipur Pink Panthers,David Mosambayi,Raider,4,0
Jaipur Pink Panthers,N. Shiva Ramakrishna,All Rounder,1,0
Patna Pirates,Vikas Kale,Right Cover,22,22
Patna Pirates,Manjeet,Raider,22,21
Patna Pirates,Jaideep,Left Corner,22,22
Patna Pirates,Vijay,Raider,21,7
Patna Pirates,Pardeep Narwal,Raider,21,21
Patna Pirates,Manish,Right Cover,17,1
Patna Pirates,Deepak Narwal,Raider,17,14
Patna Pirates,Jawahar Dagar,Raider,15,14
Patna Pirates,Vikas Jaglan,Raider,14,11
Patna Pirates,Tae Deok Eom,Defender,11,8
Patna Pirates,Tushar Patil,Raider,9,2
Patna Pirates,Ravinder Kumar,Defender,8,7
Patna Pirates,Kuldeep Singh,Defender,7,3
Patna Pirates,Vijay Kumar,Left Corner,4,1
Patna Pirates,Surender Singh,Raider,1,0
Patna Pirates,Ogak Haggai Odhiambo,All Rounder,0,0
Puneri Paltan,Ravi Kumar,Right Cover,22,22
Puneri Paltan,More G B,Raider,22,16
Puneri Paltan,Girish Maruti Ernak,Left Corner,20,20
Puneri Paltan,Sandeep Narwal,All Rounder,18,17
Puneri Paltan,Akshay Jadhav,Raider,18,12
Puneri Paltan,Rinku Narwal,Left Corner,15,12
Puneri Paltan,Monu Sandhu,Raider,14,13
Puneri Paltan,Rajesh Mondal,Raider,11,6
Puneri Paltan,Nitin Tomar,Raider,11,11
Puneri Paltan,Deepak Kumar Dahiya,Raider,11,8
Puneri Paltan,Shubham Shinde,Right Corner,10,8
Puneri Paltan,Parvesh,Raider,6,1
Puneri Paltan,Amit Kumar,All Rounder,6,2
Puneri Paltan,Sandeep,All Rounder,5,4
Puneri Paltan,Vinod Kumar,Left Cover,2,2
Puneri Paltan,Sanjay Shrestha,All Rounder,0,0
Puneri Paltan,Lal Mohar Yadav,Raider,0,0
Puneri Paltan,Bajrang,Right Cover,0,0
Tamil Thalaivas,Ajay Thakur,Raider,22,22
Tamil Thalaivas,Manjeet Chhillar,All Rounder,19,19
Tamil Thalaivas,Athul M S,All Rounder,19,9
Tamil Thalaivas,Amit Hooda,Right Corner,18,18
Tamil Thalaivas,Sukesh Hegde,Raider,17,17
Tamil Thalaivas,Jasvir Singh,Raider,16,11
Tamil Thalaivas,C. Arun,Left Cover,16,9
Tamil Thalaivas,D. Pradap,All Rounder,13,10
Tamil Thalaivas,Ponparthiban Subramanian,Right Cover,12,12
Tamil Thalaivas,Sunil,Left Corner,11,8
Tamil Thalaivas,Surjeet Singh,Raider,9,5
Tamil Thalaivas,Darshan J.,Right Cover,9,7
Tamil Thalaivas,Vimal Raj V,All Rounder,5,2
Tamil Thalaivas,D. Gopu,Defender,5,3
Tamil Thalaivas,Anil Kumar,Raider,4,1
Tamil Thalaivas,Victor Obiero,All Rounder,3,0
Tamil Thalaivas,Anand,Raider,3,1
Tamil Thalaivas,K. Jayaseelan,Raider,1,0
Tamil Thalaivas,Chan Sik Park,All Rounder,0,0
Tamil Thalaivas,Abhinandan Chandel,Raider,0,0
Telugu Titans,Farhad Milaghardan,Right Cover,22,21
Telugu Titans,Rahul Chaudhari,Raider,21,21
Telugu Titans,Abozar Mighani,Right Corner,21,20
Telugu Titans,Nilesh Salunke,Raider,19,18
Telugu Titans,Mohsen Maghsoudlou,Raider,19,17
Telugu Titans,Anil Kumar,Left Cover,18,17
Telugu Titans,Vishal Bhardwaj,All Rounder,17,17
Telugu Titans,C Manoj Kumar,Left Cover,12,5
Telugu Titans,Rakshith,Raider,11,2
Telugu Titans,Kamal Singh,Raider,8,3
Telugu Titans,Anuj Kumar,Right Cover,7,3
Telugu Titans,Krushna Madane,Defender,6,5
Telugu Titans,Sombir,Right Corner,4,2
Telugu Titans,Rajneesh,Raider,4,2
Telugu Titans,Armaan,All Rounder,4,1
Telugu Titans,Mahender Reddy,All Rounder,1,0
Telugu Titans,Deepak,Left Cover,1,0
Telugu Titans,Ankit Beniwal,Raider,1,0
U Mumba,Fazel Atrachali,Left Corner,23,23
U Mumba,Surinder Singh,Right Cover,22,22
U Mumba,Dharmaraj Cheralathan,Defender,22,22
U Mumba,Siddharth Sirish Desai,Raider,21,20
U Mumba,Rohit Rana,Left Cover,19,18
U Mumba,Rohit Baliyan,Raider,19,16
U Mumba,Vinod Kumar,Raider,17,7
U Mumba,Abhishek Singh,Raider,15,12
U Mumba,Darshan Kadian,Raider,14,7
U Mumba,Abolfazl Maghsodlou,Raider,10,5
U Mumba,Rajaguru Subramanian,Right Cover,8,6
U Mumba,R. Sriram,Raider,3,0
U Mumba,Hadi Tajik,Right Corner,3,3
U Mumba,Gaurav Kumar,Raider,3,0
U Mumba,Arjun Deshwal,Raider,3,0
U Mumba,E Subash,All Rounder,2,0
U Mumba,Anil,Left cover,1,0
U Mumba,Mohit Balyan,All Rounder,0,0
UP Yoddha,Shrikant Jadhav,Raider,25,24
UP Yoddha,Sachin Kumar,Left Corner,25,19
UP Yoddha,Nitesh Kumar,Right Corner,25,25
UP Yoddha,Narender Hooda,All Rounder,25,25
UP Yoddha,Rishank Devadiga,Raider,23,22
UP Yoddha,Prashanth Kumar Rai,Raider,21,20
UP Yoddha,Sagar Krishna,All Rounder,20,10
UP Yoddha,Jeeva Kumar,Defender,19,19
UP Yoddha,Amit,Left Cover,14,6
UP Yoddha,Azad singh,Raider,9,2
UP Yoddha,Rohit Kumar Choudary,Raider,6,2
UP Yoddha,Bhanu Tomar,Raider,6,1
UP Yoddha,Md Masud Karim,Raider,3,0
UP Yoddha,Aashish Nagar,Right Corner,3,0
UP Yoddha,Vishav Chaudhary,Left Cover,2,0
UP Yoddha,Pankaj,All Rounder,1,0
UP Yoddha,Ranidu Chamara,Right Corner,0,0
UP Yoddha,Arkam Shaikh,All Rounder,0,0
