,Unsuccessful Tackles,Unsuccessful Tackles,Unsuccessful Tackles,Unsuccessful Tackles,Unsuccessful Tackles,Unsuccessful Tackles,Unsuccessful Tackles,Unsuccessful Tackles,Unsuccessful Tackles,Unsuccessful Tackles,Unsuccessful Tackles,Unsuccessful Tackles
Counter Action Skill,Bengal Warriors,Bengaluru Bull,Dabang Delhi,Gujarat Fortunegiant,Haryana Steelers,Jaipur Pink Panther,Patna Pirates,Puneri Paltan,Tamil Thailaiva,Telugu Titan,U Mumba,UP Yoddha
Release,86,87,105,71,111,93,118,123,81,88,77,82
Struggle,23,27,30,17,28,15,23,14,25,28,36,20
Out Turn,27,24,23,14,30,19,24,38,25,42,37,24
Jump,14,10,13,7,14,8,10,16,7,10,3,12
Dubki,3,8,4,5,5,7,3,4,3,3,7,4
In Turn,2,3,7,1,4,2,5,7,2,4,2,3
Create Gap,4,2,3,4,6,4,1,3,4,7,4,0
