Bengal Warriors,,,,Bengaluru Bulls,,,,Dabang Delhi,,,,Gujarat Fortunegiants,,,,Harayana Steelers,,,,Jaipur Pink Panthers,,,,Patna Pirates,,,,Puneri Paltan,,,,Tamil Thailaivas,,,,Telugu Titans,,,,U Mumba,,,,UP Yoddha,
Counter Action Skill,Successful Raids,,,Counter Action Skill,Successful Raids,,,Counter Action Skill,Successful Raids,,,Counter Action Skill,Successful Raids,,,Counter Action Skill,Successful Raids,,,Counter Action Skill,Successful Raids,,,Counter Action Skill,Successful Raids,,,Counter Action Skill,Successful Raids,,,Counter Action Skill,Successful Raids,,,Counter Action Skill,Successful Raids,,,Counter Action Skill,Successful Raids,,,Counter Action Skill,Successful Raids
Defensive Skill,Unsuccessful Raids,,,Defender self out(lobby),1,,,Defensive Skill,Unsuccessful Raids,,,Defensive Skill,Unsuccessful Raids,,,Defensive Skill,Unsuccessful Raids,,,Defensive Skill,Unsuccessful Raids,,,Defensive Skill,Unsuccessful Raids,,,"Defender self out(lobby, shirt pull)",0,,,Defensive Skill,Unsuccessful Raids,,,Defensive Skill,Unsuccessful Raids,,,Defensive Skill,Unsuccessful Raids,,,Defensive Skill,Unsuccessful Raids
Thigh Hold,55,,,Defensive Skill,Unsuccessful Raids,,,Thigh Hold,48,,,Thigh Hold,53,,,Thigh Hold,57,,,Thigh Hold,53,,,Thigh Hold,43,,,Defensive Skill,Unsuccessful Raids,,,Thigh Hold,55,,,Thigh Hold,61,,,Ankle Hold,53,,,Block,48
Block,48,,,Block,58,,,Block,35,,,Ankle Hold,40,,,Block,44,,,Ankle Hold,51,,,Block,37,,,Thigh Hold,49,,,Ankle hold,41,,,Ankle Hold,59,,,Thigh Hold,52,,,Thigh Hold,45
Ankle Hold,34,,,Thigh Hold,43,,,Dive,32,,,Block,26,,,Ankle Hold,38,,,Block,30,,,Ankle Hold,33,,,Block,36,,,Block,33,,,Block,47,,,Push,46,,,Ankle Hold,38
Dive,28,,,Ankle Hold,35,,,Push,31,,,Push,23,,,Body Hold,28,,,Self-out,18,,,Dive,25,,,Push,31,,,Push,26,,,Dive,26,,,Block,30,,,Push,20
Chain_def,22,,,Push,31,,,Ankle Hold,31,,,Chain_def,22,,,Dive,21,,,Push,14,,,Push,22,,,Ankle Hold,24,,,Dive,19,,,Push,23,,,Dive,24,,,Dive,18
Push,16,,,Dive,18,,,Chain_def,18,,,Dive,21,,,Chain_def,20,,,Chain_def,13,,,Body Hold,15,,,Dive,21,,,Self-out,12,,,Body Hold,23,,,Chain_def,13,,,Chain_def,16
Body Hold,16,,,Chain_def,18,,,Body Hold,16,,,Body Hold,13,,,Push,17,,,Dive,12,,,Chain_def,14,,,Self-out,18,,,Chain_def,11,,,Chain_def,16,,,Body Hold,11,,,Body Hold,16
Self-out,15,,,Self-out,14,,,Self-out,10,,,Self-out,11,,,Self-out,16,,,Body Hold,11,,,Self-out,7,,,Body Hold,13,,,Body Hold,10,,,Self-out,7,,,Self-out,9,,,Self-out,12
Follow,1,,,Body Hold,8,,,Follow,0,,,Follow,0,,,,,,,Follow,1,,,Follow,1,,,Chain_def,8,,,,,,,Follow,0,,,Follow,0,,,Follow,0
,,,,Follow,2,,,,,,,,,,,,,,,,,,,,,,,Follow,0,,,,,,,,,,,,,,,,
