Raider Name,Number of Defenders,Total Raids,% of Raids,Empty,Successful,Unsuccessful,,
Adarsh T,5,1,100%,,100.00%,,,
Amaresh Mondal,6,1,33%,,,100.00%,,
,7,2,67%,100.00%,,,,
Amit Kumar,4,1,14%,100.00%,,,,
,5,4,57%,50.00%,25.00%,25.00%,,
,7,2,29%,100.00%,,,,
Amit Nagar,2,1,3%,100.00%,,,,
,3,6,17%,33.30%,33.30%,33.30%,,
,4,1,3%,100.00%,,,,
,5,5,14%,20.00%,60.00%,20.00%,,
,6,6,17%,50.00%,33.30%,16.70%,,
,7,17,47%,29.40%,47.10%,23.50%,,
Ashish Chhokar,2,1,100%,,,100.00%,,
Baldev Singh,7,1,100%,,,100.00%,,
Bhupender Singh,3,1,5%,,100.00%,,,
,4,2,10%,,,100.00%,,
,5,4,20%,100.00%,,,,
,6,1,5%,,,100.00%,,
,7,12,60%,41.70%,41.70%,16.70%,,
Jang Kun Lee,3,8,5%,25.00%,50.00%,25.00%,,
,4,17,10%,52.90%,17.60%,29.40%,,
,5,37,22%,37.80%,18.90%,43.20%,,
,6,39,23%,41.00%,48.70%,10.30%,,
,7,70,41%,41.40%,42.90%,15.70%,,
Mahesh Goud,3,5,5%,60.00%,20.00%,20.00%,,
,4,10,11%,70.00%,10.00%,20.00%,,
,5,30,33%,56.70%,16.70%,26.70%,,
,6,18,20%,33.30%,33.30%,33.30%,,
,7,29,32%,31.00%,48.30%,20.70%,,
Maninder Singh,2,21,6%,,90.50%,9.50%,,
,3,33,9%,39.40%,27.30%,33.30%,,
,4,40,11%,52.50%,27.50%,20.00%,,
,5,82,22%,58.50%,19.50%,22.00%,,
,6,66,18%,27.30%,48.50%,24.20%,,
,7,135,36%,26.70%,56.30%,17.00%,,
Mithin Kumar,4,1,10%,100.00%,,,,
,5,1,10%,,,100.00%,,
,6,3,30%,66.70%,,33.30%,,
,7,5,50%,40.00%,40.00%,20.00%,,
Rakesh Narwal,5,1,6%,,,100.00%,,
,6,4,25%,50.00%,25.00%,25.00%,,
,7,11,69%,27.30%,36.40%,36.40%,,
Ran Singh,1,1,1%,,100.00%,,,
,2,3,4%,,100.00%,,,
,3,20,28%,55.00%,35.00%,10.00%,,
,4,3,4%,66.70%,,33.30%,,
Ran Singh,5,6,8%,66.70%,33.30%,,,
,6,17,24%,64.70%,17.60%,17.60%,,
,7,22,31%,40.90%,31.80%,27.30%,,
Ravindra Ramesh,3,2,2%,100.00%,,,,
Kumawat,4,16,18%,56.30%,12.50%,31.30%,,
,5,36,40%,41.70%,27.80%,30.60%,,
,6,18,20%,38.90%,50.00%,11.10%,,
,7,19,21%,42.10%,47.40%,10.50%,,
Shrikant Tewthia,5,1,11%,,,100.00%,,
,6,5,56%,80.00%,20.00%,,,
,7,3,33%,33.30%,33.30%,33.30%,,
Surjeet Singh,3,4,7%,100.00%,,,,
,4,10,19%,100.00%,,,,
,5,18,33%,100.00%,,,,
,6,13,24%,76.90%,15.40%,7.70%,,
,7,9,17%,88.90%,,11.10%,,
Vijin Thangadurai,6,1,50%,100.00%,,,,
,7,1,50%,100.00%,,,,
