Raider Name,Number of Defenders,Total Raids,% of Raids,Empty,Successful,Unsuccessful,,
Anand V,3,4,27%,50.00%,,50.00%,,
,5,4,27%,25.00%,25.00%,50.00%,,
,6,2,13%,,50.00%,50.00%,,
,7,5,33%,80.00%,20.00%,,,
Ankit,7,2,100%,100.00%,,,,
Ashish Kumar,4,1,4%,100.00%,,,,
,5,4,15%,100.00%,,,,
,6,8,30%,87.50%,,12.50%,,
,7,14,52%,71.40%,21.40%,7.10%,,
Gyung Tae Kim,5,1,100%,,,100.00%,,
Harish Naik,4,1,3%,,,100.00%,,
,5,4,14%,50.00%,25.00%,25.00%,,
,6,3,10%,,66.70%,33.30%,,
,7,21,72%,19.00%,52.40%,28.60%,,
Kashiling Adake,1,2,1%,,100.00%,,,
,3,13,8%,76.90%,15.40%,7.70%,,
,4,21,13%,66.70%,19.00%,14.30%,,
,5,35,21%,68.60%,11.40%,20.00%,,
,6,37,23%,40.50%,45.90%,13.50%,,
,7,56,34%,35.70%,39.30%,25.00%,,
Mahender Singh,3,1,10%,100.00%,,,,
,5,2,20%,100.00%,,,,
,6,2,20%,50.00%,,50.00%,,
,7,5,50%,80.00%,,20.00%,,
Mahesh Maruti,5,3,25%,,,100.00%,,
Magdum,6,2,17%,,50.00%,50.00%,,
,7,7,58%,14.30%,57.10%,28.60%,,
Pawan Sehrawat,1,1,0%,,100.00%,,,
,2,14,4%,7.10%,78.60%,14.30%,,
,3,40,11%,27.50%,62.50%,10.00%,,
,4,47,13%,17.00%,53.20%,29.80%,,
,5,82,22%,29.30%,39.00%,31.70%,,
,6,75,20%,12.00%,68.00%,20.00%,,
,7,116,31%,19.80%,59.50%,20.70%,,
Rohit Kumar,1,8,2%,12.50%,87.50%,,,
,2,15,4%,6.70%,80.00%,13.30%,,
,3,20,6%,60.00%,20.00%,20.00%,,
,4,42,12%,57.10%,19.00%,23.80%,,
,5,62,18%,56.50%,25.80%,17.70%,,
,6,71,21%,36.60%,43.70%,19.70%,,
,7,123,36%,35.80%,45.50%,18.70%,,
Sandeep,6,1,50%,100.00%,,,,
,7,1,50%,,,100.00%,,
Sumit Singh,5,8,30%,87.50%,,12.50%,,
,6,4,15%,25.00%,75.00%,,,
,7,15,56%,40.00%,26.70%,33.30%,,
