match_played,value,team_id,team_name,rank,points_per_match
22,53,8,Telugu Titans,1,2.409090909090909
22,39,4,Bengal Warriors,2,1.7727272727272727
22,39,30,U.P. Yoddhas,3,1.7727272727272727
25,35,28,Haryana Steelers,4,1.4
22,34,5,U Mumba,5,1.5454545454545454
22,31,1,Bengaluru Bulls,6,1.4090909090909092
23,28,2,Dabang Delhi K.C.,7,1.2173913043478262
24,27,6,Patna Pirates,8,1.125
22,24,29,Tamil Thalaivas,9,1.0909090909090908
23,23,31,Gujarat Giants,10,1.0
23,20,3,Jaipur Pink Panthers,11,0.8695652173913043
24,14,7,Puneri Paltan,12,0.5833333333333334
