"Unique_ID","team_id","team","season","player-id","Raider Name","Total Raids","Successful Raids","Raider Success Rate","","",""
"team_id_7|5|Deepak Hooda","7","Puneri Paltan","5","#N/A","Deepak Hooda","360","132","37%","","1","Bengaluru Bulls"
"team_id_7|5|Rajesh Mondal","7","Puneri Paltan","5","#N/A","Rajesh Mondal","269","79","29%","","2","Dabang Delhi"
"team_id_7|5|Sandeep Narwal","7","Puneri Paltan","5","#N/A","Sandeep Narwal","117","30","26%","","3","Jaipur Pink Panthers"
"team_id_7|5|Monu","7","Puneri Paltan","5","#N/A","Monu","77","16","21%","","4","Bengal Warriors"
"team_id_7|5|Rohit Kumar Choudary","7","Puneri Paltan","5","#N/A","Rohit Kumar Choudary","46","10","22%","","5","U Mumba"
"team_id_7|5|More G B","7","Puneri Paltan","5","#N/A","More G B","45","13","29%","","6","Patna Pirates"
"team_id_7|5|Akshay Jadhav","7","Puneri Paltan","5","#N/A","Akshay Jadhav","39","9","23%","","7","Puneri Paltan"
"team_id_7|5|Suresh Kumar","7","Puneri Paltan","5","#N/A","Suresh Kumar","35","12","34%","","8","Telugu Titans"
"team_id_7|5|Girish Maruti Ernak","7","Puneri Paltan","5","#N/A","Girish Maruti Ernak","18","1","6%","","28","Haryana Steelers"
"team_id_7|5|Dharmaraj Cheralathan","7","Puneri Paltan","5","#N/A","Dharmaraj Cheralathan","15","0","0%","","29","Tamil Thalaivas"
"team_id_7|5|Umesh Mhatre","7","Puneri Paltan","5","#N/A","Umesh Mhatre","11","1","9%","","30","U.P. Yoddha"
"team_id_7|5|Rinku Narwal","7","Puneri Paltan","5","#N/A","Rinku Narwal","8","1","13%","","31","Gujarat Giants"
"team_id_7|5|Ravi Kumar","7","Puneri Paltan","5","#N/A","Ravi Kumar","2","0","0%","","",""
"team_id_29|5|Ajay Thakur","29","Tamil Thalaivas","5","#N/A","Ajay Thakur","400","186","47%","","",""
"team_id_29|5|K. Prapanjan","29","Tamil Thalaivas","5","#N/A","K. Prapanjan","306","105","34%","","",""
"team_id_29|5|Vineet Kumar","29","Tamil Thalaivas","5","#N/A","Vineet Kumar","104","16","15%","","",""
"team_id_29|5|Dong Geon Lee","29","Tamil Thalaivas","5","#N/A","Dong Geon Lee","68","25","37%","","",""
"team_id_29|5|D. Pradap","29","Tamil Thalaivas","5","#N/A","D. Pradap","49","6","12%","","",""
"team_id_29|5|M. Thivakaran","29","Tamil Thalaivas","5","#N/A","M. Thivakaran","36","11","31%","","",""
"team_id_29|5|C. Arun","29","Tamil Thalaivas","5","#N/A","C. Arun","16","0","0%","","",""
"team_id_29|5|Bhavani Rajput","29","Tamil Thalaivas","5","#N/A","Bhavani Rajput","10","2","20%","","",""
"team_id_29|5|Amit Hooda","29","Tamil Thalaivas","5","#N/A","Amit Hooda","7","0","0%","","",""
"team_id_29|5|Sujit Maharana","29","Tamil Thalaivas","5","#N/A","Sujit Maharana","5","0","0%","","",""
"team_id_29|5|Anil Kumar","29","Tamil Thalaivas","5","#N/A","Anil Kumar","4","0","0%","","",""
"team_id_29|5|Vijay Kumar","29","Tamil Thalaivas","5","#N/A","Vijay Kumar","3","0","0%","","",""
"team_id_29|5|Darshan J.","29","Tamil Thalaivas","5","#N/A","Darshan J.","3","0","0%","","",""
"team_id_29|5|Vijin Thangadurai","29","Tamil Thalaivas","5","#N/A","Vijin Thangadurai","2","0","0%","","",""
"team_id_29|5|Sanket Chavan","29","Tamil Thalaivas","5","#N/A","Sanket Chavan","1","0","0%","","",""
"team_id_29|5|Muruthu M","29","Tamil Thalaivas","5","#N/A","Muruthu M","1","0","0%","","",""
"team_id_2|5|Meraj Sheykh","2","Dabang Delhi","5","#N/A","Meraj Sheykh","292","79","27%","","",""
"team_id_2|5|Abolfazl Maghsodlou","2","Dabang Delhi","5","#N/A","Abolfazl Maghsodlou","230","80","35%","","",""
"team_id_2|5|Rohit Baliyan","2","Dabang Delhi","5","#N/A","Rohit Baliyan","165","55","33%","","",""
"team_id_2|5|Anand Patil","2","Dabang Delhi","5","#N/A","Anand Patil","102","25","25%","","",""
"team_id_2|5|R. Sriram","2","Dabang Delhi","5","#N/A","R. Sriram","79","29","37%","","",""
"team_id_2|5|Ravi Dalal","2","Dabang Delhi","5","#N/A","Ravi Dalal","28","4","14%","","",""
"team_id_2|5|Shubham Ashok Palkar","2","Dabang Delhi","5","#N/A","Shubham Ashok Palkar","24","6","25%","","",""
"team_id_2|5|Nilesh Shinde","2","Dabang Delhi","5","#N/A","Nilesh Shinde","14","2","14%","","",""
