id,result,date,teama_id,teama_short_name,teama_score,teamb_id,teamb_short_name,teamb_score,post_match_position,match_result,team_id
3033,W,04/12/23,7,PUNE,37,3,JAI,33,,Puneri Paltan Won by 4 Pts,7
3041,W,08/12/23,7,PUNE,43,5,MUM,32,,Puneri Paltan Won by 11 Pts,7
3052,L,15/12/23,7,PUNE,39,28,HAR,44,,Haryana Steelers Won by 5 Pts,7
3053,W,16/12/23,7,PUNE,49,4,KOL,19,,Puneri Paltan Won by 30 Pts,7
3058,W,18/12/23,7,PUNE,30,2,DEL,23,,Puneri Paltan Won by 7 Pts,7
3061,W,20/12/23,7,PUNE,43,1,BLR,18,,Puneri Paltan Won by 25 Pts,7
3070,W,26/12/23,7,PUNE,46,6,PAT,28,,Puneri Paltan Won by 18 Pts,7
3079,W,01/01/24,8,HYD,18,7,PUNE,54,,Puneri Paltan Won by 36 Pts,7
3083,W,03/01/24,30,UP,31,7,PUNE,40,,Puneri Paltan Won by 9 Pts,7
3088,W,07/01/24,7,PUNE,29,29,CHE,26,,Puneri Paltan Won by 3 Pts,7
3096,W,12/01/24,7,PUNE,37,31,GUJ,17,,Puneri Paltan Won by 20 Pts,7
3097,L,13/01/24,3,JAI,36,7,PUNE,34,,Jaipur Pink Panthers Won by 2 Pts,7
3111,W,21/01/24,31,GUJ,24,7,PUNE,34,,Puneri Paltan Won by 10 Pts,7
3114,,23/01/24,5,MUM,32,7,PUNE,32,,,7
3119,,27/01/24,6,PAT,32,7,PUNE,32,,,7
3125,W,30/01/24,7,PUNE,60,8,HYD,29,,Puneri Paltan Won by 31 Pts,7
3135,,05/02/24,2,DEL,30,7,PUNE,30,,,7
3137,W,07/02/24,1,BLR,31,7,PUNE,40,,Puneri Paltan Won by 9 Pts,7
3143,W,11/02/24,29,CHE,29,7,PUNE,56,,Puneri Paltan Won by 27 Pts,7
3149,W,14/02/24,4,KOL,26,7,PUNE,29,,Puneri Paltan Won by 3 Pts,7
3157,W,19/02/24,28,HAR,36,7,PUNE,51,,Puneri Paltan Won by 15 Pts,7
3159,W,21/02/24,7,PUNE,40,30,UP,38,,Puneri Paltan Won by 2 Pts,7
3163,W,28/02/24,7,PUNE,37,6,PAT,21,,Puneri Paltan Won by 16 Pts,7
3165,W,01/03/24,7,PUNE,28,28,HAR,25,,Puneri Paltan Won by 3 Pts,7
3033,L,04/12/23,7,PUNE,37,3,JAI,33,,Puneri Paltan Won by 4 Pts,3
3038,,07/12/23,4,KOL,28,3,JAI,28,,,3
3046,W,11/12/23,3,JAI,35,31,GUJ,32,,Jaipur Pink Panthers Won by 3 Pts,3
3050,L,13/12/23,1,BLR,32,3,JAI,30,,Bengaluru Bulls Won by 2 Pts,3
3055,W,17/12/23,6,PAT,28,3,JAI,29,,Jaipur Pink Panthers Won by 1 Pts,3
