Daniel Omondi Odhiambo (Foreign),C,All-rounder,Rs 10 Lakhs,Patna Pirates,Rs 10 Lakhs
Dong Geon Lee (Foreign),C,Raider,Rs 10 Lakhs,Gujarat Giants,Rs 20 Lakhs
Gholamabbas Kouruki (Foreign),C,All-rounder,Rs 10 Lakhs,U Mumba,Rs 10 Lakhs
Gurdeep,C,All-rounder,Rs 10 Lakhs,UP Yoddhas,Rs 10 Lakhs
Hamid Mirzaei Nader (Foreign),C,All-rounder,Rs 10 Lakhs,Telugu Titans,Rs 10.10 Lakhs
Heidarali Ekrami (Foreign),C,Raider,Rs 10 Lakhs,U Mumba,Rs 14 Lakhs
James Namaba Kamweti (Foreign),C,Raider,Rs 10 Lakhs,UP Yoddhas,Rs 10 Lakhs
K Hanumanthu,C,All-rounder,Rs 10 Lakhs,Telugu Titans,Rs 10 Lakhs
Lal Mohar Yadav (Foreign),C,Raider,Rs 10 Lakhs,Bengaluru Bulls,Rs 10 Lakhs
Md. Arif Rabbani (Foreign),C,Defender,Rs 10 Lakhs,Tamil Thalaivas,Rs 10 Lakhs
Md. Liton Ali (Foreign),C,Defender,Rs 10 Lakhs,Dabang Delhi,Rs 10 Lakhs
Mohamed Esmaeil Maghsoudlou Mahali (Foreign),C,Raider,Rs 10 Lakhs,Haryana Steelers,Rs 10.50 Lakhs (FBM)
Nageshar Tharu (Foreign),C,Raider,Rs 10 Lakhs,Bengaluru Bulls,Rs 10 Lakhs
Praveen Satpal,C,Defender,Rs 10 Lakhs,Bengal Warriors,Rs 10 Lakhs
Rahul Khatik,C,All-rounder,Rs 10 Lakhs,Bengaluru Bulls,Rs 10 Lakhs
Reza Katoulinezhad (Foreign),C,All-rounder,Rs 10 Lakhs,Dabang Delhi,Rs 10 Lakhs
Reza Mirbagheri (Foreign),C,Defender,Rs 10 Lakhs,Jaipur Pink Panthers,Rs 10 Lakhs
Rinku Narwal,C,Defender,Rs 10 Lakhs,Gujarat Giants,Rs 40 Lakhs
Sachin Narwal,C,All-rounder,Rs 10 Lakhs,Bengaluru Bulls,Rs 10 Lakhs
Sandeep Kandola,C,Defender,Rs 10 Lakhs,Gujarat Giants,Rs 20 Lakhs
Shankar Bhimraj Gadai,C,All-rounder,Rs 10 Lakhs,Gujarat Giants,Rs 30.30 Lakhs
Soleiman Pahlevani (Foreign),C,Defender,Rs 10 Lakhs,Bengal Warriors,Rs 10 Lakhs
Sourav Gulia,C,Defender,Rs 10 Lakhs,Gujarat Giants,Rs 10 Lakhs
Surender Nada,C,Defender,Rs 10 Lakhs,Bengal Warriors,Rs 10 Lakhs
Thanushan Laxmamohan (Foreign),C,All-rounder,Rs 10 Lakhs,Tamil Thalaivas,Rs 10 Lakhs
Vinod Kumar,C,All-rounder,Rs 10 Lakhs,Bengal Warriors,Rs 10 Lakhs
Visvanath V,C,All-rounder,Rs 10 Lakhs,Tamil Thalaivas,Rs 12.80 Lakhs
Woosan KO (Foreign),C,Defender,Rs 10 Lakhs,Jaipur Pink Panthers,Rs 10 Lakhs
Yong Chang Ko (Foreign),C,Defender,Rs 10 Lakhs,Gujarat Giants,Rs 10 Lakhs
Amir Sheoran,C,Defender,Rs 10 Lakhs,Bengal Warriors,Rs 10 Lakhs
Harendra Kumar,C,Defender,Rs 10 Lakhs,U Mumba,Rs 20 Lakhs (FBM)
Amit Hooda,C,Defender,Rs 10 Lakhs,Dabang Delhi,Rs 10 Lakhs
Anil Kumar,C,Defender,Rs 10 Lakhs,Dabang Delhi,Rs 10 Lakhs
Jaideep,C,Defender,Rs 10 Lakhs,UP Yoddhas,Rs 10 Lakhs
Parveen Satpal,C,Defender,Rs 10 Lakhs,Bengal Warriors,Rs 10 Lakhs
Sudhakar Krishant Kadam,C,Defender,Rs 10 Lakhs,Bengaluru Bulls,Rs 10 Lakhs
Vinod Kumar,C,Defender,Rs 10 Lakhs,Gujarat Giants,Rs 10 Lakhs
Adarsh T,C,Defender,Rs 10 Lakhs,Telugu Titans,Rs 10 Lakhs (FBM)
Vijay Kumar,C,Defender,Rs 10 Lakhs,Telugu Titans,Rs 10 Lakhs
Baldev Singh,C,Defender,Rs 10 Lakhs,Gujarat Giants,Rs 21.50 Lakhs
Ravinder Pahal,C,Defender,Rs 10 Lakhs,Telugu Titans,Rs 23 Lakhs
Alankar Kaluram Patil,C,Defender,Rs 10 Lakhs,Puneri Paltan,Rs 10 Lakhs
Kiran Laxman Magar,C,Defender,Rs 10 Lakhs,U Mumba,Rs 31 Lakhs
Lucky Sharma,C,Defender,Rs 10 Lakhs,Jaipur Pink Panthers,Rs 10 Lakhs
Shubham Shinde,C,Defender,Rs 10 Lakhs,Bengal Warriors,Rs 20.30 Lakhs
Rakesh Bhalle Ram,C,Defender,Rs 10 Lakhs,Puneri Paltan,Rs 10 Lakhs
Shivam Chaudhari,C,Defender,Rs 10 Lakhs,Patna Pirates,Rs 15.10 Lakhs
Mohit,C,Defender,Rs 10 Lakhs,U Mumba,Rs 10 Lakhs
Ravi Kumar,C,Defender,Rs 10 Lakhs,Dabang Delhi,Rs 64.10 Lakhs
Aakash,C,Defender,Rs 10 Lakhs,Dabang Delhi,Rs 10 Lakhs
Sawin,C,Raider,Rs 10 Lakhs,Gujarat Giants,Rs 10 Lakhs
Sushil,C,Raider,Rs 10 Lakhs,Haryana Steelers,Rs 10 Lakhs
Aman Kadian,C,Raider,Rs 10 Lakhs,Telugu Titans,Rs 10 Lakhs
Neeraj Narwal,C,Raider,Rs 10 Lakhs,Bengaluru Bulls,Rs 43 Lakhs
Ankush,C,Raider,Rs 10 Lakhs,U Mumba,Rs 10 Lakhs
K Prapanjan,C,Raider,Rs 10 Lakhs,Haryana Steelers,Rs 10 Lakhs
Nitin Panwar,C,Raider,Rs 10 Lakhs,Jaipur Pink Panthers,Rs 10 Lakhs
Purna Singh,C,Raider,Rs 10 Lakhs,Gujarat Giants,Rs 10 Lakhs
Rathan K,C,Raider,Rs 10 Lakhs,UP Yoddhas,Rs 10 Lakhs
Jai Bhagwan,C,Raider,Rs 10 Lakhs,U Mumba,Rs 10 Lakhs
Mahendra Ganesh Rajput,C,Raider,Rs 10 Lakhs,Gujarat Giants,Rs 10 Lakhs (FBM)
Bhavani Rajput,C,Raider,Rs 10 Lakhs,Jaipur Pink Panthers,Rs 10.40 Lakhs
Harmanjit Singh,C,Raider,Rs 10 Lakhs,Bengaluru Bulls,Rs 15 Lakhs
Gulveer Singh,C,Raider,Rs 10 Lakhs,UP Yoddhas,Rs 10 Lakhs
Anand Surendra Tomar,C,Raider,Rs 10 Lakhs,Patna Pirates,Rs 10 Lakhs
Manish Gulia,C,Raider,Rs 10 Lakhs,Haryana Steelers,Rs 10 Lakhs
Navneet,C,Raider,Rs 10 Lakhs,Jaipur Pink Panthers,Rs 10 Lakhs
Rahul Chaudhari,C,Raider,Rs 10 Lakhs,Jaipur Pink Panthers,Rs 10 Lakhs
Lovepreet Singh,D,Raider,Rs 6 Lakhs,Haryana Steelers,Rs 6 Lakhs
Monu,D,Defender,Rs 6 Lakhs,Dabang Delhi,Rs 6 Lakhs
Nitin Chandel,D,Defender,Rs 6 Lakhs,Jaipur Pink Panthers,Rs 19.70 Lakhs
