Bengal Warriors,,,,Bengaluru Bull,,,,Dabang Delhi ,,,,Gujarat Fortunegiant,,,,Harayana Steelers,,,,Jaipur Pink Panther,,,,Patna Pirates,,,,Puneri Paltan ,,,,Tamil Thailaiva,,,,Telugu Titan,,,,U Mumba ,,,,UP Yoddha ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Defensive Skill,Unsuccessful Raids,,,Defensive Skill,Unsuccessful Raids,,,Defensive Skill,Unsuccessful Raids,,,Defensive Skill,Unsuccessful Raids,,,Defensive Skill,Unsuccessful Raids,,,Defensive Skill,Unsuccessful Raids,,,Defensive Skill,Unsuccessful Raids,,,Defensive Skill,Unsuccessful Raids,,,Defensive Skill,Unsuccessful Raids,,,Defensive Skill,Unsuccessful Raids,,,Defensive Skill,Unsuccessful Raids,,,Defensive Skill,Unsuccessful Raids
Push,33,,,Push,33,,,Push,22,,,Push,24,,,Push,23,,,Push,26,,,Push,27,,,Push,28,,,Push,26,,,Push,25,,,Push,25,,,Push,29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Follow,1,,,Block,3,,,Thigh Hold,2,,,Block,4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ankle Hold,1,,,Thigh Hold,2,,,Dive,1,,,Dive,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dive,2,,,Block,1,,,Ankle Hold,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ankle Hold,2,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Attacking Skill,Successful Raids,,,Attacking Skill,Successful Raids,,,Attacking Skill,Successful Raids,,,Attacking Skill,Successful Raids,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Toe Touch,2,,,Running Hand Touch,3,,,Hand Touch,5,,,Running Hand Touch,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Running Hand Touch,2,,,Hand Touch,2,,,Running Hand Touch,2,,,Hand Touch,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hand Touch,2,,,Toe Touch,1,,,Toe Touch,1,,,,,,,,
