player-successful-tackles_player_name,player-avg-tackle-points_player_name,player-super-raids_player_name,player-raid-points_player_name,super-10s_player_name,player-super-tackles_player_name,player-successful-raids_player_name,player-dod-raid-points_player_name,player-tackle-points_player_name,high-5s_player_name,player-total-points_player_name,player-successful-tackles_match_played,player-avg-tackle-points_match_played,player-super-raids_match_played,player-raid-points_match_played,super-10s_match_played,player-super-tackles_match_played,player-successful-raids_match_played,player-dod-raid-points_match_played,player-tackle-points_match_played,high-5s_match_played,player-total-points_match_played,player-successful-tackles_position_name,player-avg-tackle-points_position_name,player-super-raids_position_name,player-raid-points_position_name,super-10s_position_name,player-super-tackles_position_name,player-successful-raids_position_name,player-dod-raid-points_position_name,player-tackle-points_position_name,high-5s_position_name,player-total-points_position_name,player-successful-tackles_team,player-avg-tackle-points_team,player-super-raids_team,player-raid-points_team,super-10s_team,player-super-tackles_team,player-successful-raids_team,player-dod-raid-points_team,player-tackle-points_team,high-5s_team,player-total-points_team,player-successful-tackles_team_name,player-avg-tackle-points_team_name,player-super-raids_team_name,player-raid-points_team_name,super-10s_team_name,player-super-tackles_team_name,player-successful-raids_team_name,player-dod-raid-points_team_name,player-tackle-points_team_name,high-5s_team_name,player-total-points_team_name,player-successful-tackles_team_full_name,player-avg-tackle-points_team_full_name,player-super-raids_team_full_name,player-raid-points_team_full_name,super-10s_team_full_name,player-super-tackles_team_full_name,player-successful-raids_team_full_name,player-dod-raid-points_team_full_name,player-tackle-points_team_full_name,high-5s_team_full_name,player-total-points_team_full_name,player-successful-tackles_rank,player-avg-tackle-points_rank,player-super-raids_rank,player-raid-points_rank,super-10s_rank,player-super-tackles_rank,player-successful-raids_rank,player-dod-raid-points_rank,player-tackle-points_rank,high-5s_rank,player-total-points_rank,player-successful-tackles_value,player-avg-tackle-points_value,player-super-raids_value,player-raid-points_value,super-10s_value,player-super-tackles_value,player-successful-raids_value,player-dod-raid-points_value,player-tackle-points_value,high-5s_value,player-total-points_value,player-successful-tackles_points_per_match,player-avg-tackle-points_points_per_match,player-super-raids_points_per_match,player-raid-points_points_per_match,super-10s_points_per_match,player-super-tackles_points_per_match,player-successful-raids_points_per_match,player-dod-raid-points_points_per_match,player-tackle-points_points_per_match,high-5s_points_per_match,player-total-points_points_per_match,player-successful-tackles_team_id,player-avg-tackle-points_team_id,player-super-raids_team_id,player-raid-points_team_id,super-10s_team_id,player-super-tackles_team_id,player-successful-raids_team_id,player-dod-raid-points_team_id,player-tackle-points_team_id,high-5s_team_id,player-total-points_team_id,player-successful-tackles_position_id,player-avg-tackle-points_position_id,player-super-raids_position_id,player-raid-points_position_id,super-10s_position_id,player-super-tackles_position_id,player-successful-raids_position_id,player-dod-raid-points_position_id,player-tackle-points_position_id,high-5s_position_id,player-total-points_position_id
Shrikant Tewthia,Shrikant Tewthia,,,,Shrikant Tewthia,,,Shrikant Tewthia,,Shrikant Tewthia,3.0,3.0,,,,3.0,,,3.0,,3,All Rounder,All Rounder,,,,All Rounder,,,All Rounder,,All Rounder,,,,,,,,,,,,HAR,HAR,,,,HAR,,,HAR,,HAR,Haryana Steelers,Haryana Steelers,,,,Haryana Steelers,,,Haryana Steelers,,Haryana Steelers,134.0,96.0,,,,65.0,,,126.0,,175,1.0,0.67,,,,1.0,,,2.0,,2,0.3333333333333333,0.2233333333333333,,,,0.3333333333333333,,,0.6666666666666666,,0.6666666666666666,28.0,28.0,,,,28.0,,,28.0,,28,0.0,0.0,,,,0.0,,,0.0,,0
,,Sukesh Hegde,Sukesh Hegde,,,Sukesh Hegde,Sukesh Hegde,,,Sukesh Hegde,,,15.0,15.0,,,15.0,15.0,,,15,,,Raider,Raider,,,Raider,Raider,,,Raider,,,,,,,,,,,,,,KOL,KOL,,,KOL,KOL,,,KOL,,,Bengal Warriors,Bengal Warriors,,,Bengal Warriors,Bengal Warriors,,,Bengal Warriors,,,24.0,35.0,,,36.0,40.0,,,45,,,2.0,58.0,,,43.0,5.0,,,58,,,0.1333333333333333,3.8666666666666663,,,2.8666666666666667,0.3333333333333333,,,3.8666666666666663,,,4.0,4.0,,,4.0,4.0,,,4,,,8.0,8.0,,,8.0,8.0,,,8
Vishal Mane,Vishal Mane,,,,,,,Vishal Mane,,Vishal Mane,6.0,6.0,,,,,,,6.0,,6,Defender,Defender,,,,,,,Defender,,Defender,,,,,,,,,,,,KOL,KOL,,,,,,,KOL,,KOL,Bengal Warriors,Bengal Warriors,,,,,,,Bengal Warriors,,Bengal Warriors,93.0,80.0,,,,,,,99.0,,145,5.0,0.83,,,,,,,5.0,,5,0.8333333333333334,0.1383333333333333,,,,,,,0.8333333333333334,,0.8333333333333334,4.0,4.0,,,,,,,4.0,,4,9.0,9.0,,,,,,,9.0,,9
Sandeep Narwal,Sandeep Narwal,,Sandeep Narwal,,Sandeep Narwal,Sandeep Narwal,Sandeep Narwal,Sandeep Narwal,,Sandeep Narwal,24.0,24.0,,24.0,,24.0,24.0,24.0,24.0,,24,All Rounder,All Rounder,,All Rounder,,All Rounder,All Rounder,All Rounder,All Rounder,,All Rounder,,,,,,,,,,,,DEL,DEL,,DEL,,DEL,DEL,DEL,DEL,,DEL,Dabang Delhi K.C.,Dabang Delhi K.C.,,Dabang Delhi K.C.,,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,,Dabang Delhi K.C.,27.0,40.0,,47.0,,66.0,47.0,38.0,29.0,,39,37.0,1.58,,26.0,,1.0,18.0,6.0,38.0,,64,1.5416666666666667,0.0658333333333333,,1.0833333333333333,,0.0416666666666666,0.75,0.25,1.5833333333333333,,2.6666666666666665,2.0,2.0,,2.0,,2.0,2.0,2.0,2.0,,2,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0
Maninder Singh,Maninder Singh,Maninder Singh,Maninder Singh,Maninder Singh,,Maninder Singh,Maninder Singh,Maninder Singh,,Maninder Singh,22.0,22.0,22.0,22.0,22.0,,22.0,22.0,22.0,,22,Raider,Raider,Raider,Raider,Raider,,Raider,Raider,Raider,,Raider,,,,,,,,,,,,KOL,KOL,KOL,KOL,KOL,,KOL,KOL,KOL,,KOL,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,,Bengal Warriors,Bengal Warriors,Bengal Warriors,,Bengal Warriors,131.0,157.0,2.0,3.0,2.0,,3.0,5.0,127.0,,3,2.0,0.09,11.0,262.0,16.0,,192.0,39.0,2.0,,264,0.0909090909090909,0.004090909090909,0.5,11.909090909090908,0.7272727272727273,,8.727272727272727,1.7727272727272727,0.0909090909090909,,12.0,4.0,4.0,4.0,4.0,4.0,,4.0,4.0,4.0,,4,8.0,8.0,8.0,8.0,8.0,,8.0,8.0,8.0,,8
Surender Nada,Surender Nada,,Surender Nada,,Surender Nada,Surender Nada,,Surender Nada,Surender Nada,Surender Nada,21.0,21.0,,21.0,,21.0,21.0,,21.0,21.0,21,Defender - Left Corner,Defender - Left Corner,,Defender - Left Corner,,Defender - Left Corner,Defender - Left Corner,,Defender - Left Corner,Defender - Left Corner,Defender - Left Corner,,,,,,,,,,,,HAR,HAR,,HAR,,HAR,HAR,,HAR,HAR,HAR,Haryana Steelers,Haryana Steelers,,Haryana Steelers,,Haryana Steelers,Haryana Steelers,,Haryana Steelers,Haryana Steelers,Haryana Steelers,21.0,22.0,,90.0,,15.0,93.0,,19.0,18.0,59,41.0,2.14,,3.0,,4.0,2.0,,45.0,2.0,48,1.9523809523809523,0.1019047619047619,,0.1428571428571428,,0.1904761904761904,0.0952380952380952,,2.142857142857143,0.0952380952380952,2.2857142857142856,28.0,28.0,,28.0,,28.0,28.0,,28.0,28.0,28,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,0
Prashanth Kumar Rai,Prashanth Kumar Rai,Prashanth Kumar Rai,Prashanth Kumar Rai,,,Prashanth Kumar Rai,Prashanth Kumar Rai,Prashanth Kumar Rai,,Prashanth Kumar Rai,23.0,23.0,23.0,23.0,,,23.0,23.0,23.0,,23,Raider,Raider,Raider,Raider,,,Raider,Raider,Raider,,Raider,,,,,,,,,,,,PAT,PAT,PAT,PAT,,,PAT,PAT,PAT,,PAT,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,,,Patna Pirates,Patna Pirates,Patna Pirates,,Patna Pirates,136.0,161.0,46.0,22.0,,,22.0,20.0,151.0,,24,1.0,0.04,1.0,95.0,,,73.0,15.0,1.0,,96,0.0434782608695652,0.0017391304347826,0.0434782608695652,4.130434782608695,,,3.1739130434782608,0.6521739130434783,0.0434782608695652,,4.173913043478261,6.0,6.0,6.0,6.0,,,6.0,6.0,6.0,,6,8.0,8.0,8.0,8.0,,,8.0,8.0,8.0,,8
,,,Pawan Kadian,,,Pawan Kadian,,,,Pawan Kadian,,,,1.0,,,1.0,,,,1,,,,Raider,,,Raider,,,,Raider,,,,,,,,,,,,,,,PUN,,,PUN,,,,PUN,,,,Puneri Paltan,,,Puneri Paltan,,,,Puneri Paltan,,,,75.0,,,81.0,,,,143,,,,5.0,,,3.0,,,,5,,,,5.0,,,3.0,,,,5.0,,,,7.0,,,7.0,,,,7,,,,8.0,,,8.0,,,,8
Ravinder Pahal,Ravinder Pahal,,,,,,,Ravinder Pahal,,Ravinder Pahal,8.0,8.0,,,,,,,8.0,,8,Defender - Right Corner,Defender - Right Corner,,,,,,,Defender - Right Corner,,Defender - Right Corner,,,,,,,,,,,,GUJ,GUJ,,,,,,,GUJ,,GUJ,Gujarat Giants,Gujarat Giants,,,,,,,Gujarat Giants,,Gujarat Giants,64.0,44.0,,,,,,,65.0,,121,12.0,1.5,,,,,,,12.0,,12,1.5,0.1875,,,,,,,1.5,,1.5,31.0,31.0,,,,,,,31.0,,31,0.0,0.0,,,,,,,0.0,,0
Ran Singh,Ran Singh,,Ran Singh,,Ran Singh,Ran Singh,Ran Singh,Ran Singh,Ran Singh,Ran Singh,14.0,14.0,,14.0,,14.0,14.0,14.0,14.0,14.0,14,All Rounder,All Rounder,,All Rounder,,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,,,,,,,,,,,,KOL,KOL,,KOL,,KOL,KOL,KOL,KOL,KOL,KOL,Bengal Warriors,Bengal Warriors,,Bengal Warriors,,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,29.0,12.0,,89.0,,69.0,92.0,75.0,30.0,32.0,74,34.0,2.5,,3.0,,1.0,2.0,1.0,35.0,1.0,38,2.4285714285714284,0.1785714285714285,,0.2142857142857142,,0.0714285714285714,0.1428571428571428,0.0714285714285714,2.5,0.0714285714285714,2.7142857142857144,4.0,4.0,,4.0,,4.0,4.0,4.0,4.0,4.0,4,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0
Girish Maruti Ernak,Girish Maruti Ernak,,,,Girish Maruti Ernak,,,Girish Maruti Ernak,Girish Maruti Ernak,Girish Maruti Ernak,19.0,19.0,,,,19.0,,,19.0,19.0,19,Defender - Left Corner,Defender - Left Corner,,,,Defender - Left Corner,,,Defender - Left Corner,Defender - Left Corner,Defender - Left Corner,,,,,,,,,,,,GUJ,GUJ,,,,GUJ,,,GUJ,GUJ,GUJ,Gujarat Giants,Gujarat Giants,,,,Gujarat Giants,,,Gujarat Giants,Gujarat Giants,Gujarat Giants,17.0,14.0,,,,70.0,,,18.0,5.0,63,45.0,2.42,,,,1.0,,,46.0,4.0,46,2.3684210526315788,0.1273684210526315,,,,0.0526315789473684,,,2.4210526315789473,0.2105263157894736,2.4210526315789473,31.0,31.0,,,,31.0,,,31.0,31.0,31,0.0,0.0,,,,0.0,,,0.0,0.0,0
Mahendra Rajput,Mahendra Rajput,Mahendra Rajput,Mahendra Rajput,Mahendra Rajput,Mahendra Rajput,Mahendra Rajput,Mahendra Rajput,Mahendra Rajput,,Mahendra Rajput,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,,17,Raider,Raider,Raider,Raider,Raider,Raider,Raider,Raider,Raider,,Raider,,,,,,,,,,,,GUJ,GUJ,GUJ,GUJ,GUJ,GUJ,GUJ,GUJ,GUJ,,GUJ,Gujarat Giants,Gujarat Giants,Gujarat Giants,Gujarat Giants,Gujarat Giants,Gujarat Giants,Gujarat Giants,Gujarat Giants,Gujarat Giants,,Gujarat Giants,103.0,137.0,47.0,34.0,30.0,71.0,32.0,33.0,98.0,,38,4.0,0.29,1.0,60.0,1.0,1.0,47.0,8.0,5.0,,65,0.2352941176470588,0.0170588235294117,0.0588235294117647,3.5294117647058822,0.0588235294117647,0.0588235294117647,2.764705882352941,0.4705882352941176,0.2941176470588235,,3.823529411764706,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,,31,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,8
Vijin Thangadurai,Vijin Thangadurai,,,,,,,Vijin Thangadurai,,Vijin Thangadurai,7.0,7.0,,,,,,,7.0,,7,Defender,Defender,,,,,,,Defender,,Defender,,,,,,,,,,,,KOL,KOL,,,,,,,KOL,,KOL,Bengal Warriors,Bengal Warriors,,,,,,,Bengal Warriors,,Bengal Warriors,109.0,120.0,,,,,,,116.0,,164,3.0,0.43,,,,,,,3.0,,3,0.4285714285714285,0.0614285714285714,,,,,,,0.4285714285714285,,0.4285714285714285,4.0,4.0,,,,,,,4.0,,4,9.0,9.0,,,,,,,9.0,,9
