Raider Name,Number of Defenders,Total Raids,% of Raids,Empty,Successful,Unsuccessful
Aashish,7,2,100%,50.00%,50.00%,
Ajinkya Ashok,1,2,1%,,100.00%,
Pawar,2,10,3%,20.00%,70.00%,10.00%
,3,27,9%,63.00%,22.20%,14.80%
,4,33,11%,60.60%,18.20%,21.20%
,5,66,22%,62.10%,19.70%,18.20%
,6,52,17%,50.00%,32.70%,17.30%
,7,110,37%,40.00%,42.70%,17.30%
Himanshu,3,4,3%,100.00%,,
,4,15,10%,66.70%,20.00%,13.30%
,5,51,35%,78.40%,3.90%,17.60%
,6,22,15%,45.50%,36.40%,18.20%
,7,52,36%,59.60%,28.80%,11.50%
Himanshu Narwal,4,1,10%,,,100.00%
,5,4,40%,50.00%,25.00%,25.00%
,6,1,10%,,100.00%,
,7,4,40%,,50.00%,50.00%
Himanshu Singh,1,1,1%,,100.00%,
,2,3,3%,,66.70%,33.30%
,3,8,8%,62.50%,37.50%,
,4,7,7%,42.90%,42.90%,14.30%
,5,13,14%,61.50%,15.40%,23.10%
,6,18,19%,38.90%,27.80%,33.30%
,7,45,47%,44.40%,24.40%,31.10%
K Abhimanyu,6,1,33%,100.00%,,
,7,2,67%,50.00%,50.00%,
Md. Arif Rabbani,3,1,50%,100.00%,,
,7,1,50%,,,100.00%
Mohit,5,3,33%,66.70%,,33.30%
,6,3,33%,33.30%,33.30%,33.30%
,7,3,33%,66.70%,33.30%,
Mohit Jakhar,5,3,75%,100.00%,,
,7,1,25%,100.00%,,
Narender,1,7,2%,,100.00%,
,2,11,3%,9.10%,72.70%,18.20%
,3,25,6%,28.00%,44.00%,28.00%
,4,39,10%,35.90%,35.90%,28.20%
,5,55,14%,54.50%,18.20%,27.30%
,6,99,25%,19.20%,56.60%,24.20%
,7,158,40%,24.10%,55.70%,20.30%
Narender,5,4,36%,25.00%,50.00%,25.00%
,6,3,27%,33.30%,66.70%,
,7,4,36%,,50.00%,50.00%
Pawan Sehrawat,7,2,100%,50.00%,50.00%,
Sachin,4,1,20%,,,100.00%
,5,2,40%,50.00%,,50.00%
,6,1,20%,100.00%,,
,7,1,20%,,100.00%,
Sachin Nehra,3,3,12%,33.30%,,66.70%
,4,4,15%,50.00%,50.00%,
,5,3,12%,33.30%,66.70%,
,6,7,27%,14.30%,57.10%,28.60%
,7,9,35%,22.20%,11.10%,66.70%
Visvanath V,3,3,9%,33.30%,33.30%,33.30%
,4,6,18%,33.30%,,66.70%
,5,4,12%,50.00%,50.00%,
,6,7,21%,85.70%,14.30%,
,7,14,41%,35.70%,42.90%,21.40%
