Raider Name,Number of Defenders,Total Raids,% of Raids,Empty,Successful,Unsuccessful
Arkam Shaikh,5,1,14%,100.00%,,
,6,1,14%,100.00%,,
,7,5,71%,40.00%,20.00%,40.00%
Chandran Ranjit,2,1,1%,,100.00%,
,3,4,2%,50.00%,25.00%,25.00%
,4,9,6%,44.40%,33.30%,22.20%
,5,16,10%,50.00%,31.30%,18.80%
,6,51,31%,25.50%,51.00%,23.50%
,7,81,50%,23.50%,48.10%,28.40%
Dong Geon Lee,3,1,2%,100.00%,,
,4,7,11%,57.10%,14.30%,28.60%
,5,9,14%,100.00%,,
,6,13,20%,23.10%,61.50%,15.40%
,7,35,54%,17.10%,60.00%,22.90%
Gaurav Chhikara,7,1,100%,,,100.00%
Mahendra Ganesh Rajput,4,3,4%,66.70%,33.30%,
,5,11,16%,72.70%,9.10%,18.20%
,6,14,21%,,85.70%,14.30%
,7,39,58%,7.70%,64.10%,28.20%
Mohammad Ghor..,3,1,100%,100.00%,,
Pardeep Kumar,5,3,60%,33.30%,,66.70%
,7,2,40%,50.00%,,50.00%
Parteek Dhaiya,1,2,1%,,100.00%,
,2,19,8%,15.80%,78.90%,5.30%
,3,32,13%,12.50%,56.30%,31.30%
,4,34,14%,35.30%,44.10%,20.60%
,5,50,21%,32.00%,46.00%,22.00%
,6,30,13%,20.00%,56.70%,23.30%
,7,73,30%,24.70%,49.30%,26.00%
Prashanth Kumar Rai,3,1,14%,100.00%,,
,5,1,14%,100.00%,,
,6,2,29%,,100.00%,
,7,3,43%,33.30%,,66.70%
Purna Singh,5,6,75%,66.70%,,33.30%
,6,1,13%,100.00%,,
,7,1,13%,,100.00%,
Rakesh Sangroya,1,2,1%,,100.00%,
,2,19,7%,5.30%,63.20%,31.60%
,3,10,4%,20.00%,70.00%,10.00%
,4,43,16%,51.20%,37.20%,11.60%
,5,60,22%,60.00%,20.00%,20.00%
,6,43,16%,46.50%,41.90%,11.60%
,7,94,35%,29.80%,46.80%,23.40%
Rinku Narwal,6,2,40%,100.00%,,
,7,3,60%,66.70%,,33.30%
Rohan Singh,5,1,100%,,,100.00%
Rohit Kumar,6,1,25%,100.00%,,
,7,3,75%,66.70%,33.30%,
Shankar Bhimraj Gadai,4,1,9%,,100.00%,
,5,3,27%,66.70%,33.30%,
,6,3,27%,100.00%,,
,7,4,36%,50.00%,50.00%,
Sonu,1,1,1%,,100.00%,
,2,3,4%,33.30%,66.70%,
,3,2,3%,,100.00%,
,4,7,9%,57.10%,28.60%,14.30%
,5,18,23%,38.90%,33.30%,27.80%
,6,17,21%,52.90%,5.90%,41.20%
,7,32,40%,18.80%,50.00%,31.30%
