season,team_name,Raider Name,Number of Defenders,Total Raids,% of Raids,Empty,Successful,Unsuccessful
PKL-09,Bengaluru Bulls,Neeraj Narwal,1,2,1%,,100.00%,
PKL-09,Bengaluru Bulls,,3,4,2%,75.00%,,25.00%
PKL-09,Bengaluru Bulls,,4,18,9%,72.20%,16.70%,11.10%
PKL-09,Bengaluru Bulls,,5,38,19%,65.80%,13.20%,21.10%
PKL-09,Bengaluru Bulls,,6,57,29%,24.60%,49.10%,26.30%
PKL-09,Bengaluru Bulls,,7,80,40%,47.50%,28.80%,23.80%
PKL-09,Bengaluru Bulls,Sachin Narwal,3,1,2%,,,100.00%
PKL-09,Bengaluru Bulls,,4,7,11%,42.90%,42.90%,14.30%
PKL-09,Bengaluru Bulls,,5,9,14%,33.30%,44.40%,22.20%
PKL-09,Bengaluru Bulls,,6,14,22%,14.30%,57.10%,28.60%
PKL-09,Bengaluru Bulls,,7,33,52%,27.30%,36.40%,36.40%
PKL-09,Bengaluru Bulls,Saurabh Nandal,4,1,50%,,100.00%,
PKL-09,Bengaluru Bulls,,5,1,50%,,100.00%,
PKL-09,Bengaluru Bulls,Vikash Kandola,1,1,0%,,100.00%,
PKL-09,Bengaluru Bulls,,2,27,9%,3.70%,77.80%,18.50%
PKL-09,Bengaluru Bulls,,3,11,4%,72.70%,27.30%,
PKL-09,Bengaluru Bulls,,4,34,11%,50.00%,20.60%,29.40%
PKL-09,Bengaluru Bulls,,5,55,18%,54.50%,21.80%,23.60%
PKL-09,Bengaluru Bulls,,6,47,15%,42.60%,40.40%,17.00%
PKL-09,Bengaluru Bulls,,7,131,43%,46.60%,32.80%,20.60%
PKL-09,Bengaluru Bulls,Vikash Khandola,2,4,12%,,100.00%,
PKL-09,Bengaluru Bulls,,3,2,6%,100.00%,,
PKL-09,Bengaluru Bulls,,4,2,6%,100.00%,,
PKL-09,Bengaluru Bulls,,5,7,21%,28.60%,42.90%,28.60%
PKL-09,Bengaluru Bulls,,6,7,21%,42.90%,42.90%,14.30%
PKL-09,Bengaluru Bulls,,7,11,33%,36.40%,36.40%,27.30%
PKL-09,Dabang Delhi,Ashish Narwal,4,2,10%,50.00%,50.00%,
PKL-09,Dabang Delhi,,5,4,20%,50.00%,,50.00%
PKL-09,Dabang Delhi,,6,8,40%,,62.50%,37.50%
PKL-09,Dabang Delhi,,7,6,30%,50.00%,,50.00%
PKL-09,Dabang Delhi,Ashu Malik,2,12,4%,25.00%,58.30%,16.70%
PKL-09,Dabang Delhi,,3,15,5%,60.00%,20.00%,20.00%
PKL-09,Dabang Delhi,,4,43,16%,46.50%,41.90%,11.60%
PKL-09,Dabang Delhi,,5,70,25%,41.40%,28.60%,30.00%
PKL-09,Dabang Delhi,,6,47,17%,34.00%,40.40%,25.50%
PKL-09,Dabang Delhi,,7,90,32%,32.20%,46.70%,21.10%
PKL-09,Dabang Delhi,Manjeet,3,7,7%,71.40%,,28.60%
PKL-09,Dabang Delhi,,4,7,7%,28.60%,28.60%,42.90%
PKL-09,Dabang Delhi,,5,19,18%,26.30%,26.30%,47.40%
PKL-09,Dabang Delhi,,6,20,19%,25.00%,60.00%,15.00%
PKL-09,Dabang Delhi,,7,52,50%,19.20%,42.30%,38.50%
PKL-09,Dabang Delhi,Naveen Kumar,1,3,1%,,100.00%,
PKL-09,Dabang Delhi,,2,36,8%,5.60%,80.60%,13.90%
PKL-09,Dabang Delhi,,3,40,9%,15.00%,52.50%,32.50%
PKL-09,Dabang Delhi,,4,50,11%,40.00%,30.00%,30.00%
PKL-09,Dabang Delhi,,5,58,13%,46.60%,32.80%,20.70%
PKL-09,Dabang Delhi,,6,76,17%,35.50%,52.60%,11.80%
PKL-09,Dabang Delhi,,7,176,40%,24.40%,54.50%,21.00%
PKL-09,Dabang Delhi,Ravi Kumar,5,1,50%,100.00%,,
PKL-09,Dabang Delhi,,7,1,50%,100.00%,,
PKL-09,Dabang Delhi,Tejas Maruti Patil,4,1,25%,,,100.00%
PKL-09,Dabang Delhi,,5,2,50%,100.00%,,
PKL-09,Dabang Delhi,,6,1,25%,,100.00%,
PKL-09,Dabang Delhi,Vijay,7,6,100%,33.30%,16.70%,50.00%
PKL-09,Dabang Delhi,Vijay Jaglan,2,1,1%,,,100.00%
PKL-09,Dabang Delhi,,3,2,2%,100.00%,,
PKL-09,Dabang Delhi,,4,6,5%,100.00%,,
PKL-09,Dabang Delhi,,5,6,5%,100.00%,,
PKL-09,Dabang Delhi,,6,36,32%,36.10%,41.70%,22.20%
PKL-09,Dabang Delhi,,7,63,55%,20.60%,60.30%,19.00%
PKL-09,Dabang Delhi,Vishal,7,1,100%,100.00%,,
PKL-09,Dabang Delhi,Vishal Lather,3,1,17%,100.00%,,
PKL-09,Dabang Delhi,,4,4,67%,100.00%,,
PKL-09,Dabang Delhi,,7,1,17%,100.00%,,
PKL-09,Gujarat Fortunegiants,Arkam Shaikh,5,1,14%,100.00%,,
PKL-09,Gujarat Fortunegiants,,6,1,14%,100.00%,,
PKL-09,Gujarat Fortunegiants,,7,5,71%,40.00%,20.00%,40.00%
PKL-09,Gujarat Fortunegiants,Chandran Ranjit,2,1,1%,,100.00%,
PKL-09,Gujarat Fortunegiants,,3,4,2%,50.00%,25.00%,25.00%
PKL-09,Gujarat Fortunegiants,,4,9,6%,44.40%,33.30%,22.20%
PKL-09,Gujarat Fortunegiants,,5,16,10%,50.00%,31.30%,18.80%
PKL-09,Gujarat Fortunegiants,,6,51,31%,25.50%,51.00%,23.50%
PKL-09,Gujarat Fortunegiants,,7,81,50%,23.50%,48.10%,28.40%
PKL-09,Gujarat Fortunegiants,Dong Geon Lee,3,1,2%,100.00%,,
PKL-09,Gujarat Fortunegiants,,4,7,11%,57.10%,14.30%,28.60%
PKL-09,Gujarat Fortunegiants,,5,9,14%,100.00%,,
PKL-09,Gujarat Fortunegiants,,6,13,20%,23.10%,61.50%,15.40%
PKL-09,Gujarat Fortunegiants,,7,35,54%,17.10%,60.00%,22.90%
PKL-09,Gujarat Fortunegiants,Gaurav Chhikara,7,1,100%,,,100.00%
PKL-09,Gujarat Fortunegiants,Mahendra Ganesh Rajput,4,3,4%,66.70%,33.30%,
PKL-09,Gujarat Fortunegiants,,5,11,16%,72.70%,9.10%,18.20%
PKL-09,Gujarat Fortunegiants,,6,14,21%,,85.70%,14.30%
PKL-09,Gujarat Fortunegiants,,7,39,58%,7.70%,64.10%,28.20%
PKL-09,Gujarat Fortunegiants,Mohammad Ghor..,3,1,100%,100.00%,,
PKL-09,Gujarat Fortunegiants,Pardeep Kumar,5,3,60%,33.30%,,66.70%
PKL-09,Gujarat Fortunegiants,,7,2,40%,50.00%,,50.00%
PKL-09,Gujarat Fortunegiants,Parteek Dhaiya,1,2,1%,,100.00%,
PKL-09,Gujarat Fortunegiants,,2,19,8%,15.80%,78.90%,5.30%
PKL-09,Gujarat Fortunegiants,,3,32,13%,12.50%,56.30%,31.30%
PKL-09,Gujarat Fortunegiants,,4,34,14%,35.30%,44.10%,20.60%
PKL-09,Gujarat Fortunegiants,,5,50,21%,32.00%,46.00%,22.00%
PKL-09,Gujarat Fortunegiants,,6,30,13%,20.00%,56.70%,23.30%
PKL-09,Gujarat Fortunegiants,,7,73,30%,24.70%,49.30%,26.00%
PKL-09,Gujarat Fortunegiants,Prashanth Kumar Rai,3,1,14%,100.00%,,
PKL-09,Gujarat Fortunegiants,,5,1,14%,100.00%,,
PKL-09,Gujarat Fortunegiants,,6,2,29%,,100.00%,
PKL-09,Gujarat Fortunegiants,,7,3,43%,33.30%,,66.70%
PKL-09,Gujarat Fortunegiants,Purna Singh,5,6,75%,66.70%,,33.30%
PKL-09,Gujarat Fortunegiants,,6,1,13%,100.00%,,
PKL-09,Gujarat Fortunegiants,,7,1,13%,,100.00%,
PKL-09,Gujarat Fortunegiants,Rakesh Sangroya,1,2,1%,,100.00%,
PKL-09,Gujarat Fortunegiants,,2,19,7%,5.30%,63.20%,31.60%
PKL-09,Gujarat Fortunegiants,,3,10,4%,20.00%,70.00%,10.00%
PKL-09,Gujarat Fortunegiants,,4,43,16%,51.20%,37.20%,11.60%
PKL-09,Gujarat Fortunegiants,,5,60,22%,60.00%,20.00%,20.00%
PKL-09,Gujarat Fortunegiants,,6,43,16%,46.50%,41.90%,11.60%
PKL-09,Gujarat Fortunegiants,,7,94,35%,29.80%,46.80%,23.40%
PKL-09,Gujarat Fortunegiants,Rinku Narwal,6,2,40%,100.00%,,
PKL-09,Gujarat Fortunegiants,,7,3,60%,66.70%,,33.30%
PKL-09,Gujarat Fortunegiants,Rohan Singh,5,1,100%,,,100.00%
PKL-09,Gujarat Fortunegiants,Rohit Kumar,6,1,25%,100.00%,,
PKL-09,Gujarat Fortunegiants,,7,3,75%,66.70%,33.30%,
PKL-09,Gujarat Fortunegiants,Shankar Bhimraj Gadai,4,1,9%,,100.00%,
PKL-09,Gujarat Fortunegiants,,5,3,27%,66.70%,33.30%,
PKL-09,Gujarat Fortunegiants,,6,3,27%,100.00%,,
PKL-09,Gujarat Fortunegiants,,7,4,36%,50.00%,50.00%,
PKL-09,Gujarat Fortunegiants,Sonu,1,1,1%,,100.00%,
PKL-09,Gujarat Fortunegiants,,2,3,4%,33.30%,66.70%,
PKL-09,Gujarat Fortunegiants,,3,2,3%,,100.00%,
PKL-09,Gujarat Fortunegiants,,4,7,9%,57.10%,28.60%,14.30%
PKL-09,Gujarat Fortunegiants,,5,18,23%,38.90%,33.30%,27.80%
PKL-09,Gujarat Fortunegiants,,6,17,21%,52.90%,5.90%,41.20%
PKL-09,Gujarat Fortunegiants,,7,32,40%,18.80%,50.00%,31.30%
PKL-09,Jaipur Pink Panthers,Ajith V Kumar,2,2,1%,,100.00%,
PKL-09,Jaipur Pink Panthers,,3,23,13%,78.30%,17.40%,4.30%
PKL-09,Jaipur Pink Panthers,,4,22,12%,31.80%,36.40%,31.80%
PKL-09,Jaipur Pink Panthers,,5,47,26%,51.10%,27.70%,21.30%
PKL-09,Jaipur Pink Panthers,,6,33,18%,42.40%,45.50%,12.10%
PKL-09,Jaipur Pink Panthers,,7,55,30%,27.30%,54.50%,18.20%
PKL-09,Jaipur Pink Panthers,Arjun Deshwal,1,2,0%,,100.00%,
PKL-09,Jaipur Pink Panthers,,2,52,11%,5.80%,69.20%,25.00%
PKL-09,Jaipur Pink Panthers,,3,37,8%,45.90%,35.10%,18.90%
PKL-09,Jaipur Pink Panthers,,4,67,14%,26.90%,44.80%,28.40%
PKL-09,Jaipur Pink Panthers,,5,67,14%,53.70%,28.40%,17.90%
PKL-09,Jaipur Pink Panthers,,6,99,21%,16.20%,62.60%,21.20%
PKL-09,Jaipur Pink Panthers,,7,141,30%,24.10%,58.90%,17.00%
PKL-09,Jaipur Pink Panthers,Bhavani Rajput,2,3,4%,66.70%,33.30%,
PKL-09,Jaipur Pink Panthers,,3,4,5%,50.00%,50.00%,
PKL-09,Jaipur Pink Panthers,,4,12,16%,16.70%,50.00%,33.30%
PKL-09,Jaipur Pink Panthers,,5,15,19%,40.00%,33.30%,26.70%
PKL-09,Jaipur Pink Panthers,,6,11,14%,45.50%,18.20%,36.40%
PKL-09,Jaipur Pink Panthers,,7,32,42%,34.40%,37.50%,28.10%
PKL-09,Jaipur Pink Panthers,Devank,5,2,18%,50.00%,,50.00%
PKL-09,Jaipur Pink Panthers,,6,1,9%,100.00%,,
PKL-09,Jaipur Pink Panthers,,7,8,73%,12.50%,25.00%,62.50%
PKL-09,Jaipur Pink Panthers,Lucky Sharma,7,1,100%,,,100.00%
PKL-09,Jaipur Pink Panthers,Navneet,4,1,10%,,,100.00%
PKL-09,Jaipur Pink Panthers,,5,2,20%,,,100.00%
PKL-09,Jaipur Pink Panthers,,6,3,30%,66.70%,33.30%,
PKL-09,Jaipur Pink Panthers,,7,4,40%,,75.00%,25.00%
PKL-09,Jaipur Pink Panthers,Nitin Panwar,6,2,50%,,100.00%,
PKL-09,Jaipur Pink Panthers,,7,2,50%,50.00%,50.00%,
PKL-09,Jaipur Pink Panthers,Nitin Panwar (JP),5,2,33%,50.00%,,50.00%
PKL-09,Jaipur Pink Panthers,,7,4,67%,25.00%,,75.00%
PKL-09,Jaipur Pink Panthers,Rahul Chaudhari,1,2,1%,,100.00%,
PKL-09,Jaipur Pink Panthers,,2,9,5%,11.10%,66.70%,22.20%
PKL-09,Jaipur Pink Panthers,,3,17,9%,52.90%,35.30%,11.80%
PKL-09,Jaipur Pink Panthers,,4,29,15%,48.30%,24.10%,27.60%
PKL-09,Jaipur Pink Panthers,,5,47,25%,66.00%,14.90%,19.10%
PKL-09,Jaipur Pink Panthers,,6,22,12%,40.90%,31.80%,27.30%
PKL-09,Jaipur Pink Panthers,,7,63,33%,41.30%,39.70%,19.00%
PKL-09,Jaipur Pink Panthers,Rahul Gorakh Dh..,6,1,100%,,,100.00%
PKL-09,Jaipur Pink Panthers,Sahul Kumar,4,1,13%,100.00%,,
PKL-09,Jaipur Pink Panthers,,7,7,88%,85.70%,14.30%,
PKL-09,Jaipur Pink Panthers,Sunil Kumar,2,1,3%,100.00%,,
PKL-09,Jaipur Pink Panthers,,3,7,23%,100.00%,,
PKL-09,Jaipur Pink Panthers,,4,3,10%,100.00%,,
PKL-09,Jaipur Pink Panthers,,5,7,23%,85.70%,14.30%,
PKL-09,Jaipur Pink Panthers,,6,2,7%,100.00%,,
PKL-09,Jaipur Pink Panthers,,7,10,33%,100.00%,,
PKL-09,Jaipur Pink Panthers,V Ajith Kumar,2,4,12%,,75.00%,25.00%
PKL-09,Jaipur Pink Panthers,,3,5,15%,60.00%,20.00%,20.00%
PKL-09,Jaipur Pink Panthers,,4,7,21%,28.60%,14.30%,57.10%
PKL-09,Jaipur Pink Panthers,,5,6,18%,,50.00%,50.00%
PKL-09,Jaipur Pink Panthers,,6,7,21%,,85.70%,14.30%
PKL-09,Jaipur Pink Panthers,,7,5,15%,,40.00%,60.00%
PKL-09,Patna Pirates,Abdul Insamam S,5,1,6%,100.00%,,
PKL-09,Patna Pirates,,6,5,28%,40.00%,40.00%,20.00%
PKL-09,Patna Pirates,,7,12,67%,16.70%,25.00%,58.30%
PKL-09,Patna Pirates,Anand Surendra Tomar,2,1,4%,,100.00%,
PKL-09,Patna Pirates,,3,2,8%,50.00%,50.00%,
PKL-09,Patna Pirates,,4,2,8%,50.00%,,50.00%
PKL-09,Patna Pirates,,5,4,17%,50.00%,50.00%,
PKL-09,Patna Pirates,,6,5,21%,20.00%,80.00%,
PKL-09,Patna Pirates,,7,10,42%,30.00%,60.00%,10.00%
PKL-09,Patna Pirates,Anuj Kumar,4,1,3%,,,100.00%
PKL-09,Patna Pirates,,5,9,24%,55.60%,22.20%,22.20%
PKL-09,Patna Pirates,,6,10,27%,40.00%,10.00%,50.00%
PKL-09,Patna Pirates,,7,17,46%,35.30%,23.50%,41.20%
PKL-09,Patna Pirates,Daniel Omondi Odhiambo,1,1,6%,,100.00%,
PKL-09,Patna Pirates,,2,2,13%,,100.00%,
PKL-09,Patna Pirates,,3,4,25%,,75.00%,25.00%
PKL-09,Patna Pirates,,5,3,19%,66.70%,,33.30%
PKL-09,Patna Pirates,,6,3,19%,,66.70%,33.30%
PKL-09,Patna Pirates,,7,3,19%,33.30%,33.30%,33.30%
PKL-09,Patna Pirates,Manish,7,1,100%,,,100.00%
PKL-09,Patna Pirates,Monu Sandhu,3,8,8%,100.00%,,
PKL-09,Patna Pirates,,4,12,13%,91.70%,8.30%,
PKL-09,Patna Pirates,,5,15,16%,93.30%,,6.70%
PKL-09,Patna Pirates,,6,18,19%,72.20%,16.70%,11.10%
PKL-09,Patna Pirates,,7,43,45%,67.40%,18.60%,14.00%
PKL-09,Patna Pirates,Naveen Sharma,7,1,100%,,,100.00%
PKL-09,Patna Pirates,Neeraj Kumar,3,1,8%,100.00%,,
PKL-09,Patna Pirates,,4,1,8%,100.00%,,
PKL-09,Patna Pirates,,5,5,42%,100.00%,,
PKL-09,Patna Pirates,,6,1,8%,100.00%,,
PKL-09,Patna Pirates,,7,4,33%,75.00%,,25.00%
PKL-09,Patna Pirates,Ranjit Venkatramana Naik,2,2,6%,,50.00%,50.00%
PKL-09,Patna Pirates,,3,2,6%,50.00%,50.00%,
PKL-09,Patna Pirates,,4,3,9%,33.30%,33.30%,33.30%
PKL-09,Patna Pirates,,5,8,24%,25.00%,25.00%,50.00%
PKL-09,Patna Pirates,,6,8,24%,25.00%,50.00%,25.00%
PKL-09,Patna Pirates,,7,10,30%,20.00%,50.00%,30.00%
PKL-09,Patna Pirates,Rohit Gulia,2,7,2%,,71.40%,28.60%
PKL-09,Patna Pirates,,3,21,7%,66.70%,23.80%,9.50%
PKL-09,Patna Pirates,,4,36,12%,47.20%,27.80%,25.00%
PKL-09,Patna Pirates,,5,51,17%,64.70%,15.70%,19.60%
PKL-09,Patna Pirates,,6,57,19%,17.50%,63.20%,19.30%
PKL-09,Patna Pirates,,7,121,41%,28.10%,47.90%,24.00%
PKL-09,Patna Pirates,Sachin,2,10,10%,,90.00%,10.00%
PKL-09,Patna Pirates,,3,13,12%,53.80%,38.50%,7.70%
PKL-09,Patna Pirates,,4,9,9%,55.60%,11.10%,33.30%
PKL-09,Patna Pirates,Sachin,5,20,19%,45.00%,30.00%,25.00%
PKL-09,Patna Pirates,,6,14,13%,64.30%,21.40%,14.30%
PKL-09,Patna Pirates,,7,39,37%,38.50%,43.60%,17.90%
PKL-09,Patna Pirates,Sachin Tanwar,1,3,1%,,100.00%,
PKL-09,Patna Pirates,,2,12,4%,8.30%,75.00%,16.70%
PKL-09,Patna Pirates,,3,23,8%,52.20%,34.80%,13.00%
PKL-09,Patna Pirates,,4,47,17%,53.20%,25.50%,21.30%
PKL-09,Patna Pirates,,5,42,15%,50.00%,23.80%,26.20%
PKL-09,Patna Pirates,,6,61,22%,37.70%,52.50%,9.80%
PKL-09,Patna Pirates,,7,84,31%,36.90%,41.70%,21.40%
PKL-09,Patna Pirates,Shadloui Chianeh,3,1,5%,100.00%,,
PKL-09,Patna Pirates,,5,4,20%,75.00%,,25.00%
PKL-09,Patna Pirates,,6,7,35%,57.10%,14.30%,28.60%
PKL-09,Patna Pirates,,7,8,40%,62.50%,37.50%,
PKL-09,Patna Pirates,Sukesh Hegde,7,2,100%,50.00%,,50.00%
PKL-09,Patna Pirates,Sunil,7,2,100%,,,100.00%
PKL-09,Patna Pirates,Vishwas S,5,6,29%,83.30%,,16.70%
PKL-09,Patna Pirates,,6,7,33%,,57.10%,42.90%
PKL-09,Patna Pirates,,7,8,38%,37.50%,25.00%,37.50%
PKL-09,Puneri Paltan,Abinesh Nadaraj..,7,2,100%,50.00%,,50.00%
PKL-09,Puneri Paltan,Aditya Shinde,4,1,14%,100.00%,,
PKL-09,Puneri Paltan,,5,3,43%,,33.30%,66.70%
PKL-09,Puneri Paltan,,6,1,14%,,100.00%,
PKL-09,Puneri Paltan,,7,2,29%,,50.00%,50.00%
PKL-09,Puneri Paltan,Aditya Tushar Shinde,2,1,4%,,100.00%,
PKL-09,Puneri Paltan,,3,3,13%,33.30%,,66.70%
PKL-09,Puneri Paltan,,4,1,4%,100.00%,,
PKL-09,Puneri Paltan,,5,4,17%,,75.00%,25.00%
PKL-09,Puneri Paltan,,6,7,30%,28.60%,42.90%,28.60%
PKL-09,Puneri Paltan,,7,7,30%,14.30%,42.90%,42.90%
PKL-09,Puneri Paltan,Ajinkya Ashok Pa..,7,1,100%,,,100.00%
PKL-09,Puneri Paltan,Akash Santosh,2,5,3%,,60.00%,40.00%
PKL-09,Puneri Paltan,Shinde,3,12,6%,16.70%,75.00%,8.30%
PKL-09,Puneri Paltan,,4,15,8%,40.00%,33.30%,26.70%
PKL-09,Puneri Paltan,,5,27,14%,48.10%,25.90%,25.90%
PKL-09,Puneri Paltan,,6,43,22%,18.60%,67.40%,14.00%
PKL-09,Puneri Paltan,,7,93,48%,21.50%,51.60%,26.90%
PKL-09,Puneri Paltan,Akash Shinde,3,1,4%,,,100.00%
PKL-09,Puneri Paltan,,4,4,15%,50.00%,25.00%,25.00%
PKL-09,Puneri Paltan,,5,4,15%,25.00%,,75.00%
PKL-09,Puneri Paltan,,6,9,33%,44.40%,44.40%,11.10%
PKL-09,Puneri Paltan,,7,9,33%,33.30%,11.10%,55.60%
PKL-09,Puneri Paltan,Aslam Mustafa Inamdar,1,3,1%,,100.00%,
PKL-09,Puneri Paltan,,2,8,3%,12.50%,75.00%,12.50%
PKL-09,Puneri Paltan,,3,25,9%,48.00%,28.00%,24.00%
PKL-09,Puneri Paltan,,4,31,12%,51.60%,32.30%,16.10%
