Season,Tackle Type,Skill Type,Skill Name,Bengal Warrior,Bengaluru Bull,Dabang Delhi ,Gujarat Fortunegiant,Haryana Steeler,Jaipur Pink Panther,Patna Pirate,Puneri Paltan ,Tamil Thailaiva,Telugu Titan,U Mumba ,UP Yoddha 
Season7,Successful Tackles,Defensive Skill,Thigh Hold,57,49,57,48,43,33,43,50,35,44,31,68
Season7,Successful Tackles,Defensive Skill,Block,51,42,42,30,49,23,46,51,52,43,66,37
Season7,Successful Tackles,Defensive Skill,Dive,42,49,50,73,27,80,46,31,35,72,56,43
Season7,Successful Tackles,Defensive Skill,Ankle Hold,8,34,33,17,40,42,27,43,15,15,13,54
Season7,Successful Tackles,Defensive Skill,Push,28,10,21,13,31,16,22,29,24,15,30,22
Season7,Successful Tackles,Defensive Skill,Body Hold,24,14,6,12,4,9,9,21,13,7,10,8
Season7,Successful Tackles,Defensive Skill,Self-out,7,3,6,1,4,2,2,2,4,2,6,5
Season7,Successful Tackles,Defensive Skill,Chain_def,3,5,2,9,16,6,3,9,2,3,7,8
Season7,Successful Tackles,Defensive Skill,Follow,3,,1,,0,,,,,3,,
Season7,Unsuccessful Tackles,Counter Action Skill,Release,86,87,105,71,111,93,118,123,81,88,77,82
Season7,Unsuccessful Tackles,Counter Action Skill,Struggle,23,27,30,17,28,15,23,14,25,28,36,20
Season7,Unsuccessful Tackles,Counter Action Skill,Out Turn,27,24,23,14,30,19,24,38,25,42,37,24
Season7,Unsuccessful Tackles,Counter Action Skill,Jump,14,10,13,7,14,8,10,16,7,10,3,12
Season7,Unsuccessful Tackles,Counter Action Skill,Dubki,3,8,4,5,5,7,3,4,3,3,7,4
Season7,Unsuccessful Tackles,Counter Action Skill,In Turn,2,3,7,1,4,2,5,7,2,4,2,3
Season7,Unsuccessful Tackles,Counter Action Skill,Create Gap,4,2,3,4,6,4,1,3,4,7,4,0
Season7,Unsuccessful Tackles,Attacking Skill,Running Hand Touch,74,69,62,40,63,47,55,68,63,32,54,56
Season7,Unsuccessful Tackles,Attacking Skill,Hand Touch,31,38,34,28,31,30,24,35,32,32,27,30
Season7,Unsuccessful Tackles,Attacking Skill,Toe Touch,22,16,19,19,19,23,12,12,19,21,17,13
Season7,Unsuccessful Tackles,Attacking Skill,Side Kick,10,11,6,6,5,8,5,6,3,7,2,5
Season7,Unsuccessful Tackles,Attacking Skill,Running Kick,10,11,3,2,7,3,3,2,11,2,1,1
Season7,Unsuccessful Tackles,Attacking Skill,Defender self out,7,7,9,10,8,4,6,7,12,19,9,7
Season7,Unsuccessful Tackles,Attacking Skill,Reverse Kick,3,7,8,8,4,16,4,8,7,7,4,9
Season7,Unsuccessful Tackles,Attacking Skill,Defender selfout(lobby shirt pull),3,2,1,1,5,2,0,2,4,2,4,3
Season7,Unsuccessful Tackles,Attacking Skill,Leg Thrust,2,6,5,,,,,1,1,1,,2
Season8,Successful Tackles,Defensive Skill,Thigh Hold,52,63,51,41,43,30,56,29,38,42,66,56
Season8,Successful Tackles,Defensive Skill,Ankle Hold,17,57,27,29,43,36,58,75,31,45,36,53
Season8,Successful Tackles,Defensive Skill,Block,15,27,50,38,42,36,48,36,43,24,27,29
Season8,Successful Tackles,Defensive Skill,Dive,39,46,18,37,17,50,47,25,24,29,30,43
Season8,Successful Tackles,Defensive Skill,Push,19,17,28,18,33,19,29,43,28,23,16,14
Season8,Successful Tackles,Defensive Skill,Body Hold,15,15,12,8,9,19,9,7,25,20,10,4
Season8,Successful Tackles,Defensive Skill,Chain_def,8,9,2,14,12,9,25,15,22,5,10,16
Season8,Successful Tackles,Defensive Skill,Self-out,4,3,4,15,3,2,4,5,3,3,2,
Season8,Successful Tackles,Defensive Skill,Follow,1,0,,,,0,,,0,0,,
Season8,Unsuccessful Tackles,Counter Action Skill,Release,65,96,70,46,64,66,84,82,72,67,72,79
Season8,Unsuccessful Tackles,Counter Action Skill,Struggle,33,38,51,39,41,64,38,45,29,32,45,46
Season8,Unsuccessful Tackles,Counter Action Skill,Out Turn,16,17,22,16,24,15,16,16,32,19,12,12
Season8,Unsuccessful Tackles,Counter Action Skill,Jump,28,16,9,19,15,15,12,12,17,14,16,18
Season8,Unsuccessful Tackles,Counter Action Skill,Create Gap,10,5,7,6,2,11,5,13,16,5,7,7
Season8,Unsuccessful Tackles,Counter Action Skill,In Turn,3,4,6,4,4,1,2,5,3,2,6,5
Season8,Unsuccessful Tackles,Counter Action Skill,Dubki,3,2,0,4,4,2,1,2,5,10,5,2
Season8,Unsuccessful Tackles,Counter Action Skill,Chain,,,,,,,,0,0,1,,
Season8,Unsuccessful Tackles,Attacking Skill,Running Hand Touch,44,47,76,71,44,56,51,43,43,67,31,56
Season8,Unsuccessful Tackles,Attacking Skill,Hand Touch,31,33,40,41,27,36,34,29,35,35,32,31
Season8,Unsuccessful Tackles,Attacking Skill,Toe Touch,13,14,16,17,10,9,8,17,19,18,8,16
Season8,Unsuccessful Tackles,Attacking Skill,Side Kick,9,9,10,5,18,9,14,11,4,10,15,16
Season8,Unsuccessful Tackles,Attacking Skill,Defender selfout(lobby shirt pull),20,7,12,12,7,10,6,10,9,15,10,11
Season8,Unsuccessful Tackles,Attacking Skill,Reverse Kick,7,6,2,10,5,5,6,6,3,3,6,6
Season8,Unsuccessful Tackles,Attacking Skill,Running Kick,6,4,5,2,2,5,6,2,1,2,2,4
Season8,Unsuccessful Tackles,Attacking Skill,Leg Thrust,3,1,,,1,2,3,,3,2,1,2
Season9,Successful Tackles,Defensive Skill,Thigh Hold,55,67,45,32,43,74,45,40,58,47,51,62
Season9,Successful Tackles,Defensive Skill,Block,43,34,39,39,37,39,40,55,53,34,26,33
Season9,Successful Tackles,Defensive Skill,Ankle Hold,28,58,36,25,49,45,31,49,31,27,67,36
Season9,Successful Tackles,Defensive Skill,Push,31,18,23,38,27,26,20,29,33,13,23,19
Season9,Successful Tackles,Defensive Skill,Dive,18,35,31,15,19,14,29,17,18,26,22,20
Season9,Successful Tackles,Defensive Skill,Chain_def,13,10,25,7,12,37,20,25,13,6,17,9
Season9,Successful Tackles,Defensive Skill,Body Hold,13,3,22,20,18,16,10,23,24,9,8,14
Season9,Successful Tackles,Defensive Skill,Self-out,3,1,2,,1,2,,1,2,3,2,
Season9,Successful Tackles,Defensive Skill,Follow,1,,,0,1,1,0,0,,0,,1
Season9,Successful Tackles,Defensive Skill,In Turn,,,7,,,,,14,,,,
Season9,Successful Tackles,Defensive Skill,Out Turn,,,,,,,,12,,,,
Season9,Successful Tackles,Defensive Skill,Dubki,,,,,,10,,7,,,,
Season9,Successful Tackles,Defensive Skill,Create Gap,,,1,,,,,6,,,,
Season9,Successful Tackles,Defensive Skill,Raider self out(lobby tim..),,,,,,,,,2,1,,
Season9,Unsuccessful Tackles,Attacking Skill,Running Hand Touch,51,42,92,94,61,51,50,59,77,93,40,53
Season9,Unsuccessful Tackles,Attacking Skill,Hand Touch,56,38,51,35,39,38,45,27,39,35,37,36
Season9,Unsuccessful Tackles,Attacking Skill,Defender selfout(lobby shirt pull),21,16,17,20,16,17,22,13,23,16,18,19
Season9,Unsuccessful Tackles,Attacking Skill,Toe Touch,17,8,31,19,14,12,15,16,17,24,17,15
Season9,Unsuccessful Tackles,Attacking Skill,Side Kick,16,18,15,11,7,6,17,11,17,11,8,11
Season9,Unsuccessful Tackles,Attacking Skill,Running Kick,9,1,7,7,4,1,5,,4,2,3,2
Season9,Unsuccessful Tackles,Attacking Skill,Reverse Kick,2,3,5,4,3,5,12,4,4,5,10,2
Season9,Unsuccessful Tackles,Counter Action Skill,Release,81,87,74,67,61,64,68,78,71,67,74,90
Season9,Unsuccessful Tackles,Counter Action Skill,Struggle,36,54,62,57,54,30,37,59,46,67,28,45
Season9,Unsuccessful Tackles,Counter Action Skill,Out Turn,18,17,16,13,16,13,12,12,25,11,10,13
Season9,Unsuccessful Tackles,Counter Action Skill,Jump,11,12,10,12,8,23,11,17,14,13,11,11
Season9,Unsuccessful Tackles,Counter Action Skill,Create Gap,11,8,14,12,11,14,4,5,10,12,6,9
Season9,Unsuccessful Tackles,Counter Action Skill,In Turn,3,4,7,12,15,10,15,14,11,10,4,5
Season9,Unsuccessful Tackles,Counter Action Skill,Dubki,3,6,9,5,4,10,1,7,5,9,3,4
