Raider Name,Number of Defenders,Total Raids,% of Raids,Empty,Successful,Unsuccessful
Ajay Thakur,2,19,5%,5.30%,78.90%,15.80%
,3,27,7%,44.40%,37.00%,18.50%
,4,52,13%,48.10%,30.80%,21.20%
,5,84,22%,46.40%,27.40%,26.20%
,6,71,18%,22.50%,62.00%,15.50%
,7,135,35%,25.90%,53.30%,20.70%
Amit Hooda,7,2,100%,,,100.00%
Anand,2,1,6%,,100.00%,
,3,3,18%,33.30%,,66.70%
,4,3,18%,33.30%,66.70%,
,5,4,24%,75.00%,25.00%,
,6,2,12%,,,100.00%
,7,4,24%,25.00%,75.00%,
Anil Kumar,5,2,67%,100.00%,,
,7,1,33%,100.00%,,
Athul MS,3,2,2%,50.00%,,50.00%
,4,15,14%,13.30%,33.30%,53.30%
,5,21,20%,28.60%,23.80%,47.60%
,6,19,18%,5.30%,42.10%,52.60%
,7,48,46%,14.60%,58.30%,27.10%
C. Arun,5,1,33%,100.00%,,
,7,2,67%,100.00%,,
D. Pradap,3,2,12%,100.00%,,
,4,3,18%,66.70%,,33.30%
,5,4,24%,,75.00%,25.00%
,6,1,6%,100.00%,,
,7,7,41%,28.60%,28.60%,42.90%
Darshan J.,7,1,100%,,,100.00%
Jasvir Singh,2,4,3%,,75.00%,25.00%
,3,6,5%,50.00%,33.30%,16.70%
,4,12,10%,58.30%,8.30%,33.30%
,5,24,21%,58.30%,8.30%,33.30%
,6,27,23%,51.90%,25.90%,22.20%
,7,44,38%,36.40%,43.20%,20.50%
K. Jayaseelan,7,3,100%,66.70%,,33.30%
Manjeet Chhillar,3,2,7%,100.00%,,
,4,2,7%,100.00%,,
,5,3,10%,100.00%,,
,6,6,21%,50.00%,16.70%,33.30%
,7,16,55%,50.00%,25.00%,25.00%
Sukesh Hegde,2,1,1%,,100.00%,
,3,12,7%,83.30%,8.30%,8.30%
,4,21,12%,71.40%,9.50%,19.00%
,5,49,28%,67.30%,14.30%,18.40%
,6,46,26%,26.10%,47.80%,26.10%
,7,47,27%,53.20%,36.20%,10.60%
Sunil,4,1,50%,100.00%,,
,7,1,50%,100.00%,,
Surjeet Singh,4,1,2%,,,100.00%
,5,6,13%,83.30%,,16.70%
,6,11,24%,45.50%,36.40%,18.20%
,7,27,60%,40.70%,22.20%,37.00%
Victor Obiero,2,1,14%,,,100.00%
,4,1,14%,,100.00%,
,6,3,43%,,33.30%,66.70%
,7,2,29%,,100.00%,
Vimal Raj V,3,1,10%,100.00%,,
,4,3,30%,33.30%,33.30%,33.30%
,5,2,20%,50.00%,50.00%,
,7,4,40%,25.00%,,75.00%
