Raider Name,Number of Defenders,Total Raids,% of Raids,Empty,Successful,Unsuccessful
Deepak Narwal,1,1,1%,,100.00%,
,2,1,1%,,100.00%,
,3,2,1%,50.00%,,50.00%
,4,14,10%,64.30%,7.10%,28.60%
,5,19,14%,36.80%,36.80%,26.30%
,6,30,21%,16.70%,53.30%,30.00%
,7,73,52%,34.20%,43.80%,21.90%
Jaideep,3,1,13%,100.00%,,
,5,1,13%,100.00%,,
,7,6,75%,83.30%,,16.70%
Jawahar Dagar,6,1,20%,100.00%,,
,7,4,80%,25.00%,25.00%,50.00%
Kuldeep Singh,7,1,100%,100.00%,,
Manjeet,1,1,1%,,100.00%,
,2,2,1%,50.00%,50.00%,
,3,16,8%,25.00%,50.00%,25.00%
,4,35,19%,42.90%,25.70%,31.40%
,5,42,22%,38.10%,38.10%,23.80%
,6,36,19%,25.00%,50.00%,25.00%
,7,57,30%,24.60%,43.90%,31.60%
Pardeep Narwal,1,6,2%,,100.00%,
,2,34,9%,5.90%,79.40%,14.70%
,3,47,12%,36.20%,40.40%,23.40%
,4,45,12%,26.70%,51.10%,22.20%
,5,60,15%,48.30%,31.70%,20.00%
,6,67,17%,19.40%,61.20%,19.40%
,7,132,34%,25.00%,43.20%,31.80%
Surender Singh,7,1,100%,,,100.00%
Tae Deok Eom,7,2,100%,50.00%,,50.00%
Tushar Patil,3,2,5%,50.00%,50.00%,
,4,3,8%,33.30%,,66.70%
,5,14,37%,57.10%,14.30%,28.60%
,6,5,13%,,80.00%,20.00%
,7,14,37%,28.60%,42.90%,28.60%
Vijay,3,3,3%,100.00%,,
,4,9,8%,66.70%,11.10%,22.20%
,5,31,28%,45.20%,22.60%,32.30%
,6,20,18%,30.00%,70.00%,
,7,48,43%,22.90%,58.30%,18.80%
Vijay Kumar,6,1,50%,,100.00%,
,7,1,50%,100.00%,,
Vikas Jaglan,3,2,5%,,,100.00%
,4,4,10%,50.00%,25.00%,25.00%
,5,7,17%,100.00%,,
,6,10,24%,30.00%,60.00%,10.00%
,7,19,45%,42.10%,31.60%,26.30%
Vikas Kale,6,1,25%,100.00%,,
,7,3,75%,100.00%,,
