super-10s_player_name,player-tackle-points_player_name,player-super-raids_player_name,player-raid-points_player_name,player-super-tackles_player_name,player-total-points_player_name,high-5s_player_name,player-successful-tackles_player_name,player-avg-tackle-points_player_name,player-successful-raids_player_name,player-dod-raid-points_player_name,super-10s_match_played,player-tackle-points_match_played,player-super-raids_match_played,player-raid-points_match_played,player-super-tackles_match_played,player-total-points_match_played,high-5s_match_played,player-successful-tackles_match_played,player-avg-tackle-points_match_played,player-successful-raids_match_played,player-dod-raid-points_match_played,super-10s_position_name,player-tackle-points_position_name,player-super-raids_position_name,player-raid-points_position_name,player-super-tackles_position_name,player-total-points_position_name,high-5s_position_name,player-successful-tackles_position_name,player-avg-tackle-points_position_name,player-successful-raids_position_name,player-dod-raid-points_position_name,super-10s_team,player-tackle-points_team,player-super-raids_team,player-raid-points_team,player-super-tackles_team,player-total-points_team,high-5s_team,player-successful-tackles_team,player-avg-tackle-points_team,player-successful-raids_team,player-dod-raid-points_team,super-10s_team_name,player-tackle-points_team_name,player-super-raids_team_name,player-raid-points_team_name,player-super-tackles_team_name,player-total-points_team_name,high-5s_team_name,player-successful-tackles_team_name,player-avg-tackle-points_team_name,player-successful-raids_team_name,player-dod-raid-points_team_name,super-10s_team_full_name,player-tackle-points_team_full_name,player-super-raids_team_full_name,player-raid-points_team_full_name,player-super-tackles_team_full_name,player-total-points_team_full_name,high-5s_team_full_name,player-successful-tackles_team_full_name,player-avg-tackle-points_team_full_name,player-successful-raids_team_full_name,player-dod-raid-points_team_full_name,super-10s_rank,player-tackle-points_rank,player-super-raids_rank,player-raid-points_rank,player-super-tackles_rank,player-total-points_rank,high-5s_rank,player-successful-tackles_rank,player-avg-tackle-points_rank,player-successful-raids_rank,player-dod-raid-points_rank,super-10s_value,player-tackle-points_value,player-super-raids_value,player-raid-points_value,player-super-tackles_value,player-total-points_value,high-5s_value,player-successful-tackles_value,player-avg-tackle-points_value,player-successful-raids_value,player-dod-raid-points_value,super-10s_points_per_match,player-tackle-points_points_per_match,player-super-raids_points_per_match,player-raid-points_points_per_match,player-super-tackles_points_per_match,player-total-points_points_per_match,high-5s_points_per_match,player-successful-tackles_points_per_match,player-avg-tackle-points_points_per_match,player-successful-raids_points_per_match,player-dod-raid-points_points_per_match,super-10s_team_id,player-tackle-points_team_id,player-super-raids_team_id,player-raid-points_team_id,player-super-tackles_team_id,player-total-points_team_id,high-5s_team_id,player-successful-tackles_team_id,player-avg-tackle-points_team_id,player-successful-raids_team_id,player-dod-raid-points_team_id,super-10s_position_id,player-tackle-points_position_id,player-super-raids_position_id,player-raid-points_position_id,player-super-tackles_position_id,player-total-points_position_id,high-5s_position_id,player-successful-tackles_position_id,player-avg-tackle-points_position_id,player-successful-raids_position_id,player-dod-raid-points_position_id
,,,Simon Kibura,,Simon Kibura,,,,Simon Kibura,,,,,3.0,,3,,,,3.0,,,,,Raider,,Raider,,,,Raider,,,,,,,,,,,,,,,,PUN,,PUN,,,,PUN,,,,,Puneri Paltan,,Puneri Paltan,,,,Puneri Paltan,,,,,82.0,,121,,,,70.0,,,,,1.0,,1,,,,1.0,,,,,0.3333333333333333,,0.3333333333333333,,,,0.3333333333333333,,,,,7.0,,7,,,,7.0,,,,,8.0,,8,,,,8.0,
Jang Kun Lee,Jang Kun Lee,Jang Kun Lee,Jang Kun Lee,,Jang Kun Lee,,Jang Kun Lee,Jang Kun Lee,Jang Kun Lee,Jang Kun Lee,14.0,14.0,14.0,14.0,,14,,14.0,14.0,14.0,14.0,Raider,Raider,Raider,Raider,,Raider,,Raider,Raider,Raider,Raider,,,,,,,,,,,,KOL,KOL,KOL,KOL,,KOL,,KOL,KOL,KOL,KOL,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,,Bengal Warriors,,Bengal Warriors,Bengal Warriors,Bengal Warriors,Bengal Warriors,16.0,82.0,7.0,16.0,,22,,81.0,100.0,20.0,11.0,1.0,2.0,3.0,48.0,,50,,2.0,0.14,36.0,15.0,0.0714285714285714,0.1428571428571428,0.2142857142857142,3.4285714285714284,,3.5714285714285716,,0.1428571428571428,0.01,2.5714285714285716,1.0714285714285714,4.0,4.0,4.0,4.0,,4,,4.0,4.0,4.0,4.0,8.0,8.0,8.0,8.0,,8,,8.0,8.0,8.0,8.0
,Seong Ryeol Kim,,,Seong Ryeol Kim,Seong Ryeol Kim,,Seong Ryeol Kim,Seong Ryeol Kim,,,,4.0,,,4.0,4,,4.0,4.0,,,,Defender,,,Defender,Defender,,Defender,Defender,,,,,,,,,,,,,,,KOL,,,KOL,KOL,,KOL,KOL,,,,Bengal Warriors,,,Bengal Warriors,Bengal Warriors,,Bengal Warriors,Bengal Warriors,,,,65.0,,,45.0,103,,67.0,52.0,,,,4.0,,,1.0,4,,3.0,1.0,,,,1.0,,,0.25,1.0,,0.75,0.25,,,,4.0,,,4.0,4,,4.0,4.0,,,,9.0,,,9.0,9,,9.0,9.0,,
,Tae Deok Eom,,Tae Deok Eom,,Tae Deok Eom,,Tae Deok Eom,Tae Deok Eom,Tae Deok Eom,Tae Deok Eom,,8.0,,8.0,,8,,8.0,8.0,8.0,8.0,,Defender,,Defender,,Defender,,Defender,Defender,Defender,Defender,,,,,,,,,,,,,PAT,,PAT,,PAT,,PAT,PAT,PAT,PAT,,Patna Pirates,,Patna Pirates,,Patna Pirates,,Patna Pirates,Patna Pirates,Patna Pirates,Patna Pirates,,57.0,,47.0,,56,,56.0,69.0,47.0,37.0,,5.0,,11.0,,16,,5.0,0.63,8.0,4.0,,0.625,,1.375,,2.0,,0.625,0.07875,1.0,0.5,,6.0,,6.0,,6,,6.0,6.0,6.0,6.0,,9.0,,9.0,,9,,9.0,9.0,9.0,9.0
,,,Sinotharan Kanesharajah,,Sinotharan Kanesharajah,,,,,Sinotharan Kanesharajah,,,,2.0,,2,,,,,2.0,,,,Raider,,Raider,,,,,Raider,,,,,,,,,,,,,,,BLR,,BLR,,,,,BLR,,,,Bengaluru Bulls,,Bengaluru Bulls,,,,,Bengaluru Bulls,,,,84.0,,118,,,,,65.0,,,,1.0,,1,,,,,1.0,,,,0.5,,0.5,,,,,0.5,,,,1.0,,1,,,,,1.0,,,,8.0,,8,,,,,8.0
Ajay Thakur,Ajay Thakur,Ajay Thakur,Ajay Thakur,,Ajay Thakur,,Ajay Thakur,Ajay Thakur,Ajay Thakur,Ajay Thakur,13.0,13.0,13.0,13.0,,13,,13.0,13.0,13.0,13.0,Raider,Raider,Raider,Raider,,Raider,,Raider,Raider,Raider,Raider,,,,,,,,,,,,BLR,BLR,BLR,BLR,,BLR,,BLR,BLR,BLR,BLR,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,,Bengaluru Bulls,,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,Bengaluru Bulls,4.0,95.0,3.0,3.0,,8,,94.0,106.0,5.0,1.0,2.0,1.0,6.0,79.0,,80,,1.0,0.08,56.0,36.0,0.1538461538461538,0.0769230769230769,0.4615384615384615,6.076923076923077,,6.153846153846154,,0.0769230769230769,0.0061538461538461,4.3076923076923075,2.769230769230769,1.0,1.0,1.0,1.0,,1,,1.0,1.0,1.0,1.0,8.0,8.0,8.0,8.0,,8,,8.0,8.0,8.0,8.0
,Amit Singh Chhillar,,,Amit Singh Chhillar,Amit Singh Chhillar,Amit Singh Chhillar,Amit Singh Chhillar,Amit Singh Chhillar,,,,6.0,,,6.0,6,6.0,6.0,6.0,,,,Defender,,,Defender,Defender,Defender,Defender,Defender,,,,,,,,,,,,,,,DEL,,,DEL,DEL,DEL,DEL,DEL,,,,Dabang Delhi K.C.,,,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,Dabang Delhi K.C.,,,,33.0,,,46.0,70,26.0,32.0,20.0,,,,12.0,,,1.0,12,1.0,11.0,2.0,,,,2.0,,,0.1666666666666666,2.0,0.1666666666666666,1.8333333333333333,0.3333333333333333,,,,2.0,,,2.0,2,2.0,2.0,2.0,,,,9.0,,,9.0,9,9.0,9.0,9.0,,
Anup Kumar,Anup Kumar,Anup Kumar,Anup Kumar,Anup Kumar,Anup Kumar,,Anup Kumar,Anup Kumar,Anup Kumar,Anup Kumar,14.0,14.0,14.0,14.0,14.0,14,,14.0,14.0,14.0,14.0,Raider,Raider,Raider,Raider,Raider,Raider,,Raider,Raider,Raider,Raider,,,,,,,,,,,,MUM,MUM,MUM,MUM,MUM,MUM,,MUM,MUM,MUM,MUM,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,,U Mumba,U Mumba,U Mumba,U Mumba,12.0,50.0,18.0,4.0,47.0,7,,49.0,80.0,3.0,23.0,1.0,7.0,1.0,74.0,1.0,81,,6.0,0.5,61.0,7.0,0.0714285714285714,0.5,0.0714285714285714,5.285714285714286,0.0714285714285714,5.785714285714286,,0.4285714285714285,0.0357142857142857,4.357142857142857,0.5,5.0,5.0,5.0,5.0,5.0,5,,5.0,5.0,5.0,5.0,8.0,8.0,8.0,8.0,8.0,8,,8.0,8.0,8.0,8.0
,,,Balbir Singh,,Balbir Singh,,,,,,,,,2.0,,2,,,,,,,,,All Rounder,,All Rounder,,,,,,,,,,,,,,,,,,,,JAI,,JAI,,,,,,,,,Jaipur Pink Panthers,,Jaipur Pink Panthers,,,,,,,,,85.0,,119,,,,,,,,,1.0,,1,,,,,,,,,0.5,,0.5,,,,,,,,,3.0,,3,,,,,,,,,0.0,,0,,,,,
,Bhupender Singh,Bhupender Singh,Bhupender Singh,,Bhupender Singh,Bhupender Singh,Bhupender Singh,Bhupender Singh,Bhupender Singh,Bhupender Singh,,11.0,11.0,11.0,,11,11.0,11.0,11.0,11.0,11.0,,All Rounder,All Rounder,All Rounder,,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,All Rounder,,,,,,,,,,,,,MUM,MUM,MUM,,MUM,MUM,MUM,MUM,MUM,MUM,,U Mumba,U Mumba,U Mumba,,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,U Mumba,,49.0,19.0,28.0,,37,27.0,46.0,62.0,27.0,16.0,,8.0,1.0,22.0,,30,1.0,8.0,0.73,18.0,11.0,,0.7272727272727273,0.0909090909090909,2.0,,2.727272727272727,0.0909090909090909,0.7272727272727273,0.0663636363636363,1.6363636363636365,1.0,,5.0,5.0,5.0,,5,5.0,5.0,5.0,5.0,5.0,,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0
