player_id,player_name,match_played,value,team_id,team,team_name,rank,position_id,team_full_name,position_name,points_per_match
197,Pardeep Narwal,26,369,6,,PAT,1,8,Patna Pirates,Raider,14.192307692307692
326,Rohit Kumar,22,231,1,,BLR,2,8,Bengaluru Bulls,Raider,10.5
26,Ajay Thakur,22,222,29,,CHE,3,8,Tamil Thalaivas,Raider,10.090909090909092
388,Monu Goyat,26,202,6,,PAT,4,8,Patna Pirates,Raider,7.769230769230769
81,Rahul Chaudhari,22,193,8,,HYD,5,8,Telugu Titans,Raider,8.772727272727273
143,Maninder Singh,21,192,4,,KOL,6,8,Bengal Warriors,Raider,9.142857142857142
41,Deepak Hooda,24,186,7,,PUN,7,0,Puneri Paltan,All Rounder,7.75
320,Nitin Tomar,20,177,30,,U.P.,8,8,U.P. Yoddhas,Raider,8.85
757,Sachin,24,173,31,,GUJ,9,8,Gujarat Giants,Raider,7.208333333333333
94,Rishank Devadiga,21,170,30,,U.P.,10,8,U.P. Yoddhas,Raider,8.095238095238095
29,Anup Kumar,21,135,5,,MUM,11,8,U Mumba,Raider,6.428571428571429
219,K. Prapanjan,22,124,29,,CHE,12,8,Tamil Thalaivas,Raider,5.636363636363637
156,Pawan Kadian,21,122,3,,JAI,13,8,Jaipur Pink Panthers,Raider,5.809523809523809
58,Kashiling Adake,20,122,5,,MUM,14,8,U Mumba,Raider,6.1
124,Wazir Singh,21,120,28,,HAR,15,8,Haryana Steelers,Raider,5.714285714285714
293,Nilesh Salunke,21,105,8,,HYD,16,8,Telugu Titans,Raider,5
251,Meraj Sheykh,20,104,2,,DEL,17,0,Dabang Delhi K.C.,All Rounder,5.2
106,Shrikant Jadhav,19,98,5,,MUM,18,8,U Mumba,Raider,5.157894736842105
300,Abolfazel Maghsodlo,19,97,2,,DEL,19,8,Dabang Delhi K.C.,Raider,5.105263157894737
85,Rajesh Mondal,24,91,7,,PUN,20,8,Puneri Paltan,Raider,3.7916666666666665
12,Jang Kun Lee,21,89,4,,KOL,21,8,Bengal Warriors,Raider,4.238095238095238
389,Ajay Kumar,22,89,1,,BLR,22,8,Bengaluru Bulls,Raider,4.045454545454546
211,Deepak Narwal,16,87,4,,KOL,23,8,Bengal Warriors,Raider,5.4375
142,Sandeep Narwal,21,85,7,,PUN,24,0,Puneri Paltan,All Rounder,4.0476190476190474
3065,Nitin Rawal,21,85,3,,JAI,25,0,Jaipur Pink Panthers,All Rounder,4.0476190476190474
146,Surender Nada,21,83,28,,HAR,26,9,Haryana Steelers,Defender,3.9523809523809526
155,Prashanth Kumar Rai,16,80,28,,HAR,27,8,Haryana Steelers,Raider,5
322,Surjeet Singh,24,79,4,,KOL,28,9,Bengal Warriors,Defender,3.2916666666666665
174,Deepak Kumar Dahiya,16,78,28,,HAR,29,8,Haryana Steelers,Raider,4.875
111,Sukesh Hegde,18,77,31,,GUJ,30,8,Gujarat Giants,Raider,4.277777777777778
261,Rohit Baliyan,17,74,2,,DEL,31,8,Dabang Delhi K.C.,Raider,4.352941176470588
3083,Vishal Bhardwaj,22,71,8,,HYD,32,0,Telugu Titans,All Rounder,3.227272727272727
579,Jaideep,26,71,6,,PAT,33,9,Patna Pirates,Defender,2.730769230769231
234,Surender Singh,18,70,30,,U.P.,34,8,U.P. Yoddhas,Raider,3.888888888888889
161,Girish Maruti Ernak,21,69,7,,PUN,35,9,Puneri Paltan,Defender,3.2857142857142856
242,Tushar Patil,17,67,3,,JAI,36,8,Jaipur Pink Panthers,Raider,3.9411764705882355
52,Jasvir Singh,15,66,3,,JAI,37,8,Jaipur Pink Panthers,Raider,4.4
489,Abozar Mighani,24,66,31,,GUJ,38,9,Gujarat Giants,Defender,2.75
160,Ran Singh,23,64,4,,KOL,39,0,Bengal Warriors,All Rounder,2.782608695652174
3081,Vijay Malik,19,64,6,,PAT,40,0,Patna Pirates,All Rounder,3.3684210526315788
119,Surjeet Singh,17,63,28,,HAR,41,8,Haryana Steelers,Raider,3.7058823529411766
163,Mahendra Rajput,17,62,31,,GUJ,42,8,Gujarat Giants,Raider,3.6470588235294117
212,Amit Hooda,22,61,29,,CHE,43,9,Tamil Thalaivas,Defender,2.772727272727273
3086,Surinder Singh,22,58,5,,MUM,44,9,U Mumba,Defender,2.6363636363636362
368,Sunil Kumar,24,58,31,,GUJ,45,9,Gujarat Giants,Defender,2.4166666666666665
769,Mahender Singh,22,58,1,,BLR,46,9,Bengaluru Bulls,Defender,2.6363636363636362
366,Vikash Kandola,9,58,28,,HAR,47,8,Haryana Steelers,Raider,6.444444444444445
259,Fazel Atrachali,24,57,31,,GUJ,48,9,Gujarat Giants,Defender,2.375
157,Ravinder Pahal,19,54,1,,BLR,49,9,Bengaluru Bulls,Defender,2.8421052631578947
69,Manjeet Chhillar,15,52,3,,JAI,50,0,Jaipur Pink Panthers,All Rounder,3.466666666666667
36,Chandran Ranjit,11,51,31,,GUJ,51,8,Gujarat Giants,Raider,4.636363636363637
3082,Monu,19,49,7,,PUN,52,0,Puneri Paltan,All Rounder,2.5789473684210527
357,Parvesh Bhainswal,24,48,31,,GUJ,53,9,Gujarat Giants,Defender,2
764,Vinod Kumar,21,48,6,,PAT,54,8,Patna Pirates,Raider,2.2857142857142856
3088,Nitesh Kumar,19,47,30,,U.P.,55,9,U.P. Yoddhas,Defender,2.473684210526316
252,Kuldeep Singh,20,47,5,,MUM,56,0,U Mumba,All Rounder,2.35
567,Mohsen Maghsoudlou,16,47,8,,HYD,57,8,Telugu Titans,Raider,2.9375
54,Jeeva Kumar,22,44,30,,U.P.,58,9,U.P. Yoddhas,Defender,2
71,Mohit Chhillar,20,42,28,,HAR,59,9,Haryana Steelers,Defender,2.1
66,Mahesh Goud,21,42,30,,U.P.,60,8,U.P. Yoddhas,Raider,2
387,Vinod Kumar,19,41,4,,KOL,61,8,Bengal Warriors,Raider,2.1578947368421053
