Defender Success rate,,,
Defender Name,Total Tackles,Successful Tackles,
Jeeva Kumar,99,38,38%
Nitesh Kumar,83,47,57%
Sagar Krishna,63,29,46%
Rajesh Narwal,53,15,28%
Pankaj,49,17,35%
Nitin Tomar,26,10,38%
Mahesh Goud,22,4,18%
Santhosh B.S,21,8,38%
Hadi Tajik,21,6,29%
Surender Singh,18,2,11%
Rohit Kumar,16,1,6%
Rishank Devadiga,15,3,20%
Gurvinder Singh,12,5,42%
Sanoj Kumar,7,1,14%
Ajvender Singh,2,1,50%
Sunil,1,0,0%
