Defender Success rate,,,
Defender Name,Total Tackles,Successful Tackles,
Vishal Bhardwaj,133,69,52%
Rohit Rana,81,24,30%
Sombir,80,33,41%
Farhad Milaghardan,50,22,44%
Rakesh Kumar,29,15,52%
Rahul Chaudhari,29,10,34%
Nilesh Salunke,16,5,31%
Vinod Kumar,14,2,14%
Mohsen Maghsoudlou,14,5,36%
Vikas,13,4,31%
Elangeshwaran R,5,2,40%
Rakshith,3,2,67%
Vinoth Kumar,1,0,0%
Ankit Malik,1,0,0%
