Defender Success rate,,,
Defender Name,Total Tackles,Successful Tackles,
Mahender Singh,112,56,50%
Ravinder Pahal,105,49,47%
Kuldeep Singh,62,30,48%
Ashish Kumar,40,13,33%
Sunil Jaipal,27,12,44%
Rohit Kumar,23,11,48%
Sachin Kumar,20,6,30%
Gurvinder Singh,17,6,35%
Preetam Chhillar,16,4,25%
Pardeep Kandola,9,0,0%
Amit Sheoran,6,0,0%
Harish Naik,4,0,0%
Ajay Kumar,4,0,0%
