Defender Success rate,,,
Defender Name,Total Tackles,Successful Tackles,
Somvir Shekhar,93,30,32%
Manjeet Chhillar,87,46,53%
Sidharth,63,24,38%
Nitin Rawal,51,19,37%
Sunil Siddhgavali,43,16,37%
Santhapanaselvam,30,17,57%
Manoj Dhull,18,6,33%
Jasvir Singh,14,5,36%
Tushar Patil,12,3,25%
Pawan Kumar,12,0,0%
Navneet Gautam,4,0,0%
Ravinder Kumar,3,1,33%
Rahul Choudhary,2,1,50%
