Defender Success rate,,,
Defender Name,Total Tackles,Successful Tackles,
Sunil,61,24,39%
Nilesh Shinde,51,19,37%
Viraj Vishnu Landge,46,16,35%
Satpal,42,22,52%
Bajirao Hodage,39,11,28%
Swapnil Shinde,38,13,34%
Meraj Sheykh,31,8,26%
Yatharth,24,11,46%
Rohit Baliyan,24,9,38%
Vishal,20,6,30%
Tapas Pal,15,9,60%
Abolfazl Maghsodlou,13,5,38%
Tushar Bhoir,12,3,25%
Ravi Dalal,7,3,43%
R. Sriram,5,1,20%
Shubham Ashok Palkar,3,0,0%
Anand Patil,3,0,0%
Rupesh Tomar,2,1,50%
