Defender Success rate,,,
Defender Name,Total Tackles,Successful Tackles,
Jaideep,149,69,46%
Vishal Mane,103,38,37%
Vijay,80,34,43%
Jawahar Dagar,64,26,41%
Sachin Shingade,58,23,40%
Manish,35,17,49%
Monu Goyat,30,10,33%
Satish,20,3,15%
Vinod Kumar,19,9,47%
Vikas Jaglan,8,3,38%
Pardeep Narwal,7,0,0%
Virender Singh,4,0,0%
Vishnu Uthaman,1,1,100%
Md. Zakir Hossain,1,0,0%
Anup Kumar,1,0,0%
