Defender Success rate,,,
Defender Name,Total Tackles,Successful Tackles,
Girish Maruti Ernak,105,60,57%
Sandeep Narwal,101,50,50%
Ravi Kumar,64,29,45%
Dharmaraj Cheralathan,58,24,41%
Monu,49,29,59%
Ziaur Rahman,45,18,40%
Deepak Hooda,33,13,39%
Rinku Narwal,32,18,56%
Akshay Jadhav,14,10,71%
Rajesh Mondal,4,1,25%
Rohit Kumar Choudary,3,0,0%
More G B,3,2,67%
