Raider Name,Number of Defenders,Total Raids,% of Raids,Empty,Successful,Unsuccessful
Avinash A. R.,7,4,100%,,50.00%,50.00%
Baldev Singh,3,1,14%,,100.00%,
,4,1,14%,100.00%,,
,5,1,14%,100.00%,,
,6,1,14%,100.00%,,
,7,3,43%,66.70%,,33.30%
K. Prapanjan,2,3,1%,,100.00%,
,3,10,5%,70.00%,10.00%,20.00%
,4,37,18%,43.20%,37.80%,18.90%
,5,36,18%,66.70%,19.40%,13.90%
,6,44,21%,36.40%,47.70%,15.90%
,7,75,37%,26.70%,41.30%,32.00%
Maninder Singh,2,24,8%,4.20%,87.50%,8.30%
,3,15,5%,33.30%,53.30%,13.30%
,4,32,10%,34.40%,40.60%,25.00%
,5,50,16%,46.00%,30.00%,24.00%
,6,59,19%,23.70%,50.80%,25.40%
,7,138,43%,25.40%,61.60%,13.00%
Mohammad Esmaeil Nabibakhsh,2,18,8%,16.70%,77.80%,5.60%
,3,37,16%,37.80%,45.90%,16.20%
,4,47,20%,48.90%,23.40%,27.70%
,5,54,23%,70.40%,11.10%,18.50%
,6,20,9%,35.00%,50.00%,15.00%
,7,56,24%,42.90%,39.30%,17.90%
Mohammad Taghi Paein Mahali,3,1,9%,,,100.00%
,4,1,9%,100.00%,,
,5,1,9%,,,100.00%
,6,3,27%,,33.30%,66.70%
,7,5,45%,20.00%,60.00%,20.00%
Rakesh Narwal,2,1,4%,,,100.00%
,3,2,7%,,50.00%,50.00%
,4,1,4%,,,100.00%
,5,2,7%,100.00%,,
,6,6,22%,33.30%,50.00%,16.70%
,7,15,56%,20.00%,60.00%,20.00%
Ravindra Ramesh Kumawat,3,1,6%,100.00%,,
,4,3,18%,33.30%,33.30%,33.30%
,5,4,24%,25.00%,25.00%,50.00%
,6,4,24%,50.00%,25.00%,25.00%
,7,5,29%,20.00%,60.00%,20.00%
Rinku Narwal,5,1,33%,100.00%,,
,6,1,33%,100.00%,,
,7,1,33%,100.00%,,
Sourabh Tanaji Patil,2,1,4%,,,100.00%
,3,4,15%,25.00%,50.00%,25.00%
,4,3,12%,33.30%,66.70%,
,5,5,19%,,60.00%,40.00%
,6,5,19%,20.00%,60.00%,20.00%
,7,8,31%,12.50%,62.50%,25.00%
Sukesh Hegde,1,3,2%,,100.00%,
,2,1,1%,,100.00%,
,3,4,3%,75.00%,25.00%,
,4,16,11%,87.50%,6.30%,6.30%
,5,31,22%,80.60%,6.50%,12.90%
,6,37,26%,43.20%,43.20%,13.50%
,7,50,35%,46.00%,40.00%,14.00%
Sunil Manik Dubile,2,1,50%,,,100.00%
,5,1,50%,,,100.00%
