Raider Name,Number of Defenders,Total Raids,% of Raids,Empty,Successful,Unsuccessful
Abolfazl Maghsodl oumahali,5,2,20%,50.00%,,50.00%
,6,3,30%,,66.70%,33.30%
,7,5,50%,,20.00%,80.00%
Gurvinder Singh,5,1,14%,,,100.00%
,6,1,14%,,100.00%,
,7,5,71%,,40.00%,60.00%
Harmanjit Singh,2,1,8%,,,100.00%
,3,1,8%,,100.00%,
,4,3,23%,33.30%,33.30%,33.30%
,5,3,23%,33.30%,33.30%,33.30%
,6,3,23%,33.30%,66.70%,
,7,2,15%,,50.00%,50.00%
Lalit Chaudhary,4,2,15%,,50.00%,50.00%
,5,3,23%,33.30%,33.30%,33.30%
,6,4,31%,25.00%,,75.00%
,7,4,31%,25.00%,25.00%,50.00%
More G B,1,1,1%,,100.00%,
,3,12,7%,75.00%,25.00%,
,4,17,11%,58.80%,11.80%,29.40%
,5,30,19%,56.70%,16.70%,26.70%
,6,46,29%,39.10%,37.00%,23.90%
,7,55,34%,38.20%,38.20%,23.60%
Pankaj,7,2,100%,50.00%,,50.00%
Rohit Gulia,1,1,0%,,100.00%,
,2,21,7%,4.80%,85.70%,9.50%
,3,29,9%,62.10%,17.20%,20.70%
,4,34,11%,50.00%,11.80%,38.20%
,5,71,23%,53.50%,18.30%,28.20%
,6,82,26%,32.90%,41.50%,25.60%
,7,77,24%,23.40%,44.20%,32.50%
Ruturaj Shivaji K..,7,3,100%,100.00%,,
Sachin,1,2,1%,,100.00%,
,2,4,2%,,50.00%,50.00%
,3,6,3%,,66.70%,33.30%
,4,25,12%,28.00%,28.00%,44.00%
,5,52,25%,46.20%,32.70%,21.20%
,6,49,24%,38.80%,32.70%,28.60%
,7,69,33%,44.90%,30.40%,24.60%
Sonu Jaglan,1,2,1%,,100.00%,
,3,6,4%,16.70%,66.70%,16.70%
,4,18,13%,44.40%,27.80%,27.80%
,5,31,23%,41.90%,41.90%,16.10%
,6,39,28%,43.60%,38.50%,17.90%
,7,41,30%,26.80%,41.50%,31.70%
Sunil Kumar,5,1,8%,100.00%,,
,6,2,15%,100.00%,,
,7,10,77%,90.00%,10.00%,
Vinod Kumar,2,2,8%,,50.00%,50.00%
,4,3,12%,,66.70%,33.30%
,6,5,20%,40.00%,20.00%,40.00%
,7,15,60%,66.70%,13.30%,20.00%
