Raider Name,Number of Defenders,Total Raids,% of Raids,Empty,Successful,Unsuccessful
Balaji D,5,1,100%,100.00%,,
C Sajin,7,1,100%,100.00%,,
Daniel Omondi Odhiambo,5,2,29%,50.00%,,50.00%
,6,3,43%,,66.70%,33.30%
,7,2,29%,50.00%,,50.00%
Guman Singh,1,1,1%,,100.00%,
,2,4,2%,,75.00%,25.00%
,3,27,14%,51.90%,37.00%,11.10%
,4,24,12%,62.50%,16.70%,20.80%
,5,44,22%,50.00%,25.00%,25.00%
,6,40,20%,45.00%,45.00%,10.00%
,7,60,30%,40.00%,48.30%,11.70%
Mohit,5,6,43%,50.00%,,50.00%
,6,4,29%,50.00%,25.00%,25.00%
,7,4,29%,50.00%,50.00%,
Monu Goyat,1,3,2%,,100.00%,
,2,3,2%,66.70%,,33.30%
,3,16,10%,43.80%,18.80%,37.50%
,4,15,9%,40.00%,26.70%,33.30%
,5,47,28%,48.90%,14.90%,36.20%
,6,33,20%,27.30%,60.60%,12.10%
,7,48,29%,18.80%,52.10%,29.20%
Monu Sandhu,3,1,3%,,100.00%,
,4,2,6%,100.00%,,
,5,10,32%,70.00%,10.00%,20.00%
,6,9,29%,66.70%,33.30%,
,7,9,29%,33.30%,44.40%,22.20%
Neeraj Kumar,3,1,11%,100.00%,,
,4,1,11%,100.00%,,
,5,6,67%,100.00%,,
,7,1,11%,,,100.00%
Prashanth Kumar Rai,2,4,2%,25.00%,50.00%,25.00%
,3,13,8%,76.90%,15.40%,7.70%
,4,9,6%,55.60%,11.10%,33.30%
,5,23,14%,47.80%,30.40%,21.70%
,6,40,25%,27.50%,55.00%,17.50%
,7,74,45%,23.00%,52.70%,24.30%
Rohit,4,2,40%,50.00%,,50.00%
,5,3,60%,33.30%,33.30%,33.30%
Sachin Tanwar,1,6,2%,,100.00%,
,2,32,8%,15.60%,68.80%,15.60%
,3,48,13%,60.40%,18.80%,20.80%
,4,52,14%,51.90%,28.80%,19.20%
,5,90,24%,51.10%,25.60%,23.30%
,6,57,15%,31.60%,49.10%,19.30%
,7,96,25%,42.70%,42.70%,14.60%
Selvamani K,4,1,10%,,,100.00%
,5,2,20%,,50.00%,50.00%
,6,2,20%,50.00%,,50.00%
,7,5,50%,20.00%,60.00%,20.00%
Shadloui Chianeh,3,3,14%,66.70%,,33.30%
,4,1,5%,100.00%,,
,5,2,10%,100.00%,,
,6,3,14%,66.70%,33.30%,
,7,12,57%,66.70%,33.30%,
Shubham Shinde,5,3,50%,33.30%,33.30%,33.30%
,7,3,50%,100.00%,,
