Raider Name,Number of Defenders,Total Raids,% of Raids,Empty,Successful,Unsuccessful
Abozar Mohajer..,6,1,100%,100.00%,,
Akash Pikalmunde,4,4,10%,,25.00%,75.00%
,5,15,38%,60.00%,20.00%,20.00%
,6,9,23%,33.30%,44.40%,22.20%
,7,11,28%,54.50%,36.40%,9.10%
Amit Nirwal,7,1,100%,100.00%,,
Anand V,5,7,58%,85.70%,14.30%,
,6,1,8%,100.00%,,
,7,4,33%,25.00%,25.00%,50.00%
Esmaeil,2,6,3%,,66.70%,33.30%
Nabibakhsh,3,23,12%,30.40%,56.50%,13.00%
,4,24,13%,41.70%,20.80%,37.50%
,5,52,28%,71.20%,19.20%,9.60%
,6,20,11%,40.00%,35.00%,25.00%
,7,60,32%,21.70%,46.70%,31.70%
Maninder Singh,2,21,5%,,85.70%,14.30%
,3,21,5%,42.90%,23.80%,33.30%
,4,27,7%,37.00%,37.00%,25.90%
,5,88,22%,47.70%,22.70%,29.50%
,6,99,25%,23.20%,60.60%,16.20%
,7,145,36%,15.20%,57.90%,26.90%
Manoj Gowda,4,2,5%,50.00%,50.00%,
,5,10,27%,40.00%,10.00%,50.00%
,6,13,35%,53.80%,30.80%,15.40%
,7,12,32%,41.70%,33.30%,25.00%
Parveen Satpal,4,1,100%,100.00%,,
Ran Singh,3,1,11%,100.00%,,
,4,1,11%,100.00%,,
,7,7,78%,57.10%,28.60%,14.30%
Ravindra Kumawat,2,1,3%,,100.00%,
,4,5,15%,100.00%,,
,5,14,42%,42.90%,14.30%,42.90%
,6,2,6%,100.00%,,
,7,11,33%,54.50%,36.40%,9.10%
Rinku Narwal,5,1,100%,100.00%,,
Rishank Devadiga,5,3,38%,66.70%,,33.30%
,6,3,38%,33.30%,,66.70%
,7,2,25%,50.00%,50.00%,
Rohit,3,3,8%,33.30%,33.30%,33.30%
,4,3,8%,100.00%,,
,5,4,11%,75.00%,,25.00%
,6,7,19%,42.90%,28.60%,28.60%
,7,19,53%,36.80%,47.40%,15.80%
Sukesh Hegde,3,2,2%,100.00%,,
,4,8,6%,87.50%,12.50%,
,5,24,19%,75.00%,4.20%,20.80%
,6,30,23%,40.00%,50.00%,10.00%
,7,64,50%,31.30%,40.60%,28.10%
