Raider Name,Number of Defenders,Total Raids,% of Raids,Empty,Successful,Unsuccessful
Ajay Kumar,1,1,1%,,100.00%,
,3,1,1%,100.00%,,
,4,15,9%,80.00%,6.70%,13.30%
,5,20,12%,70.00%,10.00%,20.00%
,6,58,36%,36.20%,39.70%,24.10%
,7,68,42%,30.90%,50.00%,19.10%
Bhuvneshwar,4,2,40%,,50.00%,50.00%
Gaur,7,3,60%,66.70%,33.30%,
Girish Maruti Ern..,7,1,100%,,,100.00%
Hadi Oshtorak,5,1,6%,100.00%,,
,6,3,19%,100.00%,,
,7,12,75%,33.30%,25.00%,41.70%
Harmanjit Singh,7,1,100%,100.00%,,
Mahendra Rajput,2,1,1%,,,100.00%
,3,8,7%,37.50%,50.00%,12.50%
,4,12,10%,41.70%,16.70%,41.70%
,5,19,16%,42.10%,31.60%,26.30%
,6,27,23%,29.60%,48.10%,22.20%
,7,52,44%,32.70%,42.30%,25.00%
Maninder Singh,5,1,25%,,,100.00%
,6,3,75%,33.30%,33.30%,33.30%
Pardeep Kumar,1,1,1%,,100.00%,
,2,13,9%,7.70%,76.90%,15.40%
,3,9,6%,33.30%,44.40%,22.20%
,4,25,17%,40.00%,36.00%,24.00%
,5,46,31%,39.10%,28.30%,32.60%
,6,16,11%,50.00%,25.00%,25.00%
,7,38,26%,34.20%,36.80%,28.90%
Rakesh Narwal,2,6,4%,33.30%,33.30%,33.30%
,3,8,5%,87.50%,12.50%,
,4,10,7%,40.00%,50.00%,10.00%
,5,17,12%,88.20%,5.90%,5.90%
,6,51,35%,39.20%,47.10%,13.70%
,7,55,37%,36.40%,43.60%,20.00%
Rakesh Sungroya,1,2,1%,,100.00%,
,2,22,7%,18.20%,59.10%,22.70%
,3,18,6%,50.00%,33.30%,16.70%
,4,43,14%,30.20%,27.90%,41.90%
,5,66,22%,50.00%,24.20%,25.80%
,6,53,18%,26.40%,52.80%,20.80%
,7,93,31%,33.30%,44.10%,22.60%
Rathan K,3,1,5%,,,100.00%
,4,5,24%,80.00%,,20.00%
,5,6,29%,66.70%,,33.30%
,6,5,24%,40.00%,40.00%,20.00%
,7,4,19%,25.00%,25.00%,50.00%
Sonu Singh,5,1,25%,,,100.00%
,7,3,75%,66.70%,,33.30%
Sunil Kumar,3,1,7%,100.00%,,
,5,1,7%,100.00%,,
,6,3,20%,100.00%,,
,7,10,67%,90.00%,10.00%,
