Bengal Warriors,,,,Bengaluru Bulls,,,,Dabang Delhi,,,,Gujarat Fortunegiants,,,,Harayana Steelers,,,,Jaipur Pink Panthers,,,,Patna Pirates,,,,Puneri Paltan,,,,Tamil Thailaivas,,,,Telugu Titans,,,,U Mumba,,,,UP Yoddha,
,,,,,,,,,,,,,,,,,,,,Dive,0,,,,,,,Ankle hold,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Follow,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Body hold,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skill Type,Skill Name,Bengal Warriors,Bengaluru Bulls,Dabang Delhi,Gujarat Fortunegiants,Haryana Steelers,Jaipur Pink Panthers,Patna Pirates,Puneri Paltan,Tamil Thalaivas,Telugu Titans,U Mumba,UP Yoddha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attacking Skill,Running Hand Touch,51,42,92,94,61,51,50,59,77,93,40,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attacking Skill,Hand Touch,56,38,51,35,39,38,45,27,38,35,37,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attacking Skill,Defender self out (lobby s..),21,16,16,20,16,17,22,13,22,16,18,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attacking Skill,Toe Touch,17,8,31,19,14,12,15,16,17,24,17,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attacking Skill,Side Kick,16,18,15,11,7,6,17,11,17,11,8,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attacking Skill,Running Kick,9,1,7,7,4,1,5,,3,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attacking Skill,Reverse Kick,2,3,5,4,3,5,12,4,4,5,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attacking Skill,Toe touch,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skill Type,Skill Name,Bengal Warriors,Bengaluru Bulls,Dabang Delhi,Gujarat Fortunegiants,Haryana Steelers,Jaipur Pink Panthers,Patna Pirates,Puneri Paltan,Tamil Thalaivas,Telugu Titans,U Mumba,UP Yoddha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Counter Action Skill,Release,81,87,74,67,61,64,68,78,71,67,74,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Counter Action Skill,Struggle,36,54,62,57,54,30,37,59,46,67,28,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Counter Action Skill,Out Turn,18,17,16,13,16,13,12,12,25,11,10,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Counter Action Skill,Jump,11,12,10,12,8,23,11,17,14,13,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Counter Action Skill,Create Gap,11,8,14,12,11,14,4,5,10,12,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Counter Action Skill,In Turn,3,4,7,12,15,10,15,14,11,10,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Counter Action Skill,Dubki,3,6,9,5,4,10,1,7,5,9,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Counter Action Skill,Defender self out(lobby),,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Counter Action Skill,Defender self out(lobby s..),,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Counter Action Skill,Running Kick,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Counter Action Skill,Hand touch,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Counter Action Skill,Defender selfout(lobby sh..),,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skill Type,Skill Name,Bengal Warriors,Bengaluru Bulls,Dabang Delhi,Gujarat Fortunegiants,Haryana Steelers,Jaipur Pink Panthers,Patna Pirates,Puneri Paltan,Tamil Thalaivas,Telugu Titans,U Mumba,UP Yoddha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Defensive Skill,Thigh Hold,55,67,45,32,42,73,45,39,58,47,51,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Defensive Skill,Block,43,34,39,39,37,39,40,55,53,34,26,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Defensive Skill,Ankle Hold,28,56,36,25,49,44,31,48,30,27,67,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Defensive Skill,Push,31,18,23,38,27,26,20,29,33,13,23,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Defensive Skill,Dive,18,35,31,15,19,14,29,17,18,26,22,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Defensive Skill,Chain_def,13,10,24,7,12,36,20,23,12,6,17,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Defensive Skill,Body Hold,13,3,22,20,18,16,10,23,24,9,8,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Defensive Skill,Self-out,3,1,2,,1,2,,1,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Defensive Skill,Follow,1,,,0,1,1,0,0,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Defensive Skill,In Turn,,,7,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Defensive Skill,Out Turn,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Defensive Skill,Dubki,,,,,,10,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Defensive Skill,Create Gap,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Defensive Skill,Creat gap,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Defensive Skill,Ankle hold,,1,0,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Defensive Skill,Anckle hold,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Defensive Skill,Chain def,,,1,,,1,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Defensive Skill,Thigh hold,,,,,1,1,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Defensive Skill,Raider self out(lobby tim..),,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Defensive Skill,Raider selfout(lobby tim..),,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Defensive Skill,Body hold,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
