Defender Success rate,,,
Defender Name,Total Tackles,Successful Tackles,
Fazel Atrachali,139,78,56%
Surender Singh,126,55,44%
Sandeep Narwal,98,51,52%
Harendra Kumar,55,19,35%
Young Chang Ko,23,8,35%
Abhishek Singh,13,2,15%
Rohit Baliyan,12,3,25%
Rajaguru Subramanian,7,3,43%
Harsh Vardhan,5,0,0%
Athul MS,4,0,0%
Arjun Deshwal,4,2,50%
Mohit Balyan,3,1,33%
Anil,3,0,0%
Ajinkya Rohidas Kapre,3,1,33%
Vinoth Kumar,1,0,0%
