Defender Success rate,,,
Defender Name,Total Tackles,Successful Tackles,
Surjeet Singh,120,57,48%
Girish Maruti Ernak,82,31,38%
Jadhav Balasaheb Shahaji,66,30,45%
Manjeet,55,27,49%
Amit Kumar,55,27,49%
Shubham Shinde,38,15,39%
Sagar Krishna,34,12,35%
Hadi Tajik,32,15,47%
Nitin Tomar,31,7,23%
Sanket Sawant,15,7,47%
Pankaj Mohite,12,3,25%
Darshan Kadian,11,1,9%
Sushant Sail,7,3,43%
Sandeep,5,2,40%
Deepak Yadav,5,0,0%
Emad Sedaghatnia,3,0,0%
Pawan Kumar,2,0,0%
R. Sriram,1,0,0%
