Defender Success rate,,,
Defender Name,Total Tackles,Successful Tackles,
Ravinder Pahal,148,64,43%
Joginder Narwal,99,45,45%
Anil Kumar,85,38,45%
Vishal Mane,73,31,42%
Vijay,46,14,30%
Chandran Ranjit,22,6,27%
Saeid Ghaﬀari,18,8,44%
Sombir,14,5,36%
Sumit,7,2,29%
Naveen Kumar,7,2,29%
Satywan,4,1,25%
Mohit,4,0,0%
Meraj Sheykh,4,1,25%
Aman Kadian,4,1,25%
Pratik Patil,3,0,0%
Neeraj Narwal,2,1,50%
Balram,2,0,0%
