match_played,value,team_id,team_name,rank,points_per_match
26,1173,6,Patna Pirates,1,45.11538461538461
24,1079,4,Bengal Warriors,2,44.958333333333336
24,1055,31,Gujarat Giants,3,43.958333333333336
24,1042,7,Puneri Paltan,4,43.416666666666664
23,1030,28,Haryana Steelers,5,44.78260869565217
22,1015,29,Tamil Thalaivas,6,46.13636363636363
23,1002,30,U.P. Yoddhas,7,43.56521739130435
22,973,2,Dabang Delhi K.C.,8,44.22727272727273
22,971,8,Telugu Titans,9,44.13636363636363
22,963,5,U Mumba,10,43.77272727272727
22,962,3,Jaipur Pink Panthers,11,43.72727272727273
22,943,1,Bengaluru Bulls,12,42.86363636363637
