,tour_name,result_code,series_id,end_date,event_sub_status,start_date,event_status,winning_margin,venue_id,sport,venue_name,game_id,event_stage,event_name,league_code,series_name,tour_id,venue_gmt_offset,team1_name,team1_score,team1_highlight,team2_name,team2_score,team2_highlight,winner,team1_player1_name,team1_player1_id,team1_player1_value,team1_player1_type,team1_player2_name,team1_player2_id,team1_player2_value,team1_player2_type,team1_player3_name,team1_player3_id,team1_player3_value,team1_player3_type,team1_player4_name,team1_player4_id,team1_player4_value,team1_player4_type,team1_player5_name,team1_player5_id,team1_player5_value,team1_player5_type,team2_player1_name,team2_player1_id,team2_player1_value,team2_player1_type,team2_player2_name,team2_player2_id,team2_player2_value,team2_player2_type,team2_player3_name,team2_player3_id,team2_player3_value,team2_player3_type,team2_player4_name,team2_player4_id,team2_player4_value,team2_player4_type,team2_player5_name,team2_player5_id,team2_player5_value,team2_player5_type,win_by_coin_toss,extra_time,golden_raid
50,"Pro Kabaddi League Season 3, 2016",W,3,02/28/2016 9:00:00 ,Telugu Titans beat Patna Pirates (42-41),02/28/2016 9:00:00 ,Completed,1,5,kabaddi,"DOME,NSCI,SVP STADIUM,MUMBAI",172,League,Match 51,pkl,"Pro Kabaddi League Season 3, 2016",3,+05:30,Telugu Titans,42,true,Patna Pirates,41,false,Telugu Titans,Rahul Chaudhari,81,14,,Rohit Baliyan,261,8,,Sukesh Hegde,111,6,,Meraj Sheykh,251,4,,Manoj Kumar,70,1,Defender,Pardeep Narwal,197,24,,Deepak Narwal,211,5,,Amit Hooda,212,2,,Hadi Oshtorak,249,2,,Sandeep Narwal,142,2,,,False,False
51,"Pro Kabaddi League Season 3, 2016",W,3,02/29/2016 8:00:00 ,U Mumba beat Puneri Paltan (30-27),02/29/2016 8:00:00 ,Completed,3,5,kabaddi,"DOME,NSCI,SVP STADIUM,MUMBAI",173,League,Match 52,pkl,"Pro Kabaddi League Season 3, 2016",3,+05:30,U Mumba,30,true,Puneri Paltan,27,false,U Mumba,Anup Kumar,29,8,,Rakesh Kumar,88,7,Raider,Rishank Devadiga,94,5,,Mohit Chhillar,71,5,,Jeeva Kumar,54,2,,Deepak Niwas Hooda,41,6,,Jasmer Singh Gulia,51,6,,Surender Singh,234,5,,Sachin Shingade,165,3,,Ajay Thakur,26,3,,,False,False
52,"Pro Kabaddi League Season 3, 2016",W,3,03/01/2016 8:00:00 ,Bengal Warriors beat Bengaluru Bulls (26-22),03/01/2016 8:00:00 ,Completed,4,5,kabaddi,"DOME,NSCI,SVP STADIUM,MUMBAI",174,League,Match 53,pkl,"Pro Kabaddi League Season 3, 2016",3,+05:30,Bengal Warriors,26,true,Bengaluru Bulls,22,false,Bengal Warriors,Nilesh Shinde,73,7,Defender,Jang Kun Lee,12,6,,Mahesh Goud,66,5,,Nitin Tomar,320,4,,Bajirao Hodage,164,2,,Deepak Kumar Dahiya,174,6,,Preetam Chhillar,167,3,All Rounder,Shrikant Tewthia,107,2,,Nirbhay Narwal,316,2,Defender,Pawan Kumar Sehrawat,318,2,,,False,False
53,"Pro Kabaddi League Season 3, 2016",W,3,03/01/2016 9:00:00 ,U Mumba beat Telugu Titans (38-22),03/01/2016 9:00:00 ,Completed,16,5,kabaddi,"DOME,NSCI,SVP STADIUM,MUMBAI",175,League,Match 54,pkl,"Pro Kabaddi League Season 3, 2016",3,+05:30,U Mumba,38,true,Telugu Titans,22,false,U Mumba,Rishank Devadiga,94,14,,Mohit Chhillar,71,6,,Anup Kumar,29,4,,Jeeva Kumar,54,2,,Bhupender Singh,34,1,,Rahul Chaudhari,81,12,,Rohit Baliyan,261,4,,Sukesh Hegde,111,3,,Meraj Sheykh,251,1,,Prashanth Kumar Rai,155,0,,,False,False
54,"Pro Kabaddi League Season 3, 2016",W,3,03/02/2016 8:00:00 ,Puneri Paltan beat Bengal Warriors (43-19),03/02/2016 8:00:00 ,Completed,24,5,kabaddi,"DOME,NSCI,SVP STADIUM,MUMBAI",176,League,Match 55,pkl,"Pro Kabaddi League Season 3, 2016",3,+05:30,Puneri Paltan,43,true,Bengal Warriors,19,false,Puneri Paltan,Deepak Niwas Hooda,41,13,,Surjeet Singh,322,9,,Nilesh Salunke,293,5,,Tushar Patil,242,4,,Manjeet Chhillar,69,3,,Mahendra Ganesh Rajput,163,6,,Jang Kun Lee,12,4,,Nilesh Shinde,73,3,Defender,Vineet Sharma,268,3,,Umesh Mhatre,272,1,Raider,,False,False
55,"Pro Kabaddi League Season 3, 2016",W,3,03/02/2016 9:00:00 ,U Mumba beat Dabang Delhi (36-20),03/02/2016 9:00:00 ,Completed,16,5,kabaddi,"DOME,NSCI,SVP STADIUM,MUMBAI",177,League,Match 56,pkl,"Pro Kabaddi League Season 3, 2016",3,+05:30,U Mumba,36,true,Dabang Delhi,20,false,U Mumba,Rishank Devadiga,94,8,,Anup Kumar,29,7,,Rakesh Kumar,88,4,Raider,Surender Nada,146,4,Defender,Suresu Kumar,173,2,Raider,Selvamani K,264,6,,Sandeep Kumar Dhull,290,4,,Anil Shriram Nimbolkar,277,3,Defender,Jay Bahadur Bohara,263,2,Defender,Seong Ryeol Kim,13,2,All Rounder,,False,False
56,"Pro Kabaddi League Season 3, 2016",W,3,03/04/2016 8:00:00 ,Patna Pirates beat Puneri Paltan (40-21),03/04/2016 8:00:00 ,Completed,19,10,kabaddi,,178,Semi Final,Semi-Final 1,pkl,"Pro Kabaddi League Season 3, 2016",3,+05:30,Patna Pirates,40,true,Puneri Paltan,21,false,Patna Pirates,Pardeep Narwal,197,10,,Rohit Kumar,326,7,,Sandeep Narwal,142,5,,Vinod Kumar,215,4,,Sunil,207,3,,Deepak Niwas Hooda,41,6,,Manjeet Chhillar,69,5,,Jasmer Singh Gulia,51,2,,Ajay Thakur,26,2,,Surjeet Singh,322,2,,,False,False
57,"Pro Kabaddi League Season 3, 2016",W,3,03/04/2016 9:00:00 ,U Mumba beat Bengal Warriors (41-29),03/04/2016 9:00:00 ,Completed,12,10,kabaddi,,179,Semi Final,Semi-Final 2,pkl,"Pro Kabaddi League Season 3, 2016",3,+05:30,U Mumba,41,true,Bengal Warriors,29,false,U Mumba,Rishank Devadiga,94,13,,Mohit Chhillar,71,6,,Anup Kumar,29,6,,Fazel Atrachali,259,3,,Rakesh Kumar,88,3,Raider,Nitin Tomar,320,8,,Vineet Sharma,268,6,,Umesh Mhatre,272,6,Raider,Mahendra Ganesh Rajput,163,3,,Bajirao Hodage,164,2,,,False,False
58,"Pro Kabaddi League Season 3, 2016",W,3,03/05/2016 8:00:00 ,Puneri Paltan beat Bengal Warriors (31-27),03/05/2016 8:00:00 ,Completed,4,10,kabaddi,,180,Super Playoffs,3/4 Place,pkl,"Pro Kabaddi League Season 3, 2016",3,+05:30,Bengal Warriors,27,false,Puneri Paltan,31,true,Puneri Paltan,Jang Kun Lee,12,9,,Mahendra Ganesh Rajput,163,5,,Bajirao Hodage,164,4,,Nilesh Shinde,73,3,Defender,Shyam Kumar Sah,108,3,Defender,Deepak Niwas Hooda,41,9,,Manjeet Chhillar,69,6,,Ajay Thakur,26,4,,Surjeet Singh,322,2,,Jasmer Singh Gulia,51,1,,,False,False
59,"Pro Kabaddi League Season 3, 2016",W,3,03/05/2016 9:00:00 ,Patna Pirates beat U Mumba (31-28),03/05/2016 9:00:00 ,Completed,3,10,kabaddi,,181,Final,Final,pkl,"Pro Kabaddi League Season 3, 2016",3,+05:30,U Mumba,28,false,Patna Pirates,31,true,Patna Pirates,Anup Kumar,29,8,,Mohit Chhillar,71,6,,Shabeer Bappu,105,3,,Surender Nada,146,2,Defender,Rakesh Kumar,88,2,Raider,Rohit Kumar,326,8,,Sandeep Narwal,142,7,,Rajesh Mondal,85,3,,Vinod Kumar,215,3,,Sunil,207,2,,,False,False
