Raider Name,Number of Defenders,Total Raids,% of Raids,Empty,Successful,Unsuccessful
Amirhossein Bast..,7,1,100%,,,100.00%
Harsh,7,1,100%,,,100.00%
Jaideep Dahiya,7,4,100%,50.00%,25.00%,25.00%
Joginder Singh N..,7,1,100%,100.00%,,
K Prapanjan,3,3,5%,33.30%,,66.70%
,4,6,9%,33.30%,50.00%,16.70%
,5,14,21%,42.90%,35.70%,21.40%
,6,11,17%,36.40%,36.40%,27.30%
,7,32,48%,12.50%,56.30%,31.30%
Lovepreet Singh,3,4,27%,,50.00%,50.00%
,4,1,7%,,100.00%,
,5,5,33%,,20.00%,80.00%
,6,5,33%,20.00%,40.00%,40.00%
Manish Gulia,3,2,10%,50.00%,,50.00%
,4,2,10%,,50.00%,50.00%
,5,4,20%,,75.00%,25.00%
,6,2,10%,,100.00%,
,7,10,50%,20.00%,30.00%,50.00%
Manjeet,1,1,1%,,100.00%,
,2,2,2%,,100.00%,
,3,8,9%,75.00%,12.50%,12.50%
,4,9,10%,66.70%,22.20%,11.10%
,5,18,20%,55.60%,22.20%,22.20%
,6,24,27%,16.70%,62.50%,20.80%
,7,27,30%,18.50%,51.90%,29.60%
Manjeet Dahiya,1,2,1%,,100.00%,
,2,5,3%,,80.00%,20.00%
,3,14,8%,42.90%,21.40%,35.70%
,4,25,14%,48.00%,24.00%,28.00%
,5,33,18%,45.50%,33.30%,21.20%
,6,35,19%,34.30%,51.40%,14.30%
,7,71,38%,22.50%,52.10%,25.40%
Meetu Mahender,1,1,0%,,100.00%,
,2,11,3%,9.10%,72.70%,18.20%
,3,32,10%,37.50%,31.30%,31.30%
,4,53,17%,45.30%,26.40%,28.30%
,5,69,22%,43.50%,26.10%,30.40%
,6,57,18%,36.80%,36.80%,26.30%
,7,95,30%,34.70%,46.30%,18.90%
Mohit,7,1,100%,,,100.00%
Mohit Nandal,7,1,100%,,,100.00%
Nitin Rawal,3,3,10%,100.00%,,
,5,5,17%,100.00%,,
,6,4,14%,75.00%,,25.00%
,7,17,59%,41.20%,23.50%,35.30%
Rakesh Narwal,1,1,1%,,100.00%,
,2,3,3%,,100.00%,
,3,4,4%,50.00%,50.00%,
,4,15,14%,73.30%,6.70%,20.00%
,5,28,25%,82.10%,3.60%,14.30%
,6,24,22%,25.00%,41.70%,33.30%
,7,35,32%,31.40%,42.90%,25.70%
Sushil,2,3,11%,,100.00%,
,3,2,7%,50.00%,50.00%,
,4,3,11%,,66.70%,33.30%
,5,2,7%,,50.00%,50.00%
,6,7,26%,,71.40%,28.60%
,7,10,37%,30.00%,50.00%,20.00%
Vinay,4,5,28%,20.00%,,80.00%
,5,3,17%,,,100.00%
,6,3,17%,33.30%,66.70%,
,7,7,39%,14.30%,57.10%,28.60%
Vinay Tevatia,3,2,6%,,50.00%,50.00%
,4,7,20%,14.30%,42.90%,42.90%
,5,10,29%,20.00%,50.00%,30.00%
,6,3,9%,,66.70%,33.30%
,7,13,37%,30.80%,30.80%,38.50%
