Raider Success rate,,,
Raider Name,Total Raids,Successful Raids,
Pardeep Narwal,586,278,47%
Monu Goyat,365,160,44%
Vijay,83,18,22%
Vinod Kumar,75,20,27%
Vikas Jaglan,25,8,32%
Jawahar Dagar,23,3,13%
Vishnu Uthaman,7,0,0%
Jaideep,5,0,0%
Manish,2,0,0%
Vishal Mane,1,0,0%
Satish,1,0,0%
,,,
Defensive Skill,Unsuccessful Raids,,
Push,27,,
