Raider Success rate,,,
Raider Name,Total Raids,Successful Raids,
Deepak Hooda,360,132,37%
Rajesh Mondal,269,79,29%
Sandeep Narwal,117,30,26%
Monu,77,16,21%
Rohit Kumar Choudary,46,10,22%
More G B,45,13,29%
Akshay Jadhav,39,9,23%
Suresh Kumar,35,12,34%
Girish Maruti Ernak,18,1,6%
Dharmaraj Cheralathan,15,0,0%
Umesh Mhatre,11,1,9%
Rinku Narwal,8,1,13%
Ravi Kumar,2,0,0%
,,,
Attacking Skill,Successful Raids,,
Toe Touch,2,,
Running Hand Touch,2,,
Hand Touch,2,,
,,,
Defensive Skill,,Unsuccessful Raids,
Push,28,,
Follow,1,,
Ankle Hold,1,,
